month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-01,1,1,26,0,102,26.0,0.0,102.0
2012-03,1,1,27,0,80,27.0,0.0,80.0
2012-04,1,1,22,0,91,22.0,0.0,91.0
2013-05,1,2,19,19,414,9.5,9.5,207.0
2013-12,1,2,2,1,342,1.0,0.5,171.0
2014-07,1,11,3684,16,1857,334.9,1.5,168.8
2014-08,1,7,4650,382,1963,664.3,54.6,280.4
2014-09,1,26,62445,705,6013,2401.7,27.1,231.3
2014-10,1,39,6743,832,7782,172.9,21.3,199.5
2014-11,1,18,1099,417,2777,61.1,23.2,154.3
2014-12,1,38,1804,59824,8968,47.5,1574.3,236.0
2015-01,1,16,3769,125,5707,235.6,7.8,356.7
2015-02,1,48,3694,793,14071,77.0,16.5,293.1
2015-03,1,31,2230,436,12151,71.9,14.1,392.0
2015-04,1,28,823,1328,8481,29.4,47.4,302.9
2015-05,1,48,5296,1592,16260,110.3,33.2,338.8
2015-06,1,82,7824,5134,29049,95.4,62.6,354.3
2015-07,1,100,9831,4560,35464,98.3,45.6,354.6
2015-08,1,58,7253,2580,19283,125.1,44.5,332.5
2015-09,1,39,3011,1175,15470,77.2,30.1,396.7
2015-10,1,38,4038,1019,13986,106.3,26.8,368.1
2015-11,1,21,620,2018,7869,29.5,96.1,374.7
2015-12,1,26,3278,1648,8934,126.1,63.4,343.6
2016-01,1,20,2279,765,5629,114.0,38.2,281.4
2016-02,1,21,7688,6731,13929,366.1,320.5,663.3
2016-03,1,39,5184,3706,22164,132.9,95.0,568.3
2016-04,1,1,4,1,970,4.0,1.0,970.0
2016-05,1,3,19,2,707,6.3,0.7,235.7
2016-06,1,16,2176,497,6670,136.0,31.1,416.9
2016-07,1,9,156,65,3184,17.3,7.2,353.8
2016-08,1,5,1097,1261,2699,219.4,252.2,539.8
2016-09,1,27,12968,1568,14783,480.3,58.1,547.5
2016-10,1,12,618,290,5587,51.5,24.2,465.6
2016-11,1,5,149,102,2555,29.8,20.4,511.0
2016-12,1,9,1687,851,5847,187.4,94.6,649.7
2017-01,1,27,5605,2708,15649,207.6,100.3,579.6
2017-02,1,7,68,50,2521,9.7,7.1,360.1
2017-03,1,1,16,12,560,16.0,12.0,560.0
2017-04,1,1,1,1,331,1.0,1.0,331.0
2017-05,1,1,37,12,669,37.0,12.0,669.0
2017-06,1,1,3,1,400,3.0,1.0,400.0
2017-07,1,6,1465,79,2309,244.2,13.2,384.8
2017-08,1,2,942,86,923,471.0,43.0,461.5
2017-09,1,1,121,0,260,121.0,0.0,260.0
2017-10,1,4,35,26,1432,8.8,6.5,358.0
2017-11,1,4,106,27,1458,26.5,6.8,364.5
2018-01,1,8,418,70,3413,52.2,8.8,426.6
2018-02,1,7,65,31,3057,9.3,4.4,436.7
2018-03,1,24,1189,1708,11692,49.5,71.2,487.2
2018-04,1,19,1566,2075,9119,82.4,109.2,479.9
2018-05,1,6,113,36,2397,18.8,6.0,399.5
2018-06,1,2,59,40,657,29.5,20.0,328.5
2018-07,1,3,65,69,1117,21.7,23.0,372.3
2018-08,1,3,22,5,1834,7.3,1.7,611.3
2018-09,1,9,215,70,4252,23.9,7.8,472.4
2018-10,1,2,37,564,878,18.5,282.0,439.0
2018-11,1,1,9,9,360,9.0,9.0,360.0
2019-01,1,7,213,40,2959,30.4,5.7,422.7
2019-02,1,3,111,463,1517,37.0,154.3,505.7
2019-03,1,17,432,289,7554,25.4,17.0,444.4
2019-04,1,2,204,129,1407,102.0,64.5,703.5
2019-05,1,3,40,21,7940,13.3,7.0,2646.7
2019-06,1,1,7,0,331,7.0,0.0,331.0
2019-07,1,2,50,56,1398,25.0,28.0,699.0
2019-08,1,6,162,97,2517,27.0,16.2,419.5
2019-09,1,3,92,22,1275,30.7,7.3,425.0
2019-10,1,4,790,554,2855,197.5,138.5,713.8
2019-11,1,7,200,189,3456,28.6,27.0,493.7
2019-12,1,2,197,21,1248,98.5,10.5,624.0
2020-01,1,10,271,145,5507,27.1,14.5,550.7
2020-02,1,3,78,14,3560,26.0,4.7,1186.7
2020-03,1,1,2,5,946,2.0,5.0,946.0
2020-06,1,1,39,25,554,39.0,25.0,554.0
