month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-05,1,26,1781,522,1139,68.5,20.1,43.8
2014-06,1,20,554,211,695,27.7,10.6,34.8
2014-07,1,15,155,390,740,10.3,26.0,49.3
2014-08,1,16,341,271,899,21.3,16.9,56.2
2014-09,1,31,438,246,2028,14.1,7.9,65.4
2014-10,1,12,868,85,1361,72.3,7.1,113.4
2014-11,1,10,1063,932,1699,106.3,93.2,169.9
2014-12,1,22,1746,1750,5123,79.4,79.5,232.9
2015-01,1,9,643,300,2854,71.4,33.3,317.1
2015-02,1,18,585,284,5723,32.5,15.8,317.9
2015-03,1,14,340,41,4201,24.3,2.9,300.1
2015-04,1,5,31,25,1243,6.2,5.0,248.6
2015-05,1,5,62,2,1036,12.4,0.4,207.2
2015-06,1,1,69,2,469,69.0,2.0,469.0
2015-07,1,1,1,0,344,1.0,0.0,344.0
2015-08,1,2,35,35,548,17.5,17.5,274.0
2015-09,1,9,153,24,2674,17.0,2.7,297.1
2015-10,1,1,1,1,191,1.0,1.0,191.0
2015-11,1,5,58,18,1721,11.6,3.6,344.2
2015-12,1,2,69,7,617,34.5,3.5,308.5
2016-01,1,1,16,0,197,16.0,0.0,197.0
2016-02,1,3,18,0,638,6.0,0.0,212.7
2016-03,1,4,34,0,1047,8.5,0.0,261.8
2016-04,1,4,110,14,1259,27.5,3.5,314.8
2016-05,1,5,204,9,1776,40.8,1.8,355.2
2016-06,1,4,163,243,1514,40.8,60.8,378.5
2016-07,1,8,49,48,2525,6.1,6.0,315.6
2016-08,1,9,131,87,2910,14.6,9.7,323.3
2016-09,1,1,24,1,255,24.0,1.0,255.0
2016-10,1,2,33,25,775,16.5,12.5,387.5
2016-11,1,2,116,87,816,58.0,43.5,408.0
2016-12,1,3,70,5,992,23.3,1.7,330.7
2017-02,1,8,90,42,3097,11.2,5.2,387.1
2017-03,1,4,93,4,926,23.2,1.0,231.5
2017-04,1,1,16,0,188,16.0,0.0,188.0
2017-05,1,3,28,3,1235,9.3,1.0,411.7
2017-06,1,4,48,3,1744,12.0,0.8,436.0
2017-07,1,2,41,31,520,20.5,15.5,260.0
2017-08,1,1,1,1,209,1.0,1.0,209.0
2017-09,1,2,25,15,526,12.5,7.5,263.0
2017-10,1,2,3,2,675,1.5,1.0,337.5
2017-11,1,2,17,0,707,8.5,0.0,353.5
2017-12,1,14,313,163,4553,22.4,11.6,325.2
2018-01,1,3,39,115,853,13.0,38.3,284.3
2018-02,1,3,20,1,1045,6.7,0.3,348.3
2018-03,1,3,591,68,1287,197.0,22.7,429.0
2018-04,1,1,2,0,405,2.0,0.0,405.0
2018-05,1,11,191,29,3761,17.4,2.6,341.9
2018-06,1,4,32,68,1219,8.0,17.0,304.8
2018-07,1,1,16,0,339,16.0,0.0,339.0
2018-08,1,3,20,2,1114,6.7,0.7,371.3
2018-09,1,2,20,19,561,10.0,9.5,280.5
2018-10,1,4,139,102,4122,34.8,25.5,1030.5
2018-11,1,7,73,188,2546,10.4,26.9,363.7
2018-12,1,1,1,0,304,1.0,0.0,304.0
2019-01,1,5,272,187,2841,54.4,37.4,568.2
2019-02,1,5,116,76,1998,23.2,15.2,399.6
2019-03,1,2,37,33,971,18.5,16.5,485.5
2019-04,1,1,2,2,828,2.0,2.0,828.0
2019-05,1,2,50,5,1483,25.0,2.5,741.5
2019-06,1,1,5,1,788,5.0,1.0,788.0
2019-11,1,1,5,5,718,5.0,5.0,718.0
2020-01,1,2,289,7,854,144.5,3.5,427.0
2020-07,1,1,357,9,565,357.0,9.0,565.0
2020-11,1,2,197,0,1021,98.5,0.0,510.5
2020-12,1,3,285,6,1300,95.0,2.0,433.3
2021-01,1,5,1393,33,3001,278.6,6.6,600.2
2021-02,1,7,901,98,3949,128.7,14.0,564.1
2021-03,1,2,237,1,1383,118.5,0.5,691.5
2021-04,1,4,111,109,2458,27.8,27.2,614.5
2021-06,1,5,508,28,2388,101.6,5.6,477.6
2021-08,1,4,284,52,2074,71.0,13.0,518.5
2021-10,1,2,255,44,2838,127.5,22.0,1419.0
2021-11,1,1,20,5,639,20.0,5.0,639.0
2022-02,1,1,7,2,482,7.0,2.0,482.0
2022-03,1,1,205,53,828,205.0,53.0,828.0
2022-04,1,2,200,24,995,100.0,12.0,497.5
2022-05,1,1,25,1,583,25.0,1.0,583.0
2022-06,1,5,1741,26,3070,348.2,5.2,614.0
2022-07,1,2,104,54,1482,52.0,27.0,741.0
2022-08,1,2,20,19,819,10.0,9.5,409.5
2022-09,1,1,4,4,487,4.0,4.0,487.0
2022-10,1,4,47,611,2138,11.8,152.8,534.5
2022-11,1,3,568,82,1943,189.3,27.3,647.7
2022-12,1,1,6,6,638,6.0,6.0,638.0
2023-01,1,2,8,10,1010,4.0,5.0,505.0
2023-02,1,2,15,174,1422,7.5,87.0,711.0
2023-03,1,8,149,25,5004,18.6,3.1,625.5
2023-04,1,3,111,21,1904,37.0,7.0,634.7
2023-05,1,2,8,11,1155,4.0,5.5,577.5
