month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2010-03,1,4,8399,2,684,2099.8,0.5,171.0
2010-04,1,3,1548,980,467,516.0,326.7,155.7
2010-05,1,2,54,30,221,27.0,15.0,110.5
2010-06,1,7,392,213,1206,56.0,30.4,172.3
2010-07,1,3,107,116,404,35.7,38.7,134.7
2010-08,1,3,63,10,340,21.0,3.3,113.3
2010-09,1,1,1,1,125,1.0,1.0,125.0
2010-10,1,2,52,24,331,26.0,12.0,165.5
2010-11,1,8,557,181,1273,69.6,22.6,159.1
2010-12,1,4,434,155,599,108.5,38.8,149.8
2011-01,1,4,301,94,469,75.2,23.5,117.2
2011-02,1,2,8,8,255,4.0,4.0,127.5
2011-03,1,6,26,12,866,4.3,2.0,144.3
2011-04,1,16,762,534,2244,47.6,33.4,140.2
2011-05,1,2,7,3,210,3.5,1.5,105.0
2011-06,1,3,316,202,504,105.3,67.3,168.0
2011-07,1,13,1028,1331,1677,79.1,102.4,129.0
2011-08,1,12,1237,194,1348,103.1,16.2,112.3
2011-09,1,9,497,59,1356,55.2,6.6,150.7
2011-10,1,12,223,317,1728,18.6,26.4,144.0
2011-11,1,6,196,204,978,32.7,34.0,163.0
2011-12,1,5,190,102,618,38.0,20.4,123.6
2012-01,1,4,89,26,543,22.2,6.5,135.8
2012-02,1,15,913,572,2170,60.9,38.1,144.7
2012-03,1,11,439,138,1324,39.9,12.5,120.4
2012-04,1,1,16,9,150,16.0,9.0,150.0
2012-05,1,2,255,76,243,127.5,38.0,121.5
2012-06,1,6,2096,528,923,349.3,88.0,153.8
2012-07,1,4,783,172,437,195.8,43.0,109.2
2012-08,1,9,687,381,1269,76.3,42.3,141.0
2012-09,1,8,1156,306,1952,144.5,38.2,244.0
2012-11,1,8,642,169,1038,80.2,21.1,129.8
2012-12,1,6,492,175,874,82.0,29.2,145.7
2013-01,1,4,257,37,529,64.2,9.2,132.2
2013-02,1,1,9,4,128,9.0,4.0,128.0
2013-03,1,2,1294,814,292,647.0,407.0,146.0
2013-04,1,1,18,18,85,18.0,18.0,85.0
2013-05,1,2,115,52,290,57.5,26.0,145.0
2013-06,1,9,870,44,1344,96.7,4.9,149.3
2013-07,1,4,874,215,1218,218.5,53.8,304.5
2013-08,1,4,108,35,544,27.0,8.8,136.0
2013-09,1,5,194,63,992,38.8,12.6,198.4
2013-10,1,2,486,313,529,243.0,156.5,264.5
2013-12,1,2,3,1,367,1.5,0.5,183.5
2014-01,1,4,159,90,718,39.8,22.5,179.5
2014-02,1,2,100,3,427,50.0,1.5,213.5
2014-04,1,4,106,23,1057,26.5,5.8,264.2
2014-06,1,4,74,19,652,18.5,4.8,163.0
2014-07,1,4,182,15,1017,45.5,3.8,254.2
2014-08,1,2,145,56,873,72.5,28.0,436.5
2014-10,1,7,343,38,1532,49.0,5.4,218.9
2014-11,1,11,1115,211,984,101.4,19.2,89.5
2014-12,1,2,710,13,85,355.0,6.5,42.5
2015-01,1,3,24,16,376,8.0,5.3,125.3
2015-02,1,8,656,77,707,82.0,9.6,88.4
2015-03,1,8,200,95,1258,25.0,11.9,157.2
2015-04,1,3,21,16,717,7.0,5.3,239.0
2015-05,1,8,1027,283,782,128.4,35.4,97.8
2015-06,1,3,23,9,483,7.7,3.0,161.0
2015-07,1,9,1534,67,1203,170.4,7.4,133.7
2015-08,1,13,1991,290,2264,153.2,22.3,174.2
2015-09,1,9,343,180,1235,38.1,20.0,137.2
2015-10,1,9,149,60,1508,16.6,6.7,167.6
2015-11,1,14,657,1283,2475,46.9,91.6,176.8
2015-12,1,4,1859,430,785,464.8,107.5,196.2
2016-01,1,6,116,19,760,19.3,3.2,126.7
2016-02,1,15,3953,1127,2191,263.5,75.1,146.1
2016-03,1,13,1219,252,1715,93.8,19.4,131.9
2016-04,1,6,828,567,726,138.0,94.5,121.0
2016-05,1,5,473,144,1429,94.6,28.8,285.8
2016-06,1,12,1439,1096,1581,119.9,91.3,131.8
2016-07,1,8,1365,1136,1113,170.6,142.0,139.1
2016-08,1,9,2174,77,711,241.6,8.6,79.0
2016-09,1,3,30,30,905,10.0,10.0,301.7
2016-10,1,7,511,52,8916,73.0,7.4,1273.7
2016-11,1,17,1799,917,4429,105.8,53.9,260.5
2017-02,1,2,2,2,86,1.0,1.0,43.0
2017-03,1,6,18,9,765,3.0,1.5,127.5
2017-04,1,1,299,74,107,299.0,74.0,107.0
2017-05,1,9,1078,420,2101,119.8,46.7,233.4
2017-06,1,5,97,34,617,19.4,6.8,123.4
2017-07,1,2,35,40,672,17.5,20.0,336.0
2017-08,1,3,1361,341,552,453.7,113.7,184.0
2017-09,1,5,523,217,906,104.6,43.4,181.2
2017-10,1,1,1,0,22,1.0,0.0,22.0
2017-11,1,5,17932,4672,898,3586.4,934.4,179.6
2017-12,1,3,83,101,1645,27.7,33.7,548.3
2018-01,1,13,1226,195,4936,94.3,15.0,379.7
2018-02,1,22,5039,2362,7532,229.0,107.4,342.4
2018-03,1,23,4000,9852,8792,173.9,428.3,382.3
2018-04,1,9,870,1293,3041,96.7,143.7,337.9
2018-05,1,8,130,51,1498,16.2,6.4,187.2
2018-06,1,5,1388,766,1622,277.6,153.2,324.4
2018-07,1,10,2147,1769,5814,214.7,176.9,581.4
2018-08,1,6,128,54,987,21.3,9.0,164.5
2018-09,1,22,2095,1440,7998,95.2,65.5,363.5
2018-10,1,13,721,230,2841,55.5,17.7,218.5
2018-11,1,32,2717,8766,19082,84.9,273.9,596.3
2018-12,1,1,288,170,829,288.0,170.0,829.0
2019-01,1,1,114,3,728,114.0,3.0,728.0
2019-02,1,5,99,2185,1500,19.8,437.0,300.0
2019-03,1,29,10150,22285,11497,350.0,768.4,396.4
2019-04,1,5,834,1774,3434,166.8,354.8,686.8
2019-05,1,10,1132,545,3226,113.2,54.5,322.6
2019-06,1,5,304,133,1912,60.8,26.6,382.4
2019-07,1,3,656,413,1198,218.7,137.7,399.3
2019-08,1,10,216,216,3968,21.6,21.6,396.8
2019-09,1,1,12,0,61,12.0,0.0,61.0
2019-10,1,2,27,27,343,13.5,13.5,171.5
2019-11,1,4,18,32,1503,4.5,8.0,375.8
2020-01,1,3,6940,17124,756,2313.3,5708.0,252.0
2020-02,1,16,3518,1862,5019,219.9,116.4,313.7
2020-03,1,7,840,1740,1306,120.0,248.6,186.6
2020-04,1,3,8,8,592,2.7,2.7,197.3
2020-05,1,6,156,50,1377,26.0,8.3,229.5
2020-09,1,2,7,1,628,3.5,0.5,314.0
2020-10,1,1,30,16,163,30.0,16.0,163.0
2021-03,1,7,139,118,1721,19.9,16.9,245.9
2021-09,1,2,123,97,297,61.5,48.5,148.5
2024-03,1,2,146,10,688,73.0,5.0,344.0
2026-08,1,1,3,1,96,3.0,1.0,96.0
2026-09,1,1,0,0,127,0.0,0.0,127.0
