month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-09,1,12,16295,369,1436,1357.9,30.8,119.7
2012-10,1,26,2495,432,3216,96.0,16.6,123.7
2012-11,1,18,5441,548,2973,302.3,30.4,165.2
2012-12,1,19,978,321,3066,51.5,16.9,161.4
2013-01,1,7,110,13,999,15.7,1.9,142.7
2013-02,1,10,186,158,1757,18.6,15.8,175.7
2013-03,1,9,189,99,1611,21.0,11.0,179.0
2013-04,1,8,85,37,1141,10.6,4.6,142.6
2013-05,1,8,5192,403,1287,649.0,50.4,160.9
2013-06,1,8,134,89,1583,16.8,11.1,197.9
2013-07,1,22,2529,3524,3620,115.0,160.2,164.5
2013-08,1,4,221,225,464,55.2,56.2,116.0
2013-09,1,6,297,2063,730,49.5,343.8,121.7
2013-10,1,4,24,544,858,6.0,136.0,214.5
2013-11,1,5,899,53,569,179.8,10.6,113.8
2013-12,1,3,8,2,459,2.7,0.7,153.0
2014-02,1,3,3240,5,371,1080.0,1.7,123.7
2014-03,1,2,36,4,309,18.0,2.0,154.5
2014-04,1,6,2929,159,788,488.2,26.5,131.3
2014-05,1,7,64,2057,1174,9.1,293.9,167.7
2014-06,1,1,396,0,127,396.0,0.0,127.0
2014-07,1,12,3229,26,1926,269.1,2.2,160.5
2014-08,1,4,1606,9,528,401.5,2.2,132.0
2014-09,1,4,549,5,512,137.2,1.2,128.0
2014-10,1,3,600,2,514,200.0,0.7,171.3
2014-11,1,5,1022,22,680,204.4,4.4,136.0
2014-12,1,12,2112,45,2042,176.0,3.8,170.2
2015-01,1,5,1078,6,1020,215.6,1.2,204.0
2015-02,1,3,313,2,594,104.3,0.7,198.0
2015-03,1,4,1080,1,892,270.0,0.2,223.0
2015-04,1,3,1346,1,884,448.7,0.3,294.7
2015-05,1,7,2263,4,1751,323.3,0.6,250.1
2015-06,1,1,11,0,233,11.0,0.0,233.0
2015-07,1,13,3373,307,3090,259.5,23.6,237.7
2015-08,1,2,1266,0,404,633.0,0.0,202.0
2015-09,1,2,874,0,399,437.0,0.0,199.5
2015-10,1,2,6,1,488,3.0,0.5,244.0
2015-11,1,2,404,0,412,202.0,0.0,206.0
2016-01,1,2,886,1,440,443.0,0.5,220.0
2016-02,1,2,7,7,397,3.5,3.5,198.5
2016-05,1,2,1337,1,404,668.5,0.5,202.0
2016-07,1,2,7,1,750,3.5,0.5,375.0
2016-08,1,3,566,15,648,188.7,5.0,216.0
2016-09,1,2,472,1,457,236.0,0.5,228.5
2016-11,1,4,1270,1,865,317.5,0.2,216.2
2016-12,1,1,1,0,242,1.0,0.0,242.0
2017-01,1,1,1072,0,183,1072.0,0.0,183.0
2017-02,1,4,29,93,1132,7.2,23.2,283.0
2017-05,1,2,506,0,537,253.0,0.0,268.5
2017-06,1,3,6,0,659,2.0,0.0,219.7
2017-07,1,2,2,2,606,1.0,1.0,303.0
2017-08,1,1,0,0,191,0.0,0.0,191.0
2017-11,1,2,21,15,710,10.5,7.5,355.0
2018-03,1,1,5,10,296,5.0,10.0,296.0
2018-10,1,3,54,30,1553,18.0,10.0,517.7
2019-03,1,2,367,361,976,183.5,180.5,488.0
2019-10,1,3,235,3,837,78.3,1.0,279.0
2020-01,1,1,6,3,757,6.0,3.0,757.0
2020-10,1,1,3,0,617,3.0,0.0,617.0
2021-01,1,1,3,7,372,3.0,7.0,372.0
2021-02,1,1,61,16,1202,61.0,16.0,1202.0
2021-11,1,1,2,57692,394,2.0,57692.0,394.0
