month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-01,1,1,26,0,102,26.0,0.0,102.0
2012-03,1,1,27,0,80,27.0,0.0,80.0
2012-04,1,1,22,0,91,22.0,0.0,91.0
2013-05,1,31,36756,4185,10068,1185.7,135.0,324.8
2013-06,1,49,5180,2498,13169,105.7,51.0,268.8
2013-07,1,129,20349,9790,34691,157.7,75.9,268.9
2013-08,1,71,19022,1045,18038,267.9,14.7,254.1
2013-09,1,98,14431,4234,35675,147.3,43.2,364.0
2013-10,1,98,7025,3239,31307,71.7,33.1,319.5
2013-11,1,81,6062,2686,16267,74.8,33.2,200.8
2013-12,1,58,8006,1812,20520,138.0,31.2,353.8
2014-01,1,78,14951,3442,20713,191.7,44.1,265.6
2014-02,1,57,2902,1721,17782,50.9,30.2,312.0
2014-03,1,61,8725,3455,17771,143.0,56.6,291.3
2014-04,1,49,3259,349,10927,66.5,7.1,223.0
2014-05,1,45,8539,440,12414,189.8,9.8,275.9
2014-06,1,64,4913,2066,20404,76.8,32.3,318.8
2014-07,1,42,1770,914,12657,42.1,21.8,301.4
2014-08,1,50,2188,846,12552,43.8,16.9,251.0
2014-09,1,79,8329,1050,22989,105.4,13.3,291.0
2014-10,1,63,2394,618,17557,38.0,9.8,278.7
2014-11,1,40,2951,781,8563,73.8,19.5,214.1
2014-12,1,86,5678,1848,27921,66.0,21.5,324.7
2015-01,1,71,5816,16081,23214,81.9,226.5,327.0
2015-02,1,24,1295,551,7283,54.0,23.0,303.5
2015-03,1,31,2665,2213,14776,86.0,71.4,476.6
2015-04,1,38,2864,1037,14468,75.4,27.3,380.7
2015-05,1,14,291,78,5380,20.8,5.6,384.3
2015-06,1,33,954,517,9844,28.9,15.7,298.3
2015-07,1,34,1063,264,10411,31.3,7.8,306.2
2015-08,1,22,786,999,6070,35.7,45.4,275.9
2015-09,1,26,4952,2481,7870,190.5,95.4,302.7
2015-10,1,22,1793,137,8191,81.5,6.2,372.3
2015-11,1,9,357,20,3761,39.7,2.2,417.9
2015-12,1,34,3073,659,13482,90.4,19.4,396.5
2016-01,1,36,37475,623,13527,1041.0,17.3,375.8
2016-02,1,46,9316,611,21933,202.5,13.3,476.8
2016-03,1,48,1767,62723,16757,36.8,1306.7,349.1
2016-04,1,45,3357,10794,15223,74.6,239.9,338.3
2016-05,1,13,399,110,4128,30.7,8.5,317.5
2016-06,1,8,251,64,3869,31.4,8.0,483.6
2016-07,1,34,63176,710,19373,1858.1,20.9,569.8
2016-08,1,24,7092,728,8131,295.5,30.3,338.8
2016-09,1,9,438,73,3451,48.7,8.1,383.4
2016-10,1,27,2677,9141,8484,99.1,338.6,314.2
2016-11,1,57,15503,14169,18839,272.0,248.6,330.5
2016-12,1,18,536,264,6340,29.8,14.7,352.2
2017-01,1,18,731,336,7871,40.6,18.7,437.3
2017-02,1,23,1459,1167,9289,63.4,50.7,403.9
2017-03,1,53,1684,698,22721,31.8,13.2,428.7
2017-04,1,31,751,187,15074,24.2,6.0,486.3
2017-05,1,13,235,106,6671,18.1,8.2,513.2
2017-06,1,34,1421,331,12119,41.8,9.7,356.4
2017-07,1,21,1453,73,9453,69.2,3.5,450.1
2017-08,1,15,691,453,8480,46.1,30.2,565.3
2017-09,1,4,36,15,1597,9.0,3.8,399.2
2017-10,1,9,187,152,4571,20.8,16.9,507.9
2017-11,1,16,1175,244,7222,73.4,15.2,451.4
2017-12,1,12,638,44,5534,53.2,3.7,461.2
2018-01,1,12,544,153,6300,45.3,12.8,525.0
2018-02,1,30,2288,1478,16178,76.3,49.3,539.3
2018-03,1,13,579,364,6573,44.5,28.0,505.6
2018-04,1,27,1717,889,17296,63.6,32.9,640.6
2018-05,1,7,77,38,3056,11.0,5.4,436.6
2018-06,1,28,3391,4095,12589,121.1,146.2,449.6
2018-07,1,50,3016,1604,26127,60.3,32.1,522.5
2018-08,1,56,9923,8947,27962,177.2,159.8,499.3
2018-09,1,40,26236,1429,22917,655.9,35.7,572.9
2018-10,1,119,18476,11760,61938,155.3,98.8,520.5
2018-11,1,99,19850,15483,54912,200.5,156.4,554.7
2018-12,1,64,7895,1385,29460,123.4,21.6,460.3
