month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2011-07,1,20,3496,354,318,174.8,17.7,15.9
2011-09,1,9,894,691,163,99.3,76.8,18.1
2011-10,1,12,2860,486,675,238.3,40.5,56.2
2011-11,1,4,6,5,560,1.5,1.2,140.0
2011-12,1,5,70,63,406,14.0,12.6,81.2
2012-02,1,4,69,120,620,17.2,30.0,155.0
2012-03,1,6,285,151,646,47.5,25.2,107.7
2012-04,1,2,4,3,237,2.0,1.5,118.5
2012-05,1,7,1166,29,1124,166.6,4.1,160.6
2012-07,1,2,20,2,317,10.0,1.0,158.5
2012-08,1,1,5,1,110,5.0,1.0,110.0
2012-09,1,7,3454,2169,1898,493.4,309.9,271.1
2012-10,1,3,469,1,272,156.3,0.3,90.7
2012-11,1,5,17,6,530,3.4,1.2,106.0
2012-12,1,6,144,78,1048,24.0,13.0,174.7
2013-01,1,3,2335,2417,739,778.3,805.7,246.3
2013-02,1,17,563,1404,2611,33.1,82.6,153.6
2013-04,1,8,31,33,1107,3.9,4.1,138.4
2013-05,1,2,2,1,222,1.0,0.5,111.0
2013-06,1,6,30,19,879,5.0,3.2,146.5
2013-07,1,13,638,314,1733,49.1,24.2,133.3
2013-08,1,7,57,15,819,8.1,2.1,117.0
2013-09,1,8,118,87,1594,14.8,10.9,199.2
2013-10,1,2,7,448,230,3.5,224.0,115.0
2013-11,1,1,1,0,83,1.0,0.0,83.0
2013-12,1,3,85,14,546,28.3,4.7,182.0
2014-01,1,1,1,1,145,1.0,1.0,145.0
2014-02,1,7,15281,4643,1625,2183.0,663.3,232.1
2014-03,1,7,29,5884,932,4.1,840.6,133.1
2014-04,1,2,5,4,290,2.5,2.0,145.0
2014-05,1,7,77,20,977,11.0,2.9,139.6
2014-07,1,14,644,1387,3005,46.0,99.1,214.6
2014-08,1,8,86,15,1051,10.8,1.9,131.4
2014-09,1,3,4,2,340,1.3,0.7,113.3
2014-11,1,2,42,5,237,21.0,2.5,118.5
2014-12,1,6,17,14,800,2.8,2.3,133.3
2015-01,1,3,108,11,502,36.0,3.7,167.3
2015-02,1,8,61,28,989,7.6,3.5,123.6
2015-03,1,3,3,1,592,1.0,0.3,197.3
2015-04,1,3,67,27,762,22.3,9.0,254.0
2015-05,1,4,13,13,815,3.2,3.2,203.8
2015-06,1,3,5,4,616,1.7,1.3,205.3
2015-07,1,8,248,17,1670,31.0,2.1,208.8
2015-08,1,3,7,3,675,2.3,1.0,225.0
2015-09,1,11,91,79,3692,8.3,7.2,335.6
2015-10,1,22,131,28,7888,6.0,1.3,358.5
2015-11,1,4,28,8,1422,7.0,2.0,355.5
2015-12,1,5,80,10,1251,16.0,2.0,250.2
2016-01,1,9,662,151,2324,73.6,16.8,258.2
2016-02,1,15,58,51,5958,3.9,3.4,397.2
2016-03,1,3,6,4,819,2.0,1.3,273.0
2016-04,1,7,206,52,1652,29.4,7.4,236.0
2016-05,1,3,30,16,769,10.0,5.3,256.3
2016-06,1,2,4,5,596,2.0,2.5,298.0
2016-07,1,1,1,1,233,1.0,1.0,233.0
2016-11,1,1,43,4,446,43.0,4.0,446.0
2016-12,1,1,9,5,211,9.0,5.0,211.0
2017-01,1,1,22,0,269,22.0,0.0,269.0
2017-02,1,1,0,2,238,0.0,2.0,238.0
2017-04,1,3,9870,5858,1733,3290.0,1952.7,577.7
2017-06,1,3,14,5,906,4.7,1.7,302.0
2017-07,1,1,2,2,226,2.0,2.0,226.0
2017-08,1,3,3,2,1497,1.0,0.7,499.0
2017-09,1,1,6,0,288,6.0,0.0,288.0
2017-10,1,1,33,11,300,33.0,11.0,300.0
2018-01,1,2,38,38,534,19.0,19.0,267.0
2018-02,1,2,9,9,708,4.5,4.5,354.0
2018-03,1,2,10,14,652,5.0,7.0,326.0
2018-05,1,1,1,1,379,1.0,1.0,379.0
2018-06,1,1,1,1,448,1.0,1.0,448.0
2018-07,1,9,25,20,3156,2.8,2.2,350.7
2018-08,1,1,1,1,218,1.0,1.0,218.0
2018-09,1,1,1,1,230,1.0,1.0,230.0
2018-10,1,2,42,40,1323,21.0,20.0,661.5
2018-11,1,3,32,5,1084,10.7,1.7,361.3
2019-02,1,1,1,1,413,1.0,1.0,413.0
2019-03,1,4,97,90,3066,24.2,22.5,766.5
2019-06,1,1,1,1,529,1.0,1.0,529.0
2019-08,1,1,4,0,313,4.0,0.0,313.0
2019-09,1,2,19,18,1340,9.5,9.0,670.0
2019-10,1,1,39,5,407,39.0,5.0,407.0
2019-12,1,3,5,3,1163,1.7,1.0,387.7
2020-02,1,1,5,3,561,5.0,3.0,561.0
2020-05,1,3,52,9,2098,17.3,3.0,699.3
2020-09,1,1,1,1,906,1.0,1.0,906.0
2020-10,1,2,9,2,1088,4.5,1.0,544.0
2020-12,1,1,3,1,322,3.0,1.0,322.0
2021-02,1,3,64,20,2032,21.3,6.7,677.3
2021-03,1,3,39,76,2723,13.0,25.3,907.7
2021-05,1,2,3,3,1063,1.5,1.5,531.5
2021-06,1,2,660,17390,1383,330.0,8695.0,691.5
2022-07,1,1,0,6,778,0.0,6.0,778.0
2023-10,1,1,1,1,545,1.0,1.0,545.0
2024-07,1,1,2,2,531,2.0,2.0,531.0
2025-10,1,1,2,2,635,2.0,2.0,635.0
