month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2011-07,1,20,3496,354,1638,174.8,17.7,81.9
2011-09,1,9,894,691,757,99.3,76.8,84.1
2011-10,1,12,2860,486,1462,238.3,40.5,121.8
2011-11,1,4,6,5,820,1.5,1.2,205.0
2011-12,1,5,70,63,731,14.0,12.6,146.2
2012-01,1,1,26,0,167,26.0,0.0,167.0
2012-02,1,4,69,120,880,17.2,30.0,220.0
2012-03,1,7,312,151,1181,44.6,21.6,168.7
2012-04,1,3,26,3,523,8.7,1.0,174.3
2012-05,1,7,1166,29,1585,166.6,4.1,226.4
2012-07,1,2,20,2,453,10.0,1.0,226.5
2012-08,1,1,5,1,175,5.0,1.0,175.0
2012-09,1,7,3454,2169,2353,493.4,309.9,336.1
2012-10,1,3,469,1,467,156.3,0.3,155.7
2012-11,1,5,17,6,855,3.4,1.2,171.0
2012-12,1,6,144,78,1438,24.0,13.0,239.7
2013-01,1,3,2335,2417,934,778.3,805.7,311.3
2013-02,1,18,565,1418,3882,31.4,78.8,215.7
2013-03,1,9,6029,117,1619,669.9,13.0,179.9
2013-04,1,9,35,37,1798,3.9,4.1,199.8
2013-05,1,6,108,6,1113,18.0,1.0,185.5
2013-06,1,20,1442,316,3988,72.1,15.8,199.4
2013-07,1,18,1089,319,3464,60.5,17.7,192.4
2013-08,1,7,57,15,1274,8.1,2.1,182.0
2013-09,1,27,2022,2303,6489,74.9,85.3,240.3
2013-10,1,8,447,453,2116,55.9,56.6,264.5
2013-11,1,11,434,15,1794,39.5,1.4,163.1
2013-12,1,18,1115,29,3359,61.9,1.6,186.6
2014-01,1,3,4,4,775,1.3,1.3,258.3
2014-02,1,8,15354,4643,2269,1919.2,580.4,283.6
2014-03,1,14,1268,5918,2752,90.6,422.7,196.6
2014-04,1,4,84,7,1018,21.0,1.8,254.5
2014-05,1,12,138,30,2723,11.5,2.5,226.9
2014-06,1,1,57,0,169,57.0,0.0,169.0
2014-07,1,24,1285,1442,6368,53.5,60.1,265.3
2014-08,1,19,1031,27,3913,54.3,1.4,205.9
2014-09,1,7,208,5,1378,29.7,0.7,196.9
2014-10,1,1,78,0,180,78.0,0.0,180.0
2014-11,1,8,166,26,1457,20.8,3.2,182.1
2014-12,1,14,320,26,3250,22.9,1.9,232.1
2015-01,1,13,657,249,3573,50.5,19.2,274.8
2015-02,1,13,347,32,3060,26.7,2.5,235.4
2015-03,1,5,6,3,1391,1.2,0.6,278.2
2015-04,1,4,79,33,1342,19.8,8.2,335.5
2015-05,1,6,215,14,1626,35.8,2.3,271.0
2015-06,1,4,104,4,1061,26.0,1.0,265.2
2015-07,1,16,1594,27,4406,99.6,1.7,275.4
2015-08,1,7,217,21,2101,31.0,3.0,300.1
2015-09,1,11,91,79,4407,8.3,7.2,400.6
