month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-09,1,1,23,0,300,23.0,0.0,300.0
2016-03,1,5,945,62,171,189.0,12.4,34.2
2016-04,1,26,434494,4910,2124,16711.3,188.8,81.7
2016-05,1,84,305401,45348,8194,3635.7,539.9,97.5
2016-06,1,48,460675,162,4294,9597.4,3.4,89.5
2016-07,1,31,2961,1075,2807,95.5,34.7,90.5
2016-08,1,21,9595,104,2607,456.9,5.0,124.1
2016-09,1,15,393,47,1689,26.2,3.1,112.6
2016-10,1,15,677,163,2812,45.1,10.9,187.5
2016-11,1,15,158,36,2917,10.5,2.4,194.5
2016-12,1,37,421357,198106,7217,11388.0,5354.2,195.1
2017-01,1,56,178875,214832,7686,3194.2,3836.3,137.2
2017-02,1,33,983,40,9063,29.8,1.2,274.6
2017-03,1,60,208342,37388,10510,3472.4,623.1,175.2
2017-04,1,73,662620,520,7774,9077.0,7.1,106.5
2017-05,1,102,4195,381,7265,41.1,3.7,71.2
2017-06,1,95,794279,187968,8685,8360.8,1978.6,91.4
2017-07,1,47,61269,656713,3392,1303.6,13972.6,72.2
2017-08,1,147,940642,68632,9546,6398.9,466.9,64.9
2017-09,1,143,211103,242166,11301,1476.2,1693.5,79.0
2017-10,1,65,28295,472,4941,435.3,7.3,76.0
2017-11,1,80,329256,157255,6668,4115.7,1965.7,83.3
2017-12,1,43,7347,1005,2524,170.9,23.4,58.7
2018-01,1,117,155590,282660,9172,1329.8,2415.9,78.4
2018-02,1,137,2241802,486039,9992,16363.5,3547.7,72.9
2018-03,1,126,350760,171996,10750,2783.8,1365.0,85.3
2018-04,1,61,3139,1020,5693,51.5,16.7,93.3
2018-05,1,124,4744392,4518850,9512,38261.2,36442.3,76.7
2018-06,1,149,2389267,2323980,11943,16035.3,15597.2,80.2
2018-07,1,98,2430876,2401120,7190,24804.9,24501.2,73.4
2018-08,1,130,490837,451046,9144,3775.7,3469.6,70.3
2018-09,1,110,307119,220550,10059,2792.0,2005.0,91.4
2018-10,1,108,13625,1252,8784,126.2,11.6,81.3
2018-11,1,85,302893,138506,6637,3563.4,1629.5,78.1
2018-12,1,77,8687,583,9569,112.8,7.6,124.3
2019-01,1,66,5904,1540,5552,89.5,23.3,84.1
2019-02,1,121,2698215,2691886,9004,22299.3,22247.0,74.4
2019-03,1,100,132417,117269,9137,1324.2,1172.7,91.4
2019-04,1,141,477367,397739,13501,3385.6,2820.8,95.8
2019-05,1,130,557410,1358449,10921,4287.8,10449.6,84.0
2019-06,1,92,306928,344199,7350,3336.2,3741.3,79.9
2019-07,1,68,6184,1808,7834,90.9,26.6,115.2
2019-08,1,55,53153,405,6926,966.4,7.4,125.9
2019-09,1,90,492332,337480,9622,5470.4,3749.8,106.9
2019-10,1,89,2030673,472556,9184,22816.6,5309.6,103.2
2019-11,1,102,1015502,130975,8053,9955.9,1284.1,79.0
2019-12,1,92,62645,139518,7478,680.9,1516.5,81.3
2020-01,1,138,5915,3057,9774,42.9,22.2,70.8
2020-02,1,135,24066,324104,9582,178.3,2400.8,71.0
2020-03,1,146,46878,71979,13896,321.1,493.0,95.2
2020-04,1,75,48657,15740,7260,648.8,209.9,96.8
2020-05,1,58,6443,2826,5334,111.1,48.7,92.0
2020-06,1,74,218181,94982,6623,2948.4,1283.5,89.5
2020-07,1,102,359291,1213744,8066,3522.5,11899.5,79.1
2020-08,1,80,8975,6284,11363,112.2,78.5,142.0
2020-09,1,63,9817,6144,8853,155.8,97.5,140.5
2020-10,1,82,34407,678,11686,419.6,8.3,142.5
2020-11,1,72,260695,74165,6418,3620.8,1030.1,89.1
2020-12,1,49,12813,7843,5192,261.5,160.1,106.0
