month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-04,1,5,2240,0,116,448.0,0.0,23.2
2015-05,1,1,1,1,153,1.0,1.0,153.0
2015-06,1,2,34,4,624,17.0,2.0,312.0
2015-08,1,26,2147,1184,2058,82.6,45.5,79.2
2015-09,1,15,84,81,1373,5.6,5.4,91.5
2015-10,1,14,45,18,1185,3.2,1.3,84.6
2015-11,1,6,192,132,632,32.0,22.0,105.3
2015-12,1,22,526,166,2146,23.9,7.5,97.5
2016-01,1,15,14,84,1411,0.9,5.6,94.1
2016-02,1,34,440,137,7467,12.9,4.0,219.6
2016-03,1,22,74,68,1641,3.4,3.1,74.6
2016-04,1,17,139,9,3345,8.2,0.5,196.8
2016-05,1,15,2612,1133,3144,174.1,75.5,209.6
2016-06,1,26,620,156,6064,23.8,6.0,233.2
2016-07,1,26,1037,840,7797,39.9,32.3,299.9
2016-08,1,32,1083,503,8357,33.8,15.7,261.2
2016-09,1,35,2632,417,13944,75.2,11.9,398.4
2016-10,1,34,356,111,13097,10.5,3.3,385.2
2016-11,1,41,626,474,12997,15.3,11.6,317.0
2016-12,1,25,120,293,4282,4.8,11.7,171.3
2017-01,1,42,1363,329,14866,32.5,7.8,354.0
2017-02,1,24,327,368,8342,13.6,15.3,347.6
2017-03,1,15,1704,27,8251,113.6,1.8,550.1
2017-04,1,57,820,624,12398,14.4,10.9,217.5
2017-05,1,48,1029,403,22227,21.4,8.4,463.1
2017-06,1,36,410,210,6742,11.4,5.8,187.3
2017-07,1,81,1733,486,28336,21.4,6.0,349.8
2017-08,1,105,2149,279,37640,20.5,2.7,358.5
2017-09,1,59,3829,1275,19134,64.9,21.6,324.3
2017-10,1,72,1193,1618,31766,16.6,22.5,441.2
2017-11,1,68,1366,444,17837,20.1,6.5,262.3
2017-12,1,42,2818,260,13701,67.1,6.2,326.2
2018-01,1,125,2142,1629,28081,17.1,13.0,224.6
2018-02,1,77,1952,1265,19793,25.4,16.4,257.1
2018-03,1,94,1961,5399,12013,20.9,57.4,127.8
2018-04,1,73,4613,1317,10554,63.2,18.0,144.6
2018-05,1,74,4309,270,11969,58.2,3.6,161.7
2018-06,1,38,1784,532,6439,46.9,14.0,169.4
2018-07,1,53,2046,1420,6054,38.6,26.8,114.2
2018-08,1,40,601,270,5833,15.0,6.8,145.8
2018-09,1,26,917,361,3048,35.3,13.9,117.2
2018-10,1,51,928,497,5800,18.2,9.7,113.7
