month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-05,1,10,378,8,470,37.8,0.8,47.0
2016-06,1,7,161,6,940,23.0,0.9,134.3
2016-07,1,27,163,13,2372,6.0,0.5,87.9
2016-08,1,12,112,77,854,9.3,6.4,71.2
2016-09,1,9,9,8,841,1.0,0.9,93.4
2016-10,1,15,118,47,967,7.9,3.1,64.5
2016-11,1,7,54,33,273,7.7,4.7,39.0
2016-12,1,55,217,74,3841,3.9,1.3,69.8
2017-01,1,1,0,0,74,0.0,0.0,74.0
2017-02,1,7,33,15,353,4.7,2.1,50.4
2017-03,1,196,5543,2540,12066,28.3,13.0,61.6
2017-04,1,17,42,38,1516,2.5,2.2,89.2
2017-05,1,7,17,5,303,2.4,0.7,43.3
2017-06,1,121,3481,2393,8369,28.8,19.8,69.2
2017-07,1,7,15,13,411,2.1,1.9,58.7
2017-08,1,57,1058,111,4340,18.6,1.9,76.1
2017-09,1,152,1474,644,11008,9.7,4.2,72.4
2017-10,1,11,278,149,889,25.3,13.5,80.8
2017-11,1,8,26,13,795,3.2,1.6,99.4
2017-12,1,27,1584,6922,1940,58.7,256.4,71.9
2018-01,1,35,978,6860,3463,27.9,196.0,98.9
2018-02,1,14,350,179,1058,25.0,12.8,75.6
2018-03,1,17,1733,74,1509,101.9,4.4,88.8
2018-04,1,16,1113,125,1159,69.6,7.8,72.4
2018-05,1,17,645,25,987,37.9,1.5,58.1
2018-06,1,43,1363,195,3119,31.7,4.5,72.5
2018-07,1,50,2653,721,3462,53.1,14.4,69.2
2018-08,1,35,1955,203,2471,55.9,5.8,70.6
2018-09,1,23,1315,228,1586,57.2,9.9,69.0
2018-10,1,39,1446,241,2371,37.1,6.2,60.8
2018-11,1,57,1850,78,6690,32.5,1.4,117.4
2018-12,1,37,2087,635,2670,56.4,17.2,72.2
2019-01,1,215,12667,3299,14678,58.9,15.3,68.3
2019-02,1,144,40203,1204,9986,279.2,8.4,69.3
2019-03,1,132,6875,1657,9508,52.1,12.6,72.0
2019-04,1,197,8174,2207,16390,41.5,11.2,83.2
2019-05,1,71,2166,537,5789,30.5,7.6,81.5
2019-06,1,64,20369,3656,4941,318.3,57.1,77.2
2019-07,1,107,15944,57059,8882,149.0,533.3,83.0
2019-08,1,34,2785,325,3568,81.9,9.6,104.9
2019-09,1,56,2933,668,4699,52.4,11.9,83.9
2019-10,1,188,7101,2010,14409,37.8,10.7,76.6
2019-11,1,59,2031,280,3862,34.4,4.7,65.5
2019-12,1,59,1699,462,5143,28.8,7.8,87.2
2020-01,1,224,5441,2062,16845,24.3,9.2,75.2
2020-02,1,61,4034,757,4898,66.1,12.4,80.3
2020-03,1,96,3814,442,7407,39.7,4.6,77.2
2020-04,1,134,5729,1309,10461,42.8,9.8,78.1
2020-05,1,180,14266,2187,17162,79.3,12.2,95.3
2020-06,1,74,5020,1499,7873,67.8,20.3,106.4
2020-07,1,49,4460,397,7649,91.0,8.1,156.1
2020-08,1,60,4001,538,4573,66.7,9.0,76.2
2020-09,1,120,11030,2168,13615,91.9,18.1,113.5
2020-10,1,161,7576,3442,17133,47.1,21.4,106.4
2020-11,1,60,2983,751,6295,49.7,12.5,104.9
2020-12,1,86,6435,3077,6821,74.8,35.8,79.3
2021-01,1,179,13352,2328,16903,74.6,13.0,94.4
2021-02,1,349,17380,7656,31189,49.8,21.9,89.4
2021-03,1,74,6600,2552,6552,89.2,34.5,88.5
2021-04,1,128,6564,2145,10945,51.3,16.8,85.5
2021-05,1,281,9272,4205,26339,33.0,15.0,93.7
2021-06,1,39,1694,290,3437,43.4,7.4,88.1
2021-07,1,36,4556,845,3576,126.6,23.5,99.3
2021-08,1,86,4681,1331,6770,54.4,15.5,78.7
2021-09,1,185,11446,1942,23046,61.9,10.5,124.6
2021-10,1,55,3948,736,5745,71.8,13.4,104.5
2021-11,1,66,2191,402,7705,33.2,6.1,116.7
2021-12,1,37,4542,680,4953,122.8,18.4,133.9
2022-01,1,201,13323,3046,16500,66.3,15.2,82.1
2022-02,1,94,3006,1390,14922,32.0,14.8,158.7
2022-03,1,48,3556,710,6844,74.1,14.8,142.6
2022-04,1,33,2397,504,2257,72.6,15.3,68.4
2022-05,1,54,2571,1276,3984,47.6,23.6,73.8
2022-06,1,254,20285,2646,24776,79.9,10.4,97.5
2022-07,1,23,612,251,4124,26.6,10.9,179.3
2022-08,1,48,2104,421,4243,43.8,8.8,88.4
2022-09,1,140,10389,5575,13652,74.2,39.8,97.5
