month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-01,1,3,254,3,2023,84.7,1.0,674.3
2015-03,1,3,91,11,717,30.3,3.7,239.0
2015-04,1,5,96,116,676,19.2,23.2,135.2
2015-05,1,5,78,16,612,15.6,3.2,122.4
2015-06,1,16,649,63,1644,40.6,3.9,102.8
2015-07,1,7,189,79,1166,27.0,11.3,166.6
2015-08,1,4,32,13,166,8.0,3.2,41.5
2015-10,1,2,16,1,64,8.0,0.5,32.0
2015-12,1,2,19,6,365,9.5,3.0,182.5
2016-01,1,5,14,4,676,2.8,0.8,135.2
2016-02,1,1,6,2,207,6.0,2.0,207.0
2016-03,1,6,10296,1132,537,1716.0,188.7,89.5
2016-05,1,50,11131,1558,6997,222.6,31.2,139.9
2016-06,1,186,18722,7704,16293,100.7,41.4,87.6
2016-07,1,211,6053638,696585,22218,28690.2,3301.4,105.3
2016-08,1,165,4493,2198,14132,27.2,13.3,85.6
2016-09,1,199,2166559,787272,16418,10887.2,3956.1,82.5
2016-10,1,225,171429,95363,18061,761.9,423.8,80.3
2016-11,1,218,1237521,789237,18278,5676.7,3620.4,83.8
2016-12,1,382,434452,454192,26908,1137.3,1189.0,70.4
2017-01,1,459,23345,5609,39636,50.9,12.2,86.4
2017-02,1,290,19052,5384,23514,65.7,18.6,81.1
2017-03,1,287,1970103,1194140,23062,6864.5,4160.8,80.4
2017-04,1,232,18832,2130,18378,81.2,9.2,79.2
2017-05,1,168,13150,2689,15426,78.3,16.0,91.8
2017-06,1,124,1331043,519828,11971,10734.2,4192.2,96.5
2017-07,1,269,137361,3174,24979,510.6,11.8,92.9
2017-08,1,256,33215,7609,61400,129.7,29.7,239.8
2017-09,1,227,12183,4073,37841,53.7,17.9,166.7
2017-10,1,319,1861211,2033675,47030,5834.5,6375.2,147.4
2017-11,1,301,517662,186719,56571,1719.8,620.3,187.9
2017-12,1,238,20170,7503,32622,84.7,31.5,137.1
2018-01,1,173,377069,63426,15920,2179.6,366.6,92.0
2018-02,1,232,690982,7911759,20891,2978.4,34102.4,90.0
2018-03,1,386,40380,6385,34190,104.6,16.5,88.6
2018-04,1,274,349523,182151,18988,1275.6,664.8,69.3
2018-05,1,172,44028,693,13325,256.0,4.0,77.5
2018-06,1,260,43652,3867,29496,167.9,14.9,113.4
2018-07,1,202,22268,10289,17345,110.2,50.9,85.9
2018-08,1,145,21995,20105,16643,151.7,138.7,114.8
2018-09,1,132,240794,154752,11777,1824.2,1172.4,89.2
2018-10,1,251,120275,68374,21310,479.2,272.4,84.9
2018-11,1,167,4913,2408,15368,29.4,14.4,92.0
2018-12,1,134,75963,18649,12509,566.9,139.2,93.4
2019-01,1,183,16094,8048,13565,87.9,44.0,74.1
2019-02,1,135,7161,4737,11210,53.0,35.1,83.0
2019-03,1,184,11636,4211,15457,63.2,22.9,84.0
2019-04,1,136,67671,56204,10912,497.6,413.3,80.2
2019-05,1,144,48524,89183,13950,337.0,619.3,96.9
2019-06,1,82,2187,801,8802,26.7,9.8,107.3
2019-07,1,106,45439,7533,10779,428.7,71.1,101.7
2019-08,1,170,387480,686686,14993,2279.3,4039.3,88.2
2019-09,1,253,81287,10276,21929,321.3,40.6,86.7
2019-10,1,167,85953,120695,13236,514.7,722.7,79.3
