month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-11,1,1,309,0,12,309.0,0.0,12.0
2016-12,1,4,37,0,320,9.2,0.0,80.0
2017-02,1,2,9,1,132,4.5,0.5,66.0
2017-03,1,2,56,0,113,28.0,0.0,56.5
2017-06,1,6,306,1,294,51.0,0.2,49.0
2017-08,1,6,2,60,424,0.3,10.0,70.7
2017-09,1,6,534,2,379,89.0,0.3,63.2
2017-10,1,8,50,6,456,6.2,0.8,57.0
2017-11,1,12,512,44,733,42.7,3.7,61.1
2017-12,1,10,792,199,717,79.2,19.9,71.7
2018-01,1,7,18,6,736,2.6,0.9,105.1
2018-02,1,7,13,7,472,1.9,1.0,67.4
2018-03,1,3,3,2,239,1.0,0.7,79.7
2018-04,1,20,34,34,878,1.7,1.7,43.9
2018-05,1,23,3933,974,1935,171.0,42.3,84.1
2018-06,1,10,1024,156,624,102.4,15.6,62.4
2018-07,1,5,61,3,209,12.2,0.6,41.8
2018-08,1,12,17,17,623,1.4,1.4,51.9
2018-09,1,19,353,175,1646,18.6,9.2,86.6
2018-10,1,10,957,16,686,95.7,1.6,68.6
2018-11,1,4,3,3,224,0.8,0.8,56.0
2018-12,1,3,10,3,99,3.3,1.0,33.0
2019-01,1,7,23,22,879,3.3,3.1,125.6
2019-02,1,6,199,5,877,33.2,0.8,146.2
2019-03,1,15,5491,3449,1499,366.1,229.9,99.9
2019-04,1,77,5755,1284,7230,74.7,16.7,93.9
2019-05,1,32,983,308,2245,30.7,9.6,70.2
2019-06,1,26,238,69,3063,9.2,2.7,117.8
2019-07,1,24,7585,4206,1800,316.0,175.2,75.0
2019-08,1,59,1814,704,6074,30.7,11.9,102.9
2019-09,1,35,524,97,2060,15.0,2.8,58.9
2019-10,1,33,11052,523,2691,334.9,15.8,81.5
2019-11,1,71,5947,1972,7833,83.8,27.8,110.3
2019-12,1,22,150,423,2183,6.8,19.2,99.2
2020-01,1,13,51,39,1188,3.9,3.0,91.4
2020-02,1,9,78,14,926,8.7,1.6,102.9
2020-03,1,20,314,221,1667,15.7,11.1,83.3
2020-04,1,28,930,623,3080,33.2,22.2,110.0
2020-05,1,22,316,105,4269,14.4,4.8,194.0
2020-06,1,16,649,116,1669,40.6,7.2,104.3
2020-07,1,14,158,108,2267,11.3,7.7,161.9
2020-08,1,24,97,186,4691,4.0,7.8,195.5
2020-09,1,29,1029,1025,4679,35.5,35.3,161.3
2020-10,1,1,60,6,35,60.0,6.0,35.0
2020-11,1,17,1403,13768,1473,82.5,809.9,86.6
2020-12,1,5,78,30,487,15.6,6.0,97.4
2021-01,1,7,31,44,697,4.4,6.3,99.6
2021-02,1,5,131,21,791,26.2,4.2,158.2
2021-03,1,25,281,912,2799,11.2,36.5,112.0
2021-04,1,26,3009,387,4447,115.7,14.9,171.0
2021-05,1,20,239,276,2288,11.9,13.8,114.4
2021-06,1,13,1072,372,1785,82.5,28.6,137.3
2021-07,1,12,138,380,1588,11.5,31.7,132.3
2021-08,1,18,1113,155,4035,61.8,8.6,224.2
2021-10,1,6,74,92,764,12.3,15.3,127.3
2021-11,1,10,757,110,2755,75.7,11.0,275.5
2021-12,1,8,38,19,1529,4.8,2.4,191.1
2022-01,1,6,86,127,1302,14.3,21.2,217.0
2022-02,1,5,17,1,872,3.4,0.2,174.4
