month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-06,1,2,324,2,222,162.0,1.0,111.0
2016-08,1,1,8,0,38,8.0,0.0,38.0
2016-09,1,1,0,0,96,0.0,0.0,96.0
2016-11,1,2,2,2,124,1.0,1.0,62.0
2017-08,1,2,4,4,286,2.0,2.0,143.0
2017-09,1,1,1,1,30,1.0,1.0,30.0
2017-10,1,1,1,1,54,1.0,1.0,54.0
2017-12,1,10,21,61,665,2.1,6.1,66.5
2018-01,1,2,9,30,168,4.5,15.0,84.0
2018-03,1,2,6,4,622,3.0,2.0,311.0
2018-04,1,1,1,1,43,1.0,1.0,43.0
2018-05,1,3,18,0,228,6.0,0.0,76.0
2018-07,1,3,27,9,304,9.0,3.0,101.3
2018-08,1,2,1,2,104,0.5,1.0,52.0
2018-09,1,4,7,6,400,1.8,1.5,100.0
2018-10,1,6,3,3,593,0.5,0.5,98.8
2018-11,1,2,6,0,107,3.0,0.0,53.5
2019-03,1,6,7,7,411,1.2,1.2,68.5
2019-10,1,2,3,8,121,1.5,4.0,60.5
2020-02,1,1,1,1,34,1.0,1.0,34.0
2020-03,1,1,0,0,89,0.0,0.0,89.0
2020-04,1,2,1,1,123,0.5,0.5,61.5
2020-07,1,3,25,3,133,8.3,1.0,44.3
2020-08,1,2,6,7,135,3.0,3.5,67.5
2022-04,1,2,2,3,195,1.0,1.5,97.5
2022-06,1,3,3,6,121,1.0,2.0,40.3
2022-09,1,1,0,0,64,0.0,0.0,64.0
2023-01,1,3,4,5,278,1.3,1.7,92.7
