month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-12,1,1,0,4,93,0.0,4.0,93.0
2017-04,1,2,20,18,291,10.0,9.0,145.5
2017-05,1,21,16995,1078,9401,809.3,51.3,447.7
2017-06,1,12,225,212,3724,18.8,17.7,310.3
2017-07,1,24,884,6996,7762,36.8,291.5,323.4
2017-08,1,43,4530,6862,15115,105.3,159.6,351.5
2017-09,1,22,8427,3977,7366,383.0,180.8,334.8
2017-10,1,16,622,807,8624,38.9,50.4,539.0
2017-11,1,19,1112,1181,7915,58.5,62.2,416.6
2017-12,1,12,348,211,3818,29.0,17.6,318.2
2018-01,1,21,504,595,9874,24.0,28.3,470.2
2018-02,1,28,2186,249,12262,78.1,8.9,437.9
2018-03,1,4,12,842,1606,3.0,210.5,401.5
2018-04,1,19,457,436,7049,24.1,22.9,371.0
2018-05,1,27,815,827,11210,30.2,30.6,415.2
2018-06,1,21,2478,669,13592,118.0,31.9,647.2
2018-07,1,10,347,235,5992,34.7,23.5,599.2
2018-08,1,13,1458,630,6615,112.2,48.5,508.8
2018-09,1,10,118,104,2123,11.8,10.4,212.3
2018-10,1,14,839,902,1756,59.9,64.4,125.4
2018-11,1,15,522,469,3578,34.8,31.3,238.5
2018-12,1,5,366,382,805,73.2,76.4,161.0
2019-01,1,13,587,562,1734,45.2,43.2,133.4
2019-02,1,26,4744,1113,3573,182.5,42.8,137.4
2019-03,1,20,1502,1388,2829,75.1,69.4,141.4
2019-04,1,44,1158,259526,6337,26.3,5898.3,144.0
2019-05,1,12,111,99,1662,9.2,8.2,138.5
2019-06,1,22,183,156,3093,8.3,7.1,140.6
2019-07,1,20,2372,1301,2798,118.6,65.0,139.9
2019-08,1,27,458,340,4756,17.0,12.6,176.1
2019-09,1,5,58,58,563,11.6,11.6,112.6
2019-10,1,15,127,160,2002,8.5,10.7,133.5
2019-11,1,13,252,227,2016,19.4,17.5,155.1
2019-12,1,8,88,91,949,11.0,11.4,118.6
2020-01,1,29,1845,572,4103,63.6,19.7,141.5
2020-02,1,19,172,162,2160,9.1,8.5,113.7
2020-03,1,26,280,278,3872,10.8,10.7,148.9
2020-04,1,9,107,103,1470,11.9,11.4,163.3
2020-05,1,24,372,191,4809,15.5,8.0,200.4
2020-06,1,15,258,213,2941,17.2,14.2,196.1
2020-07,1,18,204,191,2444,11.3,10.6,135.8
2020-08,1,8,110,110,1035,13.8,13.8,129.4
2020-09,1,9,192,88,1126,21.3,9.8,125.1
2020-10,1,8,97,85,1395,12.1,10.6,174.4
2020-11,1,18,389,283,2536,21.6,15.7,140.9
2020-12,1,3,27,34,440,9.0,11.3,146.7
2021-01,1,9,121,171,1780,13.4,19.0,197.8
2021-02,1,10,81,86,2150,8.1,8.6,215.0
2021-03,1,13,200,184,2591,15.4,14.2,199.3
2021-04,1,9,126,127,1147,14.0,14.1,127.4
2021-05,1,14,218,226,3531,15.6,16.1,252.2
2021-06,1,21,252,775,3852,12.0,36.9,183.4
2021-07,1,5,214,68,780,42.8,13.6,156.0
2021-08,1,12,173,143,2908,14.4,11.9,242.3
2021-09,1,9,116,97,1290,12.9,10.8,143.3
2021-10,1,7,138,84,1183,19.7,12.0,169.0
2021-11,1,14,168,211,2175,12.0,15.1,155.4
2021-12,1,19,216,232,3364,11.4,12.2,177.1
2022-01,1,6,80,78,1263,13.3,13.0,210.5
2022-02,1,6,262,254,877,43.7,42.3,146.2
2022-03,1,14,183,184,2027,13.1,13.1,144.8
2022-04,1,1,1,1,215,1.0,1.0,215.0
2022-05,1,9,199,269,1048,22.1,29.9,116.4
2022-06,1,13,197,223,6373,15.2,17.2,490.2
