month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2018-08,1,4,2557,0,332,639.2,0.0,83.0
2018-11,1,3,103,98,1197,34.3,32.7,399.0
2018-12,1,6,401,415,970,66.8,69.2,161.7
2019-01,1,19,935,901,2495,49.2,47.4,131.3
2019-02,1,26,4750,3649,3507,182.7,140.3,134.9
2019-03,1,13,1401,1345,1641,107.8,103.5,126.2
2019-04,1,39,1163,254736,5501,29.8,6531.7,141.1
2019-05,1,10,98,90,1260,9.8,9.0,126.0
2019-06,1,22,172,145,3093,7.8,6.6,140.6
2019-07,1,17,267,164,2389,15.7,9.6,140.5
2019-08,1,27,431,312,4756,16.0,11.6,176.1
2019-09,1,5,54,54,563,10.8,10.8,112.6
2019-10,1,11,115,128,6341,10.5,11.6,576.5
2019-11,1,14,238,214,2186,17.0,15.3,156.1
2019-12,1,7,77,77,872,11.0,11.0,124.6
2020-01,1,25,234,308,3568,9.4,12.3,142.7
2020-02,1,3,27,25,320,9.0,8.3,106.7
2020-07,1,2,12,1,189,6.0,0.5,94.5
