month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2018-06,1,3,998,0,142,332.7,0.0,47.3,2
2018-07,1,2,233,7,79,116.5,3.5,39.5,2
2018-08,1,19,620139,137,1012,32638.9,7.2,53.3,4
2018-09,1,54,501,110,3301,9.3,2.0,61.1,4
2018-10,1,85,261,82,5877,3.1,1.0,69.1,8
2018-11,1,60,94172,19024,3370,1569.5,317.1,56.2,5
2018-12,1,40,44,14,2019,1.1,0.3,50.5,5
2019-01,1,175,210031,171143,11268,1200.2,978.0,64.4,18
2019-02,1,125,428,309,8856,3.4,2.5,70.8,19
2019-03,1,168,1222,1030,12324,7.3,6.1,73.4,30
2019-04,1,130,433,248,9364,3.3,1.9,72.0,21
2019-05,1,112,634,668,7251,5.7,6.0,64.7,17
2019-06,1,118,363,245,8479,3.1,2.1,71.9,19
2019-07,1,106,292,127,7431,2.8,1.2,70.1,18
2019-08,1,106,2466,727308,6557,23.3,6861.4,61.9,22
2019-09,1,116,283,175,7406,2.4,1.5,63.8,16
2019-10,1,155,292,523,9463,1.9,3.4,61.1,30
2019-11,1,108,296,137,8029,2.7,1.3,74.3,22
2019-12,1,90,1005,614,5474,11.2,6.8,60.8,18
2020-01,1,121,219,84,7793,1.8,0.7,64.4,30
2020-02,1,95,307,122,6656,3.2,1.3,70.1,21
2020-03,1,103,180,33,6459,1.7,0.3,62.7,22
2020-04,1,103,307,264,7671,3.0,2.6,74.5,21
2020-05,1,70,122,35,4206,1.7,0.5,60.1,14
2020-06,1,90,338,257,6780,3.8,2.9,75.3,18
2020-07,1,266,471,537,15686,1.8,2.0,59.0,29
2020-08,1,151,376,405,10063,2.5,2.7,66.6,31
2020-09,1,93,133,358,7340,1.4,3.8,78.9,26
2020-10,1,91,261,112,7794,2.9,1.2,85.6,19
2020-11,1,65,153,132,5525,2.4,2.0,85.0,14
2020-12,1,58,58,47,3668,1.0,0.8,63.2,18
2021-01,1,146,368,283,10223,2.5,1.9,70.0,20
2021-02,1,72,77,164,4470,1.1,2.3,62.1,16
2021-03,1,100,267,89,7955,2.7,0.9,79.5,25
2021-04,1,97,1505,92,7020,15.5,0.9,72.4,16
2021-05,1,99,249,111,8856,2.5,1.1,89.5,24
2021-06,1,74,83,50,5109,1.1,0.7,69.0,22
2021-07,1,48,442,37,3586,9.2,0.8,74.7,10
2021-08,1,78,549,358,6907,7.0,4.6,88.6,24
2021-09,1,135,782,2761,10337,5.8,20.5,76.6,21
2021-10,1,61,91,18,4569,1.5,0.3,74.9,18
2021-11,1,58,3014,1632,5079,52.0,28.1,87.6,16
2021-12,1,49,217,28,4273,4.4,0.6,87.2,11
2022-01,1,86,203,116,6834,2.4,1.3,79.5,18
2022-02,1,74,114,125,5923,1.5,1.7,80.0,25
2022-03,1,54,68,10,4232,1.3,0.2,78.4,20
2022-04,1,56,189,153,5019,3.4,2.7,89.6,13
2022-05,1,86,173,150,6482,2.0,1.7,75.4,18
2022-06,1,99,197,99,6755,2.0,1.0,68.2,24
2022-07,1,60,72,2,3742,1.2,0.0,62.4,16
2022-08,1,90,209,264,6460,2.3,2.9,71.8,24
2022-09,1,90,280,58,6706,3.1,0.6,74.5,24
2022-10,1,74,130,38,5214,1.8,0.5,70.5,18
2022-11,1,88,248,94,8591,2.8,1.1,97.6,18
2022-12,1,61,161,179,4816,2.6,2.9,79.0,22
2023-01,1,107,233,28,8845,2.2,0.3,82.7,30
2023-02,1,87,128,105,5879,1.5,1.2,67.6,25
2023-03,1,95,187,59,6881,2.0,0.6,72.4,25
2023-04,1,56,121,84,3779,2.2,1.5,67.5,17
2023-05,1,88,175,127,6020,2.0,1.4,68.4,26
2023-06,1,74,666,156,6013,9.0,2.1,81.3,22
2023-07,1,63,149,102,4245,2.4,1.6,67.4,15
2023-08,1,136,470,310,11579,3.5,2.3,85.1,26
2023-09,1,78,206,245,5321,2.6,3.1,68.2,20
2023-10,1,79,152,34,5607,1.9,0.4,71.0,24
2023-11,1,59,134,70,4009,2.3,1.2,67.9,18
2023-12,1,41,91,29,2601,2.2,0.7,63.4,12
2024-01,1,129,595,145,8359,4.6,1.1,64.8,26
2024-02,1,822,150,1429,41978,0.2,1.7,51.1,23
2024-03,1,51,60,37,3460,1.2,0.7,67.8,20
2024-04,1,105,535,400,7213,5.1,3.8,68.7,20
2024-05,1,84,154,81,6139,1.8,1.0,73.1,25
2024-06,1,62,65,38,4494,1.0,0.6,72.5,19
2024-07,1,59,113,43,5235,1.9,0.7,88.7,17
2024-08,1,54,82,32,4033,1.5,0.6,74.7,17
2024-09,1,87,197,82,5925,2.3,0.9,68.1,20
2024-10,1,58,40,41,4150,0.7,0.7,71.6,17
2024-11,1,59,113,105,4514,1.9,1.8,76.5,14
2024-12,1,53,101,43,3976,1.9,0.8,75.0,14
2025-01,1,90,252,138,6864,2.8,1.5,76.3,30
2025-02,1,53,82,36,4715,1.5,0.7,89.0,15
2025-03,1,82,134,124,6260,1.6,1.5,76.3,20
2025-04,1,93,187,82,6176,2.0,0.9,66.4,20
2025-05,1,78,170,148,6007,2.2,1.9,77.0,27
2025-06,1,81,141,86,5996,1.7,1.1,74.0,24
2025-07,1,466,118,908,29427,0.3,1.9,63.1,20
2025-08,1,62,116,42,4092,1.9,0.7,66.0,12
2025-09,1,105,290,130,7315,2.8,1.2,69.7,26
2025-10,1,88,294,133,7141,3.3,1.5,81.1,14
2025-11,1,56,87,26,4414,1.6,0.5,78.8,13
2025-12,1,41,118,51,3923,2.9,1.2,95.7,15
2026-01,1,87,120,112,5741,1.4,1.3,66.0,21
2026-02,1,66,85,10,4760,1.3,0.2,72.1,21
2026-03,1,76,107,14,5197,1.4,0.2,68.4,22
2026-04,1,112,298,96,7199,2.7,0.9,64.3,24
2026-05,1,83,223,116,6826,2.7,1.4,82.2,28
2026-06,1,77,136,46,5329,1.8,0.6,69.2,14
2026-07,1,32,56,17,2195,1.8,0.5,68.6,8
2026-08,1,83,84,13,5793,1.0,0.2,69.8,22
2026-09,1,87,176,119,6485,2.0,1.4,74.5,25
