month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-11,1,1,3,3,534,3.0,3.0,534.0
2016-12,1,1,0,4,93,0.0,4.0,93.0
2017-01,1,1,1,1,301,1.0,1.0,301.0
2017-02,1,30,611909,12980,1425,20397.0,432.7,47.5
2017-03,1,18,390408,257931,1278,21689.3,14329.5,71.0
2017-04,1,42,46305,31359,2610,1102.5,746.6,62.1
2017-05,1,35,56601,14973,1962,1617.2,427.8,56.1
2017-06,1,23,64675,60693,1101,2812.0,2638.8,47.9
2017-07,1,44,46804,18574,5071,1063.7,422.1,115.2
2017-08,1,55,3623,10414,21964,65.9,189.3,399.3
2017-09,1,31,10475,15016,10706,337.9,484.4,345.4
2017-10,1,53,6118,6100,22972,115.4,115.1,433.4
2017-11,1,43,10552,9980,21306,245.4,232.1,495.5
2017-12,1,18,1375,1358,7601,76.4,75.4,422.3
2018-01,1,29,2192,2207,14022,75.6,76.1,483.5
2018-02,1,121,6346777,6202553,18419,52452.7,51260.8,152.2
2018-03,1,389,24315906,24331456,21701,62508.8,62548.7,55.8
2018-04,1,70,2443899,2442284,16324,34912.8,34889.8,233.2
2018-05,1,33,3990,3928,13291,120.9,119.0,402.8
2018-06,1,27,2171,2155,18910,80.4,79.8,700.4
2018-07,1,13,1691,1685,6786,130.1,129.6,522.0
2018-08,1,27,2799,2804,18940,103.7,103.9,701.5
2018-09,1,14,954,951,4779,68.1,67.9,341.4
2018-10,1,22,2603,2599,3166,118.3,118.1,143.9
2018-11,1,24,3416,3262,5293,142.3,135.9,220.5
2018-12,1,12,1356,3259,1814,113.0,271.6,151.2
2019-01,1,26,3715,6434,3497,142.9,247.5,134.5
2019-02,1,37,10884,7521,5010,294.2,203.3,135.4
2019-03,1,20,70239,6991,3204,3511.9,349.6,160.2
2019-04,1,53,3131,906435,7781,59.1,17102.5,146.8
2019-05,1,31,421,363,6657,13.6,11.7,214.7
2019-06,1,40,399,314,4606,10.0,7.8,115.2
2019-07,1,24,3045,313,3393,126.9,13.0,141.4
2019-08,1,49,622,616,8035,12.7,12.6,164.0
