month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2022-10,1,23,5234,161,1109,227.6,7.0,48.2,2
2022-11,1,128,14072,3367,11158,109.9,26.3,87.2,19
2022-12,1,133,27061,9054,12655,203.5,68.1,95.2,27
2023-01,1,181,21171,5367,27609,117.0,29.7,152.5,47
2023-02,1,239,40143,4596,49396,168.0,19.2,206.7,70
2023-03,1,342,55070,24773,76234,161.0,72.4,222.9,129
2023-04,1,605,304743,23062,160038,503.7,38.1,264.5,233
2023-05,1,630,84349,16831,209668,133.9,26.7,332.8,240
2023-06,1,527,101784,56744,268092,193.1,107.7,508.7,256
2023-07,1,667,130153,48848,249412,195.1,73.2,373.9,278
2023-08,1,825,115632,239459,224357,140.2,290.3,271.9,250
2023-09,1,623,103650,39576,192284,166.4,63.5,308.6,192
2023-10,1,710,216725,77805,234312,305.2,109.6,330.0,229
2023-11,1,504,202487,83822,182456,401.8,166.3,362.0,197
2023-12,1,489,324621,208386,209806,663.8,426.1,429.1,174
2024-01,1,601,176591,82409,213241,293.8,137.1,354.8,230
2024-02,1,564,226242,81436,195043,401.1,144.4,345.8,202
2024-03,1,708,180167,116405,280932,254.5,164.4,396.8,273
2024-04,1,560,139435,105930,189564,249.0,189.2,338.5,191
2024-05,1,544,147905,94040,184867,271.9,172.9,339.8,173
2024-06,1,532,60835,268785,196369,114.4,505.2,369.1,181
2024-07,1,561,91026,38516,211121,162.3,68.7,376.3,186
2024-08,1,488,81484,62110,157857,167.0,127.3,323.5,149
2024-09,1,326,89592,119539,110023,274.8,366.7,337.5,98
2024-10,1,246,49063,31146,99216,199.4,126.6,403.3,110
2024-11,1,258,34838,58756,86437,135.0,227.7,335.0,80
2024-12,1,313,45880,16442,147277,146.6,52.5,470.5,146
2025-01,1,225,29221,15189,97873,129.9,67.5,435.0,99
2025-02,1,216,86193,79393,91439,399.0,367.6,423.3,97
2025-03,1,270,45943,34404,121710,170.2,127.4,450.8,102
2025-04,1,231,34123,392558,101747,147.7,1699.4,440.5,80
2025-05,1,197,23827,16719,158188,120.9,84.9,803.0,60
2025-06,1,168,23590,16071,47651,140.4,95.7,283.6,56
2025-07,1,288,67759,46282,83216,235.3,160.7,288.9,54
2025-08,1,162,29578,15561,70945,182.6,96.1,437.9,62
2025-09,1,249,56651,32390,153920,227.5,130.1,618.2,69
2025-10,1,347,127697,601194,92442,368.0,1732.5,266.4,30
2025-11,1,141,28166,29180,61438,199.8,207.0,435.7,34
2025-12,1,199,17480,10198,57129,87.8,51.2,287.1,42
2026-01,1,176,12888,24954,88746,73.2,141.8,504.2,49
2026-02,1,200,26260,13436,812505,131.3,67.2,4062.5,42
2026-03,1,233,15499,7765,625425,66.5,33.3,2684.2,31
2026-04,1,201,26501,4287,582825,131.8,21.3,2899.6,28
2026-05,1,241,20640,7057,1376208,85.6,29.3,5710.4,17
2026-06,1,278,28425,9428,1265762,102.2,33.9,4553.1,17
2026-07,1,145,12385,4991,571061,85.4,34.4,3938.4,24
2026-08,1,193,17325,6530,318692,89.8,33.8,1651.3,41
2026-09,1,127,35240,3090,884609,277.5,24.3,6965.4,17
