month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-08,1,2,10,1,30,5.0,0.5,15.0
2017-02,1,1,3,0,28,3.0,0.0,28.0
2017-09,1,8,480,18,241,60.0,2.2,30.1
2017-10,1,6,129,20,254,21.5,3.3,42.3
2017-12,1,2,2,1,111,1.0,0.5,55.5
2018-01,1,14,79,44,455,5.6,3.1,32.5
2018-02,1,8,10,12,399,1.2,1.5,49.9
2018-03,1,11,36,14,376,3.3,1.3,34.2
2018-04,1,21,75,29,726,3.6,1.4,34.6
2018-05,1,12,295,26,566,24.6,2.2,47.2
2018-06,1,19,108,78,948,5.7,4.1,49.9
2018-07,1,19,59,36,843,3.1,1.9,44.4
2018-08,1,14,13,4,635,0.9,0.3,45.4
2018-09,1,7,103,81,345,14.7,11.6,49.3
2018-10,1,5,13,10,179,2.6,2.0,35.8
2018-11,1,10,27,23,451,2.7,2.3,45.1
2018-12,1,2,104,1,119,52.0,0.5,59.5
2019-01,1,14,157,143,382,11.2,10.2,27.3
2019-02,1,1,3,1,35,3.0,1.0,35.0
2019-03,1,10,48,49,385,4.8,4.9,38.5
2019-04,1,22,90,54,1047,4.1,2.5,47.6
2019-05,1,6,9,4,230,1.5,0.7,38.3
2019-06,1,2,2,2,72,1.0,1.0,36.0
2019-07,1,7,54,29,330,7.7,4.1,47.1
2019-08,1,3,4,3,155,1.3,1.0,51.7
2019-09,1,2,7,15,63,3.5,7.5,31.5
2019-10,1,7,7,2,276,1.0,0.3,39.4
2019-11,1,7,10,3,501,1.4,0.4,71.6
2019-12,1,7,14,4,327,2.0,0.6,46.7
2020-01,1,7,85,75,361,12.1,10.7,51.6
2020-02,1,3,22,271,120,7.3,90.3,40.0
2020-03,1,2,3,1,95,1.5,0.5,47.5
2020-04,1,23,118,41,907,5.1,1.8,39.4
2020-05,1,4,26,13,214,6.5,3.2,53.5
2020-06,1,2,24,4,108,12.0,2.0,54.0
2020-07,1,4,43,11,167,10.8,2.8,41.8
2020-08,1,1,17,1,51,17.0,1.0,51.0
2020-10,1,1,2,2,48,2.0,2.0,48.0
2020-11,1,1,2,0,44,2.0,0.0,44.0
2021-03,1,4,8,3,183,2.0,0.8,45.8
2021-04,1,1,1,0,69,1.0,0.0,69.0
2021-06,1,1,2,0,50,2.0,0.0,50.0
2021-07,1,1,0,111,44,0.0,111.0,44.0
2021-08,1,1,0,2,73,0.0,2.0,73.0
2021-11,1,5,53,63,261,10.6,12.6,52.2
2021-12,1,1,1,0,56,1.0,0.0,56.0
2022-01,1,2,9,8,107,4.5,4.0,53.5
2022-02,1,1,6,6,45,6.0,6.0,45.0
2022-03,1,3,4,20,146,1.3,6.7,48.7
2022-04,1,1,0,13,39,0.0,13.0,39.0
2022-05,1,1,1,2,60,1.0,2.0,60.0
2022-06,1,5,7,12,194,1.4,2.4,38.8
2022-08,1,2,47,22,66,23.5,11.0,33.0
2022-09,1,1,4,0,39,4.0,0.0,39.0
2022-10,1,7,32,31,300,4.6,4.4,42.9
2023-01,1,2,39,8,99,19.5,4.0,49.5
2023-02,1,1,4,4,56,4.0,4.0,56.0
2023-03,1,2,20,13,131,10.0,6.5,65.5
2023-05,1,2,4,5,81,2.0,2.5,40.5
2023-07,1,1,1,0,44,1.0,0.0,44.0
2023-08,1,1,0,1,39,0.0,1.0,39.0
2023-09,1,1,1,1,35,1.0,1.0,35.0
2024-03,1,1,14,21,45,14.0,21.0,45.0
2024-06,1,1,0,3,52,0.0,3.0,52.0
2024-07,1,8,168,28,421,21.0,3.5,52.6
2024-08,1,3,50,55,153,16.7,18.3,51.0
2024-09,1,1,1,0,34,1.0,0.0,34.0
2024-10,1,2,3,0,91,1.5,0.0,45.5
2024-11,1,1,2,1,28,2.0,1.0,28.0
2025-01,1,2,9,0,96,4.5,0.0,48.0
2025-02,1,2,13,9,94,6.5,4.5,47.0
2025-03,1,3,10,10,136,3.3,3.3,45.3
2025-05,1,2,11,2,77,5.5,1.0,38.5
2025-06,1,1,0,2,40,0.0,2.0,40.0
2025-07,1,3,20,13,170,6.7,4.3,56.7
2025-08,1,3,4,2,112,1.3,0.7,37.3
2025-09,1,1,1,1,35,1.0,1.0,35.0
2025-10,1,2,3,3,79,1.5,1.5,39.5
2025-11,1,1,11,9,40,11.0,9.0,40.0
2026-01,1,2,5,5,40,2.5,2.5,20.0
2026-03,1,2,4,0,102,2.0,0.0,51.0
2026-05,1,3,12,4,153,4.0,1.3,51.0
2026-06,1,1,3,1,58,3.0,1.0,58.0
2026-08,1,6,12,8,315,2.0,1.3,52.5
