month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-12,1,1,199,0,14,199.0,0.0,14.0
2015-01,1,16,643,466,461,40.2,29.1,28.8
2015-02,1,17,303,148,355,17.8,8.7,20.9
2015-03,1,7,52,52,186,7.4,7.4,26.6
2015-04,1,2,18,18,47,9.0,9.0,23.5
2015-05,1,9,145,66,293,16.1,7.3,32.6
2015-06,1,5,56,56,166,11.2,11.2,33.2
2015-07,1,6,107,32,180,17.8,5.3,30.0
2015-08,1,3,15,120,59,5.0,40.0,19.7
2015-09,1,7,105,16,215,15.0,2.3,30.7
2015-10,1,11,381,38,321,34.6,3.5,29.2
2015-11,1,4,49,43,132,12.2,10.8,33.0
2015-12,1,14,177,144,449,12.6,10.3,32.1
2016-01,1,8,51,22,236,6.4,2.8,29.5
2016-02,1,7,63,63,231,9.0,9.0,33.0
2016-03,1,19,173,57,457,9.1,3.0,24.1
2016-04,1,21,641,233,800,30.5,11.1,38.1
2016-05,1,9,31,31,186,3.4,3.4,20.7
2016-06,1,6,66,48,185,11.0,8.0,30.8
2016-07,1,4,12,12,139,3.0,3.0,34.8
2016-08,1,4,21,15,91,5.2,3.8,22.8
2016-09,1,12,96,156,414,8.0,13.0,34.5
2016-10,1,13,153,33,358,11.8,2.5,27.5
2016-11,1,19,150,188,837,7.9,9.9,44.1
2016-12,1,9,37,30,283,4.1,3.3,31.4
2017-01,1,7,43,160,257,6.1,22.9,36.7
2017-02,1,7,301,28,177,43.0,4.0,25.3
2017-03,1,10,100,95,323,10.0,9.5,32.3
2017-04,1,8,147,81,261,18.4,10.1,32.6
2017-05,1,21,352,280,630,16.8,13.3,30.0
2017-06,1,15,196,95,614,13.1,6.3,40.9
2017-07,1,24,859,142,900,35.8,5.9,37.5
2017-08,1,12,92,368,416,7.7,30.7,34.7
2017-09,1,6,36,37,196,6.0,6.2,32.7
2017-10,1,15,126,161,759,8.4,10.7,50.6
2017-11,1,17,493,422,601,29.0,24.8,35.4
2017-12,1,8,43,43,293,5.4,5.4,36.6
2018-01,1,11,318,74,323,28.9,6.7,29.4
2018-02,1,13,434,428,467,33.4,32.9,35.9
2018-03,1,30,715,358,1157,23.8,11.9,38.6
2018-04,1,24,593,482,1160,24.7,20.1,48.3
2018-05,1,44,1176,1013,1729,26.7,23.0,39.3
2018-06,1,19,250,116,790,13.2,6.1,41.6
2018-07,1,12,102,394,497,8.5,32.8,41.4
2018-08,1,7,34,30,303,4.9,4.3,43.3
2018-09,1,4,31,31,141,7.8,7.8,35.2
2018-10,1,11,321,108,489,29.2,9.8,44.5
2018-11,1,35,1202,901,1635,34.3,25.7,46.7
2018-12,1,19,194,127,856,10.2,6.7,45.1
2019-01,1,16,104,67,659,6.5,4.2,41.2
2019-02,1,7,52,41,235,7.4,5.9,33.6
2019-03,1,4,18,18,183,4.5,4.5,45.8
2019-04,1,9,469,131,418,52.1,14.6,46.4
2019-05,1,9,238,425,345,26.4,47.2,38.3
2019-06,1,2,6,6,84,3.0,3.0,42.0
2019-07,1,7,547,312,263,78.1,44.6,37.6
2019-08,1,13,101,84,625,7.8,6.5,48.1
2019-09,1,2,10,10,87,5.0,5.0,43.5
2019-10,1,14,930,137,623,66.4,9.8,44.5
2019-11,1,5,44,37,227,8.8,7.4,45.4
2019-12,1,9,583,1121,341,64.8,124.6,37.9
2020-01,1,13,501,217,618,38.5,16.7,47.5
2020-02,1,7,106,82,269,15.1,11.7,38.4
2020-03,1,4,24,130,151,6.0,32.5,37.8
2020-04,1,9,723,87,337,80.3,9.7,37.4
2020-05,1,4,277,47,137,69.2,11.8,34.2
2020-06,1,7,64,700,196,9.1,100.0,28.0
2020-07,1,10,151,387,413,15.1,38.7,41.3
2020-08,1,5,620,259,185,124.0,51.8,37.0
2020-09,1,11,391,1090,398,35.5,99.1,36.2
2020-10,1,20,969,101,724,48.5,5.0,36.2
2020-11,1,12,111,123,418,9.2,10.2,34.8
2020-12,1,9,52,48,389,5.8,5.3,43.2
2021-01,1,6,105,321,198,17.5,53.5,33.0
2021-02,1,7,572,128,269,81.7,18.3,38.4
2021-03,1,5,39,39,169,7.8,7.8,33.8
2021-04,1,13,1224,855,478,94.2,65.8,36.8
2021-05,1,4,32,380,113,8.0,95.0,28.2
2021-06,1,5,37,786,184,7.4,157.2,36.8
2021-07,1,8,438,256,318,54.8,32.0,39.8
