month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-02,1,1,162,0,14,162.0,0.0,14.0
2016-04,1,23,851,315,910,37.0,13.7,39.6
2016-05,1,11,712,190,431,64.7,17.3,39.2
2016-06,1,2,92,27,98,46.0,13.5,49.0
2016-07,1,3,151,7,114,50.3,2.3,38.0
2016-08,1,10,834,94,431,83.4,9.4,43.1
2016-09,1,3,498,12,112,166.0,4.0,37.3
2016-10,1,6,843,34,260,140.5,5.7,43.3
2016-11,1,13,841,55,556,64.7,4.2,42.8
2016-12,1,20,425,96,923,21.2,4.8,46.1
2017-01,1,4,8,8,214,2.0,2.0,53.5
2017-02,1,6,154,46,321,25.7,7.7,53.5
2017-03,1,1,3,1,55,3.0,1.0,55.0
2017-04,1,7,394,70,370,56.3,10.0,52.9
2017-05,1,5,40,6,250,8.0,1.2,50.0
2017-06,1,2,13,2,90,6.5,1.0,45.0
2017-07,1,2,73,17,110,36.5,8.5,55.0
2017-08,1,3,50,16,134,16.7,5.3,44.7
2017-10,1,1,8,6,49,8.0,6.0,49.0
2017-11,1,8,1392,25,425,174.0,3.1,53.1
2018-03,1,1,1,0,46,1.0,0.0,46.0
2018-05,1,1,2,1,44,2.0,1.0,44.0
2018-06,1,13,265,1406,691,20.4,108.2,53.2
2018-07,1,7,8675,560,204,1239.3,80.0,29.1
2018-08,1,3,96,133,43,32.0,44.3,14.3
2019-01,1,7,77,74,287,11.0,10.6,41.0
2019-02,1,4,4677,5867,171,1169.2,1466.8,42.8
2019-03,1,14,1810,1331,612,129.3,95.1,43.7
2019-06,1,9,2953,2200,547,328.1,244.4,60.8
2019-07,1,1,145,102,26,145.0,102.0,26.0
2019-08,1,1,37,15,33,37.0,15.0,33.0
2019-09,1,1,2,2,35,2.0,2.0,35.0
2019-10,1,1,1,1,56,1.0,1.0,56.0
2019-12,1,2,9,4,84,4.5,2.0,42.0
2020-01,1,1,22,1,31,22.0,1.0,31.0
2020-03,1,4,1987,3663,203,496.8,915.8,50.8
2020-04,1,5,206,186,317,41.2,37.2,63.4
2020-05,1,1,40,17,58,40.0,17.0,58.0
2020-06,1,2,15,4,59,7.5,2.0,29.5
2020-07,1,3,9,198,127,3.0,66.0,42.3
2020-08,1,21,2327,963,797,110.8,45.9,38.0
2020-09,1,1,3,3,48,3.0,3.0,48.0
2020-11,1,8,87,289,422,10.9,36.1,52.8
