month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-11,1,2,26,0,65,13.0,0.0,32.5
2016-12,1,3,471,11,103,157.0,3.7,34.3
2017-01,1,3,115,1,115,38.3,0.3,38.3
2017-03,1,1,80,0,34,80.0,0.0,34.0
2017-06,1,1,6078,0,41,6078.0,0.0,41.0
2017-07,1,1,129,0,36,129.0,0.0,36.0
2017-08,1,3,524,0,132,174.7,0.0,44.0
2017-09,1,5,21,1,172,4.2,0.2,34.4
2017-10,1,9,436,9,334,48.4,1.0,37.1
2017-11,1,6,155,6,352,25.8,1.0,58.7
2017-12,1,9,33,9,365,3.7,1.0,40.6
2018-01,1,18,306,12,627,17.0,0.7,34.8
2018-02,1,19,346,13,749,18.2,0.7,39.4
2018-03,1,55,746,71,2586,13.6,1.3,47.0
2018-04,1,40,2003,1775,1812,50.1,44.4,45.3
2018-05,1,31,391,31,1206,12.6,1.0,38.9
2018-06,1,25,1335,278,1104,53.4,11.1,44.2
2018-07,1,20,403,58,893,20.1,2.9,44.6
2018-08,1,22,3596,500,993,163.5,22.7,45.1
2018-09,1,12,307,11,477,25.6,0.9,39.8
2018-10,1,5,129,13,268,25.8,2.6,53.6
2018-11,1,12,340,1,448,28.3,0.1,37.3
2018-12,1,6,5264,354,291,877.3,59.0,48.5
2019-01,1,8,154,9,366,19.2,1.1,45.8
2019-02,1,10,580,148,420,58.0,14.8,42.0
2019-03,1,2,75,1,124,37.5,0.5,62.0
2019-04,1,8,316,2,369,39.5,0.2,46.1
2019-05,1,9,2039,1991,330,226.6,221.2,36.7
2019-06,1,6,74,18,287,12.3,3.0,47.8
2019-07,1,16,754,960,800,47.1,60.0,50.0
2019-08,1,2,23,0,96,11.5,0.0,48.0
2019-09,1,6,81,3,210,13.5,0.5,35.0
2019-10,1,3,33,431,158,11.0,143.7,52.7
2019-11,1,3,4,4,142,1.3,1.3,47.3
2019-12,1,12,191,14,472,15.9,1.2,39.3
2020-01,1,5,124,0,194,24.8,0.0,38.8
2020-02,1,1,26,2,46,26.0,2.0,46.0
2020-03,1,3,2692,1773,121,897.3,591.0,40.3
2020-04,1,2,29,3,86,14.5,1.5,43.0
2020-05,1,9,143,5,346,15.9,0.6,38.4
2020-06,1,1,4,4,31,4.0,4.0,31.0
2020-07,1,1,3,10,55,3.0,10.0,55.0
2020-08,1,2,8,6,106,4.0,3.0,53.0
2020-09,1,6,48,8,253,8.0,1.3,42.2
2020-11,1,1,7,0,52,7.0,0.0,52.0
2020-12,1,1,11319,1629,25,11319.0,1629.0,25.0
2021-01,1,4,92,8636,178,23.0,2159.0,44.5
2021-02,1,7,29,8,286,4.1,1.1,40.9
2021-04,1,3,70,3,127,23.3,1.0,42.3
2021-05,1,3,9,9,162,3.0,3.0,54.0
2021-07,1,1,39,0,53,39.0,0.0,53.0
2021-08,1,3,38,3,161,12.7,1.0,53.7
2021-09,1,6,7843,2925,235,1307.2,487.5,39.2
2021-10,1,1,7,0,67,7.0,0.0,67.0
2022-01,1,3,360,695,156,120.0,231.7,52.0
2022-02,1,1,6,6,63,6.0,6.0,63.0
2022-03,1,4,2865,6973,206,716.2,1743.2,51.5
2022-05,1,5,95,2,221,19.0,0.4,44.2
2022-06,1,2,144,0,87,72.0,0.0,43.5
2022-07,1,4,197,0,160,49.2,0.0,40.0
2022-08,1,3,132,1,129,44.0,0.3,43.0
