month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2024-05,1,197,6846,2570,3825,34.8,13.0,19.4,5
2024-06,1,137,3133,1221,6181,22.9,8.9,45.1,18
2024-07,1,33,664,163,1919,20.1,4.9,58.2,9
2024-08,1,27,402,88,1723,14.9,3.3,63.8,11
2024-09,1,18,230,36,1393,12.8,2.0,77.4,6
2024-10,1,27,1165,563,1670,43.1,20.9,61.9,9
2024-11,1,3,24,8,165,8.0,2.7,55.0,2
2024-12,1,6,414,133,665,69.0,22.2,110.8,3
2025-01,1,5,173,10,333,34.6,2.0,66.6,4
2025-02,1,17,465,227,1476,27.4,13.4,86.8,7
2025-03,1,28,1225,120,4156,43.8,4.3,148.4,10
2025-04,1,28,678,109,1965,24.2,3.9,70.2,7
2025-05,1,4,20,10,352,5.0,2.5,88.0,3
2025-06,1,1,13,1,56,13.0,1.0,56.0,1
2025-07,1,6,408,2,541,68.0,0.3,90.2,3
2025-08,1,7,120,24,1489,17.1,3.4,212.7,4
