month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2013-05,1,63,44217,649,2068,701.9,10.3,32.8
2013-06,1,204,11692,28038,7325,57.3,137.4,35.9
2013-07,1,207,58747,55950,7158,283.8,270.3,34.6
2013-08,1,58,3228,2953,2185,55.7,50.9,37.7
2013-09,1,88,5159,1280,3835,58.6,14.5,43.6
2013-10,1,153,19326,2388,5815,126.3,15.6,38.0
2013-11,1,174,3666,17256,6770,21.1,99.2,38.9
2013-12,1,174,8595,4102,6497,49.4,23.6,37.3
2014-01,1,182,6492,3658,7552,35.7,20.1,41.5
2014-02,1,188,5617,4272,7133,29.9,22.7,37.9
2014-03,1,113,6492,2232,4579,57.5,19.8,40.5
2014-04,1,83,2741,1856,3109,33.0,22.4,37.5
2014-05,1,109,3590,2207,4477,32.9,20.2,41.1
2014-06,1,63,2475,859,2388,39.3,13.6,37.9
2014-07,1,133,3048,1505,5274,22.9,11.3,39.7
2014-08,1,104,3932,4259,4226,37.8,41.0,40.6
2014-09,1,63,1221,1587,2463,19.4,25.2,39.1
2014-10,1,107,6947,6969,4046,64.9,65.1,37.8
2014-11,1,87,4286,2549,4159,49.3,29.3,47.8
2014-12,1,75,10680,2090,2967,142.4,27.9,39.6
2015-01,1,130,7412,3318,5530,57.0,25.5,42.5
2015-02,1,172,14468,3141,6726,84.1,18.3,39.1
2015-03,1,193,45841,4055,7131,237.5,21.0,36.9
2015-04,1,109,2982,4588,4564,27.4,42.1,41.9
2015-05,1,91,2449,1731,3441,26.9,19.0,37.8
2015-06,1,152,5788,20675,5931,38.1,136.0,39.0
2015-07,1,140,4426,9845,5736,31.6,70.3,41.0
2015-08,1,98,4147,2200,3760,42.3,22.4,38.4
2015-09,1,140,7874,2661,5899,56.2,19.0,42.1
2015-10,1,158,34695,15304,6635,219.6,96.9,42.0
2015-11,1,85,2074,1107,3471,24.4,13.0,40.8
2015-12,1,88,4610,2144,3436,52.4,24.4,39.0
2016-01,1,57,1313,1067,2763,23.0,18.7,48.5
2016-02,1,66,1813,971,2978,27.5,14.7,45.1
2016-03,1,123,9877,11610,5442,80.3,94.4,44.2
2016-04,1,143,15852,9240,6792,110.9,64.6,47.5
2016-05,1,149,15323,7325,6826,102.8,49.2,45.8
2016-06,1,103,5971,2108,4901,58.0,20.5,47.6
2016-07,1,116,27638,20585,4755,238.3,177.5,41.0
2016-08,1,111,6614,4938,4950,59.6,44.5,44.6
2016-09,1,103,7342,4728,4568,71.3,45.9,44.3
2016-10,1,176,31094,32053,7445,176.7,182.1,42.3
2016-11,1,231,40002,31059,10031,173.2,134.5,43.4
2016-12,1,159,35571,6579,8001,223.7,41.4,50.3
2017-01,1,185,13326,27517,8217,72.0,148.7,44.4
2017-02,1,147,8230,6092,6985,56.0,41.4,47.5
2017-03,1,127,23179,21563,5967,182.5,169.8,47.0
2017-04,1,142,21047,43769,7177,148.2,308.2,50.5
2017-05,1,97,13613,14990,4664,140.3,154.5,48.1
2017-06,1,110,6410,6831,5284,58.3,62.1,48.0
2017-07,1,85,6791,4415,4271,79.9,51.9,50.2
2017-08,1,121,49239,37028,6574,406.9,306.0,54.3
2017-09,1,127,42870,22179,5477,337.6,174.6,43.1
2017-10,1,196,30533,73120,9178,155.8,373.1,46.8
2017-11,1,189,35110,26710,8984,185.8,141.3,47.5
2017-12,1,69,16731,11486,3005,242.5,166.5,43.6
2018-01,1,75,14815,9769,3965,197.5,130.3,52.9
2018-02,1,57,5477,2024,3098,96.1,35.5,54.4
2018-03,1,78,5376,2116,4093,68.9,27.1,52.5
2018-04,1,77,4825,3059,3913,62.7,39.7,50.8
2018-05,1,116,21898,15233,5826,188.8,131.3,50.2
2018-06,1,60,4168,2173,3039,69.5,36.2,50.6
2018-07,1,63,7652,4521,3738,121.5,71.8,59.3
2018-08,1,122,27571,5329,5821,226.0,43.7,47.7
2018-09,1,121,19185,7948,5680,158.6,65.7,46.9
2018-10,1,119,11434,5556,5554,96.1,46.7,46.7
2018-11,1,98,12327,4310,5042,125.8,44.0,51.4
2018-12,1,27,1726,355,1516,63.9,13.1,56.1
2019-01,1,89,24144,4031,4502,271.3,45.3,50.6
2019-02,1,165,25266,11305,8377,153.1,68.5,50.8
2019-03,1,157,24537,16644,7754,156.3,106.0,49.4
2019-04,1,453,50074,26180,21446,110.5,57.8,47.3
2019-05,1,225,48950,30955,11020,217.6,137.6,49.0
2019-06,1,184,32502,12018,9295,176.6,65.3,50.5
2019-07,1,128,21944,13045,6513,171.4,101.9,50.9
2019-08,1,210,99911,96069,10263,475.8,457.5,48.9
2019-09,1,150,17263,7061,7987,115.1,47.1,53.2
2019-10,1,78,10473,6777,4429,134.3,86.9,56.8
2019-11,1,55,16802,5538,3169,305.5,100.7,57.6
2019-12,1,71,11688,8844,4068,164.6,124.6,57.3
2020-01,1,76,9669,10686,4129,127.2,140.6,54.3
2020-02,1,110,17209,15182,5802,156.4,138.0,52.7
2020-03,1,130,29034,17454,6841,223.3,134.3,52.6
2020-04,1,161,69132,24678,8456,429.4,153.3,52.5
2020-05,1,126,20135,9260,6606,159.8,73.5,52.4
2020-06,1,29,4612,4734,1595,159.0,163.2,55.0
2020-07,1,127,19592,20487,6380,154.3,161.3,50.2
2020-08,1,83,18518,17821,4339,223.1,214.7,52.3
2020-09,1,64,13578,6109,3429,212.2,95.5,53.6
2020-10,1,60,21058,3813,3293,351.0,63.5,54.9
2020-11,1,52,8280,5075,2675,159.2,97.6,51.4
2020-12,1,61,23389,9676,3048,383.4,158.6,50.0
2021-01,1,48,8226,5890,2780,171.4,122.7,57.9
2021-02,1,75,8632,7842,3842,115.1,104.6,51.2
2021-03,1,104,12855,6631,5645,123.6,63.8,54.3
2021-04,1,114,25268,18584,5893,221.6,163.0,51.7
2021-05,1,68,70921,5994,3580,1043.0,88.1,52.6
2021-06,1,84,44538,29174,3995,530.2,347.3,47.6
2021-07,1,76,13818,6891,4076,181.8,90.7,53.6
2021-08,1,75,23407,7230,4430,312.1,96.4,59.1
2021-09,1,125,26270,14510,7035,210.2,116.1,56.3
2021-10,1,58,13014,3269,3513,224.4,56.4,60.6
2021-11,1,59,5591,4066,3195,94.8,68.9,54.2
2021-12,1,40,4582,914,2106,114.5,22.9,52.6
2022-01,1,29,16737,8304,1585,577.1,286.3,54.7
2022-02,1,58,6377,2382,3138,109.9,41.1,54.1
2022-03,1,78,11102,14999,3882,142.3,192.3,49.8
2022-04,1,84,14517,6270,4513,172.8,74.6,53.7
2022-05,1,52,6082,2028,3089,117.0,39.0,59.4
2022-06,1,67,9384,3963,3646,140.1,59.1,54.4
2022-07,1,42,7953,6772,2561,189.4,161.2,61.0
2022-08,1,37,11459,10306,2186,309.7,278.5,59.1
2022-09,1,95,29631,5924,4915,311.9,62.4,51.7
2022-10,1,170,29309,20191,7933,172.4,118.8,46.7
