month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,6,3481,51,100,580.2,8.5,16.7
2014-04,1,137,70210,62054,4665,512.5,452.9,34.1
2014-05,1,2,3464,3504,98,1732.0,1752.0,49.0
2014-06,1,12,2936,1778,525,244.7,148.2,43.8
2014-09,1,19,8466,5557,732,445.6,292.5,38.5
2014-10,1,11,580,3312,360,52.7,301.1,32.7
2014-11,1,2,222,230,135,111.0,115.0,67.5
2014-12,1,20,1866,920,995,93.3,46.0,49.8
2015-01,1,2,375,245,98,187.5,122.5,49.0
2015-02,1,19,723,465,785,38.1,24.5,41.3
2015-03,1,7,2298,168,244,328.3,24.0,34.9
2015-04,1,9,882,170,490,98.0,18.9,54.4
2015-05,1,31,10018,2331,2693,323.2,75.2,86.9
2015-07,1,2,14,7,117,7.0,3.5,58.5
2015-08,1,34,2982,537,1218,87.7,15.8,35.8
2015-09,1,21,15739,4234,833,749.5,201.6,39.7
2015-10,1,23,1611,614,855,70.0,26.7,37.2
2015-11,1,10,1383,408,310,138.3,40.8,31.0
2016-01,1,4,571,124,211,142.8,31.0,52.8
2016-02,1,1,1,1,13,1.0,1.0,13.0
2016-03,1,2,335,15,92,167.5,7.5,46.0
2016-04,1,2,10143,4218,99,5071.5,2109.0,49.5
2016-05,1,2,528,28,110,264.0,14.0,55.0
2016-06,1,5,1628,1020,226,325.6,204.0,45.2
2016-07,1,11,11878,35274,485,1079.8,3206.7,44.1
2016-08,1,80,18737,5118,2865,234.2,64.0,35.8
2016-09,1,21,5390,10651,799,256.7,507.2,38.0
2016-10,1,87,13635,12741,3953,156.7,146.4,45.4
2016-11,1,93,16931,13461,3979,182.1,144.7,42.8
2016-12,1,57,18828,11977,1971,330.3,210.1,34.6
2017-01,1,68,35743,5204,2371,525.6,76.5,34.9
2017-02,1,93,40442,20221,3905,434.9,217.4,42.0
2017-03,1,58,12495,5085,2443,215.4,87.7,42.1
2017-04,1,58,8857,3655,2329,152.7,63.0,40.2
2017-05,1,50,4620,1020,1936,92.4,20.4,38.7
2017-06,1,9,804,44,333,89.3,4.9,37.0
2017-07,1,10,537,107,465,53.7,10.7,46.5
2017-08,1,8,247,104,303,30.9,13.0,37.9
2017-09,1,10,595,412,495,59.5,41.2,49.5
2017-10,1,10,530,123,251,53.0,12.3,25.1
2017-11,1,31,3784,981,1346,122.1,31.6,43.4
2017-12,1,17,2239,1403,762,131.7,82.5,44.8
2018-01,1,36,3738,2022,1552,103.8,56.2,43.1
2018-02,1,107,43118,21751,3178,403.0,203.3,29.7
2018-03,1,26,1205,464,1081,46.3,17.8,41.6
2018-04,1,34,1582,1157,1813,46.5,34.0,53.3
2018-05,1,9,205,117,306,22.8,13.0,34.0
2018-06,1,9,163,53,370,18.1,5.9,41.1
2018-07,1,37,7947,16647,1349,214.8,449.9,36.5
2018-08,1,23,2014,3326,973,87.6,144.6,42.3
2018-09,1,6,888,770,208,148.0,128.3,34.7
2018-10,1,18,1682,373,912,93.4,20.7,50.7
2018-11,1,18,1840,918,793,102.2,51.0,44.1
2018-12,1,43,3186,2334,1764,74.1,54.3,41.0
2019-01,1,33,1585,922,1099,48.0,27.9,33.3
2019-02,1,46,3214,1572,1880,69.9,34.2,40.9
2019-03,1,38,7835,2262,1517,206.2,59.5,39.9
2019-04,1,25,2189,1671,1030,87.6,66.8,41.2
2019-05,1,33,1670,438,1358,50.6,13.3,41.2
2019-06,1,27,474,346,1441,17.6,12.8,53.4
2019-07,1,29,3697,4705,1299,127.5,162.2,44.8
2019-08,1,17,3743,455,662,220.2,26.8,38.9
2019-09,1,27,784,545,1164,29.0,20.2,43.1
2019-10,1,24,3246,1716,1255,135.2,71.5,52.3
2019-11,1,22,1309,2024,966,59.5,92.0,43.9
2019-12,1,5,137,70,262,27.4,14.0,52.4
2020-01,1,1,92,22,15,92.0,22.0,15.0
2020-02,1,4,598,570,151,149.5,142.5,37.8
2020-03,1,6,64,61,185,10.7,10.2,30.8
2020-04,1,14,220,55,686,15.7,3.9,49.0
2020-05,1,3,82,94,175,27.3,31.3,58.3
2020-06,1,3,24,11,140,8.0,3.7,46.7
2020-07,1,5,85,20,235,17.0,4.0,47.0
2020-08,1,3,27,1,124,9.0,0.3,41.3
2020-09,1,2,2,10,98,1.0,5.0,49.0
2020-10,1,1,3,0,34,3.0,0.0,34.0
2020-11,1,1,1,1,46,1.0,1.0,46.0
2020-12,1,1,2,0,35,2.0,0.0,35.0
2021-01,1,2,63,50,60,31.5,25.0,30.0
2021-02,1,6,39,12,149,6.5,2.0,24.8
2021-03,1,12,737,414,529,61.4,34.5,44.1
2021-05,1,7,111,427,216,15.9,61.0,30.9
2021-06,1,2,10,13,132,5.0,6.5,66.0
2021-08,1,2,10,8,99,5.0,4.0,49.5
2021-10,1,2,4,3,84,2.0,1.5,42.0
2021-11,1,2,221,0,90,110.5,0.0,45.0
2021-12,1,2,83,79,75,41.5,39.5,37.5
2022-01,1,2,12,10,46,6.0,5.0,23.0
2022-02,1,2,10,0,204,5.0,0.0,102.0
2022-03,1,2,3,3,68,1.5,1.5,34.0
2022-04,1,3,8,3,98,2.7,1.0,32.7
2022-06,1,3,60,2,252,20.0,0.7,84.0
2022-07,1,4,58,58,242,14.5,14.5,60.5
2022-08,1,1,3,3,58,3.0,3.0,58.0
2022-09,1,4,976,1703,150,244.0,425.8,37.5
2022-10,1,34,14369,11370,1304,422.6,334.4,38.4
2022-11,1,9,1540,131,514,171.1,14.6,57.1
2022-12,1,20,25337,34774,904,1266.8,1738.7,45.2
2023-01,1,12,3892,975,620,324.3,81.2,51.7
2023-02,1,8,153,131,384,19.1,16.4,48.0
2023-03,1,3,180,184,122,60.0,61.3,40.7
2023-04,1,22,695,374,978,31.6,17.0,44.5
2023-05,1,35,7358,5402,1620,210.2,154.3,46.3
2023-06,1,22,25876,49750,875,1176.2,2261.4,39.8
2023-07,1,15,5439,7990,639,362.6,532.7,42.6
2023-08,1,25,5728,5597,1122,229.1,223.9,44.9
2023-09,1,47,8619,7455,1845,183.4,158.6,39.3
2023-10,1,39,29815,4717,2055,764.5,120.9,52.7
2023-11,1,28,13907,10164,1327,496.7,363.0,47.4
2023-12,1,51,20648,5120,2947,404.9,100.4,57.8
2024-01,1,19,3071,4405,942,161.6,231.8,49.6
2024-02,1,17,59951,8041,849,3526.5,473.0,49.9
2024-03,1,41,4611,18366,1893,112.5,448.0,46.2
2024-04,1,10,18748,210,481,1874.8,21.0,48.1
2024-05,1,3,56,36,125,18.7,12.0,41.7
2024-06,1,10,4352,1694,524,435.2,169.4,52.4
2024-07,1,3,3157,2816,190,1052.3,938.7,63.3
2024-08,1,4,1003,36,260,250.8,9.0,65.0
2024-09,1,6,5559,37,315,926.5,6.2,52.5
2024-10,1,18,10142,3381,910,563.4,187.8,50.6
2024-11,1,14,9684,8617,933,691.7,615.5,66.6
2024-12,1,12,9713,925,828,809.4,77.1,69.0
2025-01,1,2,17,34,109,8.5,17.0,54.5
2025-02,1,2,34,27,53,17.0,13.5,26.5
2025-03,1,4,14,13,279,3.5,3.2,69.8
2025-05,1,4,117,69,200,29.2,17.2,50.0
2025-06,1,6,738,309,392,123.0,51.5,65.3
2025-07,1,4,94,24,192,23.5,6.0,48.0
2025-08,1,17,676,520,773,39.8,30.6,45.5
2025-09,1,1,1,0,66,1.0,0.0,66.0
2025-10,1,2,36,26,122,18.0,13.0,61.0
2025-11,1,2,32,18,96,16.0,9.0,48.0
2026-01,1,1,272,279,36,272.0,279.0,36.0
2026-02,1,14,4563,4398,766,325.9,314.1,54.7
2026-03,1,15,53124,57333,977,3541.6,3822.2,65.1
2026-04,1,11,662,162,691,60.2,14.7,62.8
2026-05,1,26,3689,4049,1276,141.9,155.7,49.1
2026-06,1,14,2657,1187,942,189.8,84.8,67.3
2026-07,1,7,649,10868,508,92.7,1552.6,72.6
2026-08,1,5,361,18,383,72.2,3.6,76.6
2026-09,1,9,1167,249,613,129.7,27.7,68.1
