month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2010-11,1,27,738,94,1012,27.3,3.5,37.5
2010-12,1,8,165,127,834,20.6,15.9,104.2
2011-01,1,3,25,37,126,8.3,12.3,42.0
2011-02,1,8,30,17,214,3.8,2.1,26.8
2011-04,1,2,9,2,52,4.5,1.0,26.0
2011-05,1,4,83,74,91,20.8,18.5,22.8
2011-06,1,5,18,27,140,3.6,5.4,28.0
2011-11,1,2,8,3,34,4.0,1.5,17.0
2011-12,1,1,27,0,15,27.0,0.0,15.0
2012-02,1,2,2,2,72,1.0,1.0,36.0
2012-06,1,2,7,1,167,3.5,0.5,83.5
2012-07,1,7,109,18,2859,15.6,2.6,408.4
2012-08,1,10,106,39,361,10.6,3.9,36.1
2012-10,1,1,0,0,52,0.0,0.0,52.0
2013-03,1,14,22,86,398,1.6,6.1,28.4
2013-05,1,1,1,1,161,1.0,1.0,161.0
2013-08,1,7,17,1,558,2.4,0.1,79.7
2013-12,1,12,116,83,444,9.7,6.9,37.0
2014-02,1,4,5,5,238,1.2,1.2,59.5
2014-05,1,2,15,15,117,7.5,7.5,58.5
2014-06,1,3,3,3,145,1.0,1.0,48.3
2014-11,1,7,88,32,271,12.6,4.6,38.7
2015-01,1,5,6,5,171,1.2,1.0,34.2
2015-02,1,1,10,3,12,10.0,3.0,12.0
2015-03,1,1,2,5,54,2.0,5.0,54.0
2015-04,1,10,45,8,550,4.5,0.8,55.0
2015-05,1,5,11,12,255,2.2,2.4,51.0
2015-08,1,6,82,71,217,13.7,11.8,36.2
2015-09,1,8,20,7,444,2.5,0.9,55.5
2015-10,1,3,3,3,188,1.0,1.0,62.7
2016-01,1,1,4,1,71,4.0,1.0,71.0
2016-03,1,1,0,0,81,0.0,0.0,81.0
2016-04,1,3,3,2,1319,1.0,0.7,439.7
2016-05,1,8,12,17,369,1.5,2.1,46.1
2016-06,1,3,9,2,851,3.0,0.7,283.7
2019-11,1,2,6,0,35,3.0,0.0,17.5
