month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2010-09,1,31,9378,2646,935,302.5,85.4,30.2
2010-10,1,1,7,0,23,7.0,0.0,23.0
2010-11,1,11,1097,12,270,99.7,1.1,24.5
2010-12,1,106,3798,4038,3177,35.8,38.1,30.0
2011-01,1,35,1083,210,1235,30.9,6.0,35.3
2011-02,1,18,68,23,875,3.8,1.3,48.6
2011-03,1,30,287,218,813,9.6,7.3,27.1
2011-04,1,27,662,236,921,24.5,8.7,34.1
2011-05,1,8,15,5,251,1.9,0.6,31.4
2011-06,1,30,377,177,1081,12.6,5.9,36.0
2011-07,1,15,70,54,603,4.7,3.6,40.2
2011-08,1,10,247,41,519,24.7,4.1,51.9
2011-09,1,12,317,50,554,26.4,4.2,46.2
2011-10,1,34,1253,224,1300,36.9,6.6,38.2
2011-11,1,41,723,128,1759,17.6,3.1,42.9
2011-12,1,16,26,21,633,1.6,1.3,39.6
2012-01,1,17,230,38,590,13.5,2.2,34.7
2012-02,1,19,264,73,869,13.9,3.8,45.7
2012-03,1,79,1348,1227,2958,17.1,15.5,37.4
2012-04,1,41,535,416,1469,13.0,10.1,35.8
2012-05,1,29,736,55,988,25.4,1.9,34.1
2012-06,1,32,4110,3208,1235,128.4,100.2,38.6
2012-07,1,40,1215,321,1792,30.4,8.0,44.8
2012-08,1,18,141,54,824,7.8,3.0,45.8
2012-09,1,33,635,122,1546,19.2,3.7,46.8
2012-10,1,16,59,10,832,3.7,0.6,52.0
2012-11,1,2,31,27,145,15.5,13.5,72.5
2012-12,1,29,305,14,1648,10.5,0.5,56.8
2013-01,1,17,656,144,716,38.6,8.5,42.1
2013-02,1,42,175,92,2396,4.2,2.2,57.0
2013-03,1,17,169,82,838,9.9,4.8,49.3
2013-04,1,18,209,12,893,11.6,0.7,49.6
2013-05,1,5,30,11,162,6.0,2.2,32.4
2013-06,1,5,69,1,223,13.8,0.2,44.6
2013-07,1,12,257,32,671,21.4,2.7,55.9
2013-08,1,13,187,60,1806,14.4,4.6,138.9
2013-09,1,5,23,7,356,4.6,1.4,71.2
2013-10,1,19,644,147,681,33.9,7.7,35.8
