month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2009-02,1,28,1965,707,1517,70.2,25.2,54.2,3
2009-03,1,64,2425,1814,5294,37.9,28.3,82.7,6
2009-04,1,18,230,230,1200,12.8,12.8,66.7,5
2009-05,1,61,1671,1800,3881,27.4,29.5,63.6,8
2009-06,1,14,89,24,859,6.4,1.7,61.4,5
2009-07,1,3,26,26,94,8.7,8.7,31.3,3
2009-08,1,15,116,90,1059,7.7,6.0,70.6,4
2009-09,1,10,70,41,623,7.0,4.1,62.3,4
2009-10,1,9,80,17,578,8.9,1.9,64.2,4
2009-11,1,7,154,21,557,22.0,3.0,79.6,3
2009-12,1,11,65,52,995,5.9,4.7,90.5,3
2010-01,1,1,25,1,54,25.0,1.0,54.0,1
2010-02,1,5,160,116,581,32.0,23.2,116.2,5
2010-03,1,21,881,712,1971,42.0,33.9,93.9,8
2010-04,1,107,5648,2984,6395,52.8,27.9,59.8,10
2010-05,1,24,984,441,811,41.0,18.4,33.8,5
2010-06,1,22,297,38,979,13.5,1.7,44.5,5
2010-07,1,13,147,67,654,11.3,5.2,50.3,5
2010-08,1,3,85,48,427,28.3,16.0,142.3,2
2010-09,1,18,2782,3254,651,154.6,180.8,36.2,5
2010-10,1,10,118,25,440,11.8,2.5,44.0,4
2010-11,1,12,225,170,970,18.8,14.2,80.8,5
2010-12,1,3,34,34,133,11.3,11.3,44.3,2
2011-01,1,13,584,42,435,44.9,3.2,33.5,4
2011-02,1,46,1222,538,2867,26.6,11.7,62.3,2
2011-03,1,50,1230,805,2110,24.6,16.1,42.2,2
2011-04,1,15,272,152,939,18.1,10.1,62.6,4
2011-05,1,2,8,4,197,4.0,2.0,98.5,2
2011-06,1,1,4,2,13,4.0,2.0,13.0,1
2011-08,1,34,402,241,2136,11.8,7.1,62.8,5
2011-10,1,11,199,147,573,18.1,13.4,52.1,3
2011-12,1,9,200,29,537,22.2,3.2,59.7,5
2012-01,1,3,5,2,202,1.7,0.7,67.3,2
2012-02,1,48,1020,518,2466,21.2,10.8,51.4,2
2012-03,1,80,1677,885,3781,21.0,11.1,47.3,7
2012-04,1,23,454,254,1237,19.7,11.0,53.8,4
2012-05,1,119,7061,5807,5962,59.3,48.8,50.1,4
2012-06,1,11,228,75,1104,20.7,6.8,100.4,2
2012-07,1,23,162,55,1280,7.0,2.4,55.7,3
2012-08,1,44,348,243,1817,7.9,5.5,41.3,5
2012-09,1,1,1,1,75,1.0,1.0,75.0,1
2012-10,1,14,163,24,536,11.6,1.7,38.3,2
2012-11,1,16,132,30,1551,8.2,1.9,96.9,5
2012-12,1,1,0,0,123,0.0,0.0,123.0,1
2013-01,1,1,1,1,133,1.0,1.0,133.0,1
2013-02,1,14,219,21,617,15.6,1.5,44.1,4
2013-03,1,13,198,52,1034,15.2,4.0,79.5,4
2013-04,1,8,21,5,380,2.6,0.6,47.5,4
2013-06,1,11,231,34,601,21.0,3.1,54.6,2
2013-07,1,7,44,11,592,6.3,1.6,84.6,5
2013-10,1,5,8858,7,418,1771.6,1.4,83.6,3
2013-11,1,34,870,8999,1814,25.6,264.7,53.4,5
2013-12,1,2,2,3,124,1.0,1.5,62.0,1
2014-01,1,14,155,48,2116,11.1,3.4,151.1,1
2014-02,1,4,87,1,241,21.8,0.2,60.2,4
2014-03,1,1,1,1,275,1.0,1.0,275.0,1
2014-04,1,2,2,2,182,1.0,1.0,91.0,1
2014-05,1,6,160,4,456,26.7,0.7,76.0,5
2014-06,1,31,299,404,4380,9.6,13.0,141.3,4
2014-07,1,10,262,9,520,26.2,0.9,52.0,5
2014-08,1,10,89,209,583,8.9,20.9,58.3,4
2014-10,1,11,221,130,901,20.1,11.8,81.9,3
2014-11,1,2,5,3,68,2.5,1.5,34.0,1
2014-12,1,41,263,89,2383,6.4,2.2,58.1,7
2015-01,1,24,154,108,2146,6.4,4.5,89.4,4
2015-02,1,35,399,80,1883,11.4,2.3,53.8,4
2015-03,1,1,2,0,27,2.0,0.0,27.0,1
2015-04,1,2,1,1,166,0.5,0.5,83.0,2
2015-05,1,2,22,7,103,11.0,3.5,51.5,1
2015-07,1,3,18,2,112,6.0,0.7,37.3,2
2015-08,1,3,163,37,1138,54.3,12.3,379.3,2
2015-10,1,11,1594,3681,413,144.9,334.6,37.5,3
2015-11,1,38,437,378,1873,11.5,9.9,49.3,5
2015-12,1,5,26,37,264,5.2,7.4,52.8,3
2016-03,1,18,539,28,1377,29.9,1.6,76.5,5
2016-04,1,16,170,75,776,10.6,4.7,48.5,4
2016-05,1,3,27,0,144,9.0,0.0,48.0,1
2016-06,1,1,2,0,35,2.0,0.0,35.0,1
2016-07,1,5,62,13,233,12.4,2.6,46.6,2
2016-08,1,1,1,0,20,1.0,0.0,20.0,1
2016-10,1,4,29,33,88,7.2,8.2,22.0,2
2016-11,1,30,292,380,1493,9.7,12.7,49.8,5
