org,repo,github_url,ai_adoption_date,repo_type
LadybirdBrowser,ancient-history,https://github.com/LadybirdBrowser/ancient-history,,side
LadybirdBrowser,discord-bot,https://github.com/LadybirdBrowser/discord-bot,,side
LadybirdBrowser,heroku-buildpack-bun,https://github.com/LadybirdBrowser/heroku-buildpack-bun,,side
LadybirdBrowser,js-benchmarks,https://github.com/LadybirdBrowser/js-benchmarks,,side
LadybirdBrowser,Ladybird-DSL-Plugin,https://github.com/LadybirdBrowser/Ladybird-DSL-Plugin,,side
LadybirdBrowser,ladybird-reports,https://github.com/LadybirdBrowser/ladybird-reports,,side
LadybirdBrowser,ladybird,https://github.com/LadybirdBrowser/ladybird,,main
LadybirdBrowser,ladybird.org,https://github.com/LadybirdBrowser/ladybird.org,,side
LadybirdBrowser,libjs-data,https://github.com/LadybirdBrowser/libjs-data,,side
LadybirdBrowser,libjs-test262,https://github.com/LadybirdBrowser/libjs-test262,,side
LadybirdBrowser,libjs-website,https://github.com/LadybirdBrowser/libjs-website,,side
LadybirdBrowser,web-benchmarks,https://github.com/LadybirdBrowser/web-benchmarks,,side
LadybirdBrowser,wpt-fyi-indexer,https://github.com/LadybirdBrowser/wpt-fyi-indexer,,side
PrestaShop,.github,https://github.com/PrestaShop/.github,,side
PrestaShop,ADR,https://github.com/PrestaShop/ADR,,side
PrestaShop,advancedeucompliance,https://github.com/PrestaShop/advancedeucompliance,,side
PrestaShop,autoload,https://github.com/PrestaShop/autoload,,side
PrestaShop,autoupgrade,https://github.com/PrestaShop/autoupgrade,,side
PrestaShop,azure-dep-ansible-csync2-lsyncd,https://github.com/PrestaShop/azure-dep-ansible-csync2-lsyncd,,side
PrestaShop,azure-dep-ansible-init-raid,https://github.com/PrestaShop/azure-dep-ansible-init-raid,,side
PrestaShop,azure-dep-ansible-role-mysql,https://github.com/PrestaShop/azure-dep-ansible-role-mysql,,side
PrestaShop,azure-template-basic,https://github.com/PrestaShop/azure-template-basic,,side
PrestaShop,azure-template-high-performance,https://github.com/PrestaShop/azure-template-high-performance,,side
PrestaShop,azure-template-performance,https://github.com/PrestaShop/azure-template-performance,,side
PrestaShop,backwardcompatibility,https://github.com/PrestaShop/backwardcompatibility,,side
PrestaShop,bankwire,https://github.com/PrestaShop/bankwire,,side
PrestaShop,blockadvertising,https://github.com/PrestaShop/blockadvertising,,side
PrestaShop,blockbanner,https://github.com/PrestaShop/blockbanner,,side
PrestaShop,blockbestsellers,https://github.com/PrestaShop/blockbestsellers,,side
PrestaShop,blockcart,https://github.com/PrestaShop/blockcart,,side
PrestaShop,blockcategories,https://github.com/PrestaShop/blockcategories,,side
PrestaShop,blockcms,https://github.com/PrestaShop/blockcms,,side
PrestaShop,blockcmsinfo,https://github.com/PrestaShop/blockcmsinfo,,side
PrestaShop,blockcontact,https://github.com/PrestaShop/blockcontact,,side
PrestaShop,blockcontactinfos,https://github.com/PrestaShop/blockcontactinfos,,side
PrestaShop,blockcurrencies,https://github.com/PrestaShop/blockcurrencies,,side
PrestaShop,blockcustomerprivacy,https://github.com/PrestaShop/blockcustomerprivacy,,side
PrestaShop,blockfacebook,https://github.com/PrestaShop/blockfacebook,,side
PrestaShop,blocklanguages,https://github.com/PrestaShop/blocklanguages,,side
PrestaShop,blocklayered,https://github.com/PrestaShop/blocklayered,,side
PrestaShop,blocklink,https://github.com/PrestaShop/blocklink,,side
PrestaShop,blockmanufacturer,https://github.com/PrestaShop/blockmanufacturer,,side
PrestaShop,blockmyaccount,https://github.com/PrestaShop/blockmyaccount,,side
PrestaShop,blockmyaccountfooter,https://github.com/PrestaShop/blockmyaccountfooter,,side
PrestaShop,blocknewproducts,https://github.com/PrestaShop/blocknewproducts,,side
PrestaShop,blocknewsletter,https://github.com/PrestaShop/blocknewsletter,,side
PrestaShop,blockpaymentlogo,https://github.com/PrestaShop/blockpaymentlogo,,side
PrestaShop,blockpermanentlinks,https://github.com/PrestaShop/blockpermanentlinks,,side
PrestaShop,blockreassurance,https://github.com/PrestaShop/blockreassurance,,side
PrestaShop,blockreasurrance,https://github.com/PrestaShop/blockreasurrance,,side
PrestaShop,blockreinsurance,https://github.com/PrestaShop/blockreinsurance,,side
PrestaShop,blockrss,https://github.com/PrestaShop/blockrss,,side
PrestaShop,blocksearch,https://github.com/PrestaShop/blocksearch,,side
PrestaShop,blocksharefb,https://github.com/PrestaShop/blocksharefb,,side
PrestaShop,blocksocial,https://github.com/PrestaShop/blocksocial,,side
PrestaShop,blockspecials,https://github.com/PrestaShop/blockspecials,,side
PrestaShop,blockstore,https://github.com/PrestaShop/blockstore,,side
PrestaShop,blocksupplier,https://github.com/PrestaShop/blocksupplier,,side
PrestaShop,blocktags,https://github.com/PrestaShop/blocktags,,side
PrestaShop,blocktopmenu,https://github.com/PrestaShop/blocktopmenu,,side
PrestaShop,blockuserinfo,https://github.com/PrestaShop/blockuserinfo,,side
PrestaShop,blockviewed,https://github.com/PrestaShop/blockviewed,,side
PrestaShop,blockwishlist,https://github.com/PrestaShop/blockwishlist,,side
PrestaShop,bootstrap-compatibility-layer,https://github.com/PrestaShop/bootstrap-compatibility-layer,,side
PrestaShop,carriercompare,https://github.com/PrestaShop/carriercompare,,side
PrestaShop,cashondelivery,https://github.com/PrestaShop/cashondelivery,,side
PrestaShop,cheque,https://github.com/PrestaShop/cheque,,side
PrestaShop,childtheme-example,https://github.com/PrestaShop/childtheme-example,,side
PrestaShop,circuit-breaker,https://github.com/PrestaShop/circuit-breaker,,side
PrestaShop,classi-theme,https://github.com/PrestaShop/classi-theme,,side
PrestaShop,classic-theme,https://github.com/PrestaShop/classic-theme,,side
PrestaShop,CldrCleaner,https://github.com/PrestaShop/CldrCleaner,,side
PrestaShop,CLIUpgrade,https://github.com/PrestaShop/CLIUpgrade,,side
PrestaShop,community-theme-16,https://github.com/PrestaShop/community-theme-16,,side
PrestaShop,composer-script-handler,https://github.com/PrestaShop/composer-script-handler,,side
PrestaShop,contactform,https://github.com/PrestaShop/contactform,,side
PrestaShop,contextual-help-api,https://github.com/PrestaShop/contextual-help-api,,side
PrestaShop,core-weekly-generator,https://github.com/PrestaShop/core-weekly-generator,,side
PrestaShop,CoreUpgradeBundle,https://github.com/PrestaShop/CoreUpgradeBundle,,side
PrestaShop,crossselling,https://github.com/PrestaShop/crossselling,,side
PrestaShop,CsaGuzzleBundle,https://github.com/PrestaShop/CsaGuzzleBundle,,side
PrestaShop,dashactivity,https://github.com/PrestaShop/dashactivity,,side
PrestaShop,dashgoals,https://github.com/PrestaShop/dashgoals,,side
PrestaShop,dashproducts,https://github.com/PrestaShop/dashproducts,,side
PrestaShop,dashtrends,https://github.com/PrestaShop/dashtrends,,side
PrestaShop,dateofdelivery,https://github.com/PrestaShop/dateofdelivery,,side
PrestaShop,decimal,https://github.com/PrestaShop/decimal,,side
PrestaShop,demo-cqrs-hooks-usage-module,https://github.com/PrestaShop/demo-cqrs-hooks-usage-module,,side
PrestaShop,demonstration,https://github.com/PrestaShop/demonstration,,side
PrestaShop,devdocs-site,https://github.com/PrestaShop/devdocs-site,,side
PrestaShop,distribution-api,https://github.com/PrestaShop/distribution-api,,side
PrestaShop,docker-ci,https://github.com/PrestaShop/docker-ci,,side
PrestaShop,docker-internal-images,https://github.com/PrestaShop/docker-internal-images,,side
PrestaShop,docker-templates,https://github.com/PrestaShop/docker-templates,,side
PrestaShop,docker,https://github.com/PrestaShop/docker,,side
PrestaShop,Docs,https://github.com/PrestaShop/Docs,2026-03-26,side
PrestaShop,doctoolsbundle,https://github.com/PrestaShop/doctoolsbundle,,side
PrestaShop,eslint-config,https://github.com/PrestaShop/eslint-config,,side
PrestaShop,example-modules,https://github.com/PrestaShop/example-modules,,side
PrestaShop,fontmanager,https://github.com/PrestaShop/fontmanager,,side
PrestaShop,functional-documentation,https://github.com/PrestaShop/functional-documentation,,side
PrestaShop,ga.tests.ui.pr,https://github.com/PrestaShop/ga.tests.ui.pr,,side
PrestaShop,git_monthly_metrics,https://github.com/PrestaShop/git_monthly_metrics,,side
PrestaShop,github-webhook-parser,https://github.com/PrestaShop/github-webhook-parser,,side
PrestaShop,graphnvd3,https://github.com/PrestaShop/graphnvd3,,side
PrestaShop,gridhtml,https://github.com/PrestaShop/gridhtml,,side
PrestaShop,gsitemap,https://github.com/PrestaShop/gsitemap,,side
PrestaShop,hummingbird,https://github.com/PrestaShop/hummingbird,2026-03-23,side
PrestaShop,issue_templates_poll,https://github.com/PrestaShop/issue_templates_poll,,side
PrestaShop,issuebot,https://github.com/PrestaShop/issuebot,,side
PrestaShop,jquery.live-polyfill,https://github.com/PrestaShop/jquery.live-polyfill,,side
PrestaShop,jwt,https://github.com/PrestaShop/jwt,,side
PrestaShop,kanbanbot,https://github.com/PrestaShop/kanbanbot,,side
PrestaShop,keycloak_connector_demo,https://github.com/PrestaShop/keycloak_connector_demo,,side
PrestaShop,laminas-code-lts,https://github.com/PrestaShop/laminas-code-lts,,side
PrestaShop,localizationfiles,https://github.com/PrestaShop/localizationfiles,,side
PrestaShop,minimal-theme,https://github.com/PrestaShop/minimal-theme,,side
PrestaShop,mjml-theme-converter,https://github.com/PrestaShop/mjml-theme-converter,,side
PrestaShop,native-modules,https://github.com/PrestaShop/native-modules,,side
PrestaShop,nightly-board,https://github.com/PrestaShop/nightly-board,,side
PrestaShop,open-source,https://github.com/PrestaShop/open-source,,side
PrestaShop,pa_customeraccountlinks,https://github.com/PrestaShop/pa_customeraccountlinks,,side
PrestaShop,pagesnotfound,https://github.com/PrestaShop/pagesnotfound,,side
PrestaShop,paymentexample,https://github.com/PrestaShop/paymentexample,,side
PrestaShop,performance-project,https://github.com/PrestaShop/performance-project,,side
