month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-12,1,73,10990,2043,4338,150.5,28.0,59.4
2016-01,1,40,4021,6791,2570,100.5,169.8,64.2
2016-02,1,12,320,45,751,26.7,3.8,62.6
2016-03,1,14,3429,2004,1069,244.9,143.1,76.4
2016-04,1,2,15,28,87,7.5,14.0,43.5
2016-05,1,14,1024,108,711,73.1,7.7,50.8
2016-06,1,37,1744,345,4415,47.1,9.3,119.3
2016-07,1,147,6658,5168,10162,45.3,35.2,69.1
2016-08,1,241,9721,7885,15733,40.3,32.7,65.3
2016-09,1,117,6684,2832,6178,57.1,24.2,52.8
2016-10,1,140,6034,2815,6453,43.1,20.1,46.1
2016-11,1,162,8600,6199,8274,53.1,38.3,51.1
2016-12,1,109,9218,3589,5481,84.6,32.9,50.3
2017-01,1,82,6956,4288,4976,84.8,52.3,60.7
2017-02,1,156,11463,6869,7536,73.5,44.0,48.3
2017-03,1,279,35779,7873,16037,128.2,28.2,57.5
2017-04,1,160,11584,8786,8545,72.4,54.9,53.4
2017-05,1,105,4104,1602,7463,39.1,15.3,71.1
2017-06,1,82,2885,2847,5824,35.2,34.7,71.0
2017-07,1,105,4466,4972,6601,42.5,47.4,62.9
2017-08,1,86,8109,2292,4682,94.3,26.7,54.4
2017-09,1,80,4957,3156,8417,62.0,39.5,105.2
2017-10,1,89,4738,4601,11876,53.2,51.7,133.4
2017-11,1,101,6402,4798,5826,63.4,47.5,57.7
2017-12,1,66,3495,1753,6749,53.0,26.6,102.3
2018-01,1,131,8156,8165,8100,62.3,62.3,61.8
2018-02,1,96,8855,9381,5848,92.2,97.7,60.9
2018-03,1,125,7872,8050,8222,63.0,64.4,65.8
2018-04,1,71,35969,3571,4568,506.6,50.3,64.3
2018-05,1,88,2864,3650,6167,32.5,41.5,70.1
2018-06,1,41,4826,1596,2699,117.7,38.9,65.8
2018-07,1,38,299,204,2433,7.9,5.4,64.0
2018-08,1,36,841,184,1977,23.4,5.1,54.9
2018-09,1,58,974,1240,4307,16.8,21.4,74.3
2018-10,1,47,4439,5205,4107,94.4,110.7,87.4
2018-11,1,69,40693,77356,4020,589.8,1121.1,58.3
2018-12,1,113,845,28711,8249,7.5,254.1,73.0
2019-01,1,86,3313,3268,5501,38.5,38.0,64.0
2019-02,1,39,1169,1205,2932,30.0,30.9,75.2
2019-03,1,41,25296,10337,3141,617.0,252.1,76.6
2019-04,1,47,394,1518,3693,8.4,32.3,78.6
2019-05,1,12,58,773,982,4.8,64.4,81.8
2019-06,1,37,424,1055,1863,11.5,28.5,50.4
2019-07,1,13,41,29,1024,3.2,2.2,78.8
2019-08,1,10,39,29,865,3.9,2.9,86.5
2019-09,1,43,384,88,3504,8.9,2.0,81.5
2019-10,1,25,76,59,2192,3.0,2.4,87.7
2019-11,1,17,33,28,1936,1.9,1.6,113.9
2019-12,1,12,12,19,1097,1.0,1.6,91.4
2020-01,1,77,2845,4880,4706,36.9,63.4,61.1
2020-02,1,16,252,224,750,15.8,14.0,46.9
2020-03,1,17,7,6,1157,0.4,0.4,68.1
2020-04,1,14,21,19,1377,1.5,1.4,98.4
2020-05,1,13,88,79,1131,6.8,6.1,87.0
2020-06,1,42,302,281,5283,7.2,6.7,125.8
2020-07,1,15,12,11,1566,0.8,0.7,104.4
2020-08,1,15,29,14,1608,1.9,0.9,107.2
2020-09,1,4,40,26,345,10.0,6.5,86.2
2020-10,1,8,7,6,909,0.9,0.8,113.6
2020-11,1,8,148,67,736,18.5,8.4,92.0
2020-12,1,53,1502,1445,5442,28.3,27.3,102.7
2021-01,1,24,844,674,2450,35.2,28.1,102.1
2021-02,1,47,375,372,4518,8.0,7.9,96.1
2021-03,1,19,31,28,1527,1.6,1.5,80.4
2021-04,1,8,19,17,566,2.4,2.1,70.8
2021-05,1,13,72,67,1008,5.5,5.2,77.5
2021-06,1,4,14,5,687,3.5,1.2,171.8
