month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-06,1,45,1477,163,1080,32.8,3.6,24.0
2014-07,1,75,3807,1098,2164,50.8,14.6,28.9
2014-08,1,28,169,128,1180,6.0,4.6,42.1
2014-09,1,129,7448,2995,4739,57.7,23.2,36.7
2014-10,1,151,5918,2291,7323,39.2,15.2,48.5
2014-11,1,118,2606,1129,7123,22.1,9.6,60.4
2014-12,1,54,1454,1207,2800,26.9,22.4,51.9
2015-01,1,72,2033,2115,2747,28.2,29.4,38.2
2015-02,1,53,750,538,2010,14.2,10.2,37.9
2015-03,1,42,1604,1593,1782,38.2,37.9,42.4
2015-04,1,21,472,390,981,22.5,18.6,46.7
2015-05,1,39,768,694,1360,19.7,17.8,34.9
2015-06,1,6,110,118,314,18.3,19.7,52.3
2015-07,1,11,691,116,897,62.8,10.5,81.5
2015-08,1,44,3617,2409,1806,82.2,54.8,41.0
2015-09,1,1,3,5,30,3.0,5.0,30.0
2015-10,1,3,3,2,389,1.0,0.7,129.7
2015-11,1,148,1778,1607,10334,12.0,10.9,69.8
2015-12,1,28,1475,242,1363,52.7,8.6,48.7
2016-01,1,25,349,329,1395,14.0,13.2,55.8
2016-02,1,47,436,359,4709,9.3,7.6,100.2
2016-03,1,45,437,266,4157,9.7,5.9,92.4
2016-04,1,21,141,56,1860,6.7,2.7,88.6
2016-05,1,17,75,23,1329,4.4,1.4,78.2
2016-06,1,48,245,177,4535,5.1,3.7,94.5
2016-07,1,21,69,30,1906,3.3,1.4,90.8
2016-08,1,68,727,223,5591,10.7,3.3,82.2
2016-09,1,33,257,217,2781,7.8,6.6,84.3
2016-10,1,54,12039,505,3267,222.9,9.4,60.5
2016-11,1,61,1330,265,4891,21.8,4.3,80.2
2016-12,1,61,2057,1370,4242,33.7,22.5,69.5
2017-01,1,65,2294,1337,4676,35.3,20.6,71.9
2017-02,1,74,2515,1382,6710,34.0,18.7,90.7
2017-03,1,170,6057,4559,30790,35.6,26.8,181.1
2017-04,1,54,2360,738,6795,43.7,13.7,125.8
2017-05,1,56,2202,1282,5497,39.3,22.9,98.2
