month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
1988-11,1,1,7,0,30,7.0,0.0,30.0
1989-08,1,1,14,0,30,14.0,0.0,30.0
1989-09,1,1,4,0,30,4.0,0.0,30.0
1989-11,1,1,2,0,30,2.0,0.0,30.0
1989-12,1,1,21,0,30,21.0,0.0,30.0
1990-01,1,1,9,0,30,9.0,0.0,30.0
1990-03,1,3,533,0,91,177.7,0.0,30.3
1990-05,1,1,1,0,31,1.0,0.0,31.0
1990-06,1,1,58,0,31,58.0,0.0,31.0
1990-08,1,2,29,0,62,14.5,0.0,31.0
1990-10,1,1,55,0,31,55.0,0.0,31.0
1991-01,1,1,5,0,31,5.0,0.0,31.0
1991-03,1,2,15,0,62,7.5,0.0,31.0
1991-05,1,9,1755,0,279,195.0,0.0,31.0
1991-06,1,1,299,0,31,299.0,0.0,31.0
1991-07,1,1,43,0,31,43.0,0.0,31.0
1991-08,1,7,8817,0,217,1259.6,0.0,31.0
1991-09,1,6,474,0,186,79.0,0.0,31.0
1991-10,1,9,6942,0,345,771.3,0.0,38.3
1991-11,1,31,9491,237,2358,306.2,7.6,76.1
1991-12,1,69,43960,1418,2639,637.1,20.6,38.2
1992-01,1,110,80271,1005,3932,729.7,9.1,35.7
1992-02,1,109,121688,426,3947,1116.4,3.9,36.2
1992-03,1,282,43514,4685,10995,154.3,16.6,39.0
1992-04,1,210,14987,5826,8400,71.4,27.7,40.0
1992-05,1,270,17375,3546,10690,64.4,13.1,39.6
1992-06,1,229,8800,3045,13071,38.4,13.3,57.1
1992-07,1,376,12208,5817,31331,32.5,15.5,83.3
1992-08,1,273,7587,3624,42279,27.8,13.3,154.9
1992-09,1,278,11753,8311,36687,42.3,29.9,132.0
1992-10,1,383,17189,2690,43732,44.9,7.0,114.2
1992-11,1,153,2102,487,15716,13.7,3.2,102.7
1992-12,1,200,2855,1312,22023,14.3,6.6,110.1
1993-01,1,362,6675,4421,49745,18.4,12.2,137.4
1993-02,1,171,6296,1419,19880,36.8,8.3,116.3
1993-03,1,414,21379,8105,56793,51.6,19.6,137.2
1993-04,1,307,19200,5362,36449,62.5,17.5,118.7
1993-05,1,324,7696,3398,32819,23.8,10.5,101.3
1993-06,1,194,4600,1823,22271,23.7,9.4,114.8
1993-07,1,240,7110,2845,33864,29.6,11.9,141.1
1993-08,1,189,6888,2630,30230,36.4,13.9,159.9
1993-09,1,303,13432,4525,35740,44.3,14.9,118.0
1993-10,1,418,23067,5137,48329,55.2,12.3,115.6
1993-11,1,213,2634,894,22465,12.4,4.2,105.5
1993-12,1,179,2627,1627,23041,14.7,9.1,128.7
1994-01,1,104,4429,1651,16947,42.6,15.9,163.0
1994-02,1,224,75237,4168,25598,335.9,18.6,114.3
1994-03,1,277,6313,4357,35322,22.8,15.7,127.5
1994-04,1,229,11074,8602,25692,48.4,37.6,112.2
1994-05,1,227,8832,7119,27670,38.9,31.4,121.9
