month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-08,1,63,7627,807,2109,121.1,12.8,33.5
2014-09,1,30,1814,624,863,60.5,20.8,28.8
2014-10,1,19,330,44,509,17.4,2.3,26.8
2014-11,1,20,753,375,672,37.6,18.8,33.6
2014-12,1,57,5797,1321,1572,101.7,23.2,27.6
2015-01,1,42,3611,1916,1201,86.0,45.6,28.6
2015-02,1,46,1275,945,1069,27.7,20.5,23.2
2015-03,1,34,684,612,883,20.1,18.0,26.0
2015-04,1,17,372,162,532,21.9,9.5,31.3
2015-05,1,19,593,44,539,31.2,2.3,28.4
2015-06,1,34,505,118,963,14.9,3.5,28.3
2015-07,1,22,755,659,619,34.3,30.0,28.1
2015-08,1,7,107,17,182,15.3,2.4,26.0
2015-09,1,24,811,211,799,33.8,8.8,33.3
2015-10,1,20,110,63,691,5.5,3.1,34.5
2015-11,1,16,1099,628,479,68.7,39.2,29.9
2015-12,1,4,258,311,97,64.5,77.8,24.2
2016-01,1,11,75,25,377,6.8,2.3,34.3
2016-02,1,36,873,446,1172,24.2,12.4,32.6
2016-03,1,11,535,13,405,48.6,1.2,36.8
2016-04,1,9,86,35,236,9.6,3.9,26.2
2016-05,1,33,1030,537,1251,31.2,16.3,37.9
2016-06,1,3,80,1,144,26.7,0.3,48.0
2016-07,1,5,35,4,216,7.0,0.8,43.2
2016-08,1,4,142,18,147,35.5,4.5,36.8
2016-10,1,13,66,66,338,5.1,5.1,26.0
2016-11,1,38,540,195,1064,14.2,5.1,28.0
2016-12,1,7,575,176,168,82.1,25.1,24.0
2017-01,1,6,80,10,185,13.3,1.7,30.8
2017-02,1,12,194,101,389,16.2,8.4,32.4
2017-03,1,1,10,10,34,10.0,10.0,34.0
2017-04,1,6,12,4,216,2.0,0.7,36.0
2017-05,1,41,783,534,1187,19.1,13.0,29.0
2017-06,1,12,145,20,390,12.1,1.7,32.5
2017-07,1,1,1,1,44,1.0,1.0,44.0
2017-08,1,16,454,101,551,28.4,6.3,34.4
2017-09,1,15,250,25,512,16.7,1.7,34.1
2017-10,1,6,50,11,172,8.3,1.8,28.7
2017-11,1,5,57,7,185,11.4,1.4,37.0
2017-12,1,18,253,81,560,14.1,4.5,31.1
2018-01,1,11,883,265,333,80.3,24.1,30.3
2018-02,1,9,94,20,394,10.4,2.2,43.8
2018-03,1,8,88,15,250,11.0,1.9,31.2
2018-04,1,5,8,9,139,1.6,1.8,27.8
2018-05,1,9,229,6,329,25.4,0.7,36.6
2018-06,1,2,19,1,47,9.5,0.5,23.5
2018-07,1,17,104,34,572,6.1,2.0,33.6
2018-08,1,7,256,16,271,36.6,2.3,38.7
2018-09,1,13,599,205,402,46.1,15.8,30.9
