month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2017-11,1,1,984,0,31,984.0,0.0,31.0
2017-12,1,8,348,361,329,43.5,45.1,41.1
2018-01,1,9,611,541,399,67.9,60.1,44.3
2018-02,1,1,55,62,31,55.0,62.0,31.0
2018-03,1,5,696,320,217,139.2,64.0,43.4
2018-04,1,8,687,637,322,85.9,79.6,40.2
2018-05,1,8,894,806,398,111.8,100.8,49.8
2018-06,1,4,502,402,148,125.5,100.5,37.0
2018-07,1,16,1226,691,704,76.6,43.2,44.0
2018-08,1,15,1562,853,656,104.1,56.9,43.7
2018-09,1,47,4371,3263,2383,93.0,69.4,50.7
2018-10,1,18,865,459,879,48.1,25.5,48.8
2018-11,1,13,800,412,681,61.5,31.7,52.4
2019-01,1,3,872,794,110,290.7,264.7,36.7
2019-03,1,2,1250,883,98,625.0,441.5,49.0
2019-04,1,6,291,832,252,48.5,138.7,42.0
2019-05,1,55,3439,3021,2446,62.5,54.9,44.5
2019-06,1,3,117,38,137,39.0,12.7,45.7
2019-07,1,17,694,2508,944,40.8,147.5,55.5
2019-08,1,14,1571,1109,859,112.2,79.2,61.4
2019-09,1,8,516,743,414,64.5,92.9,51.8
2020-03,1,2,2,4,111,1.0,2.0,55.5
2020-09,1,1,1,0,24,1.0,0.0,24.0
