month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-01,1,2,304,2,33,152.0,1.0,16.5
2015-02,1,2,2,2,77,1.0,1.0,38.5
2015-03,1,6,9,10,221,1.5,1.7,36.8
2015-04,1,4,4,4,144,1.0,1.0,36.0
2015-05,1,3,4,4,107,1.3,1.3,35.7
2015-07,1,1,2,2,26,2.0,2.0,26.0
2015-08,1,2,2,2,47,1.0,1.0,23.5
2015-09,1,202,23711,17007,5480,117.4,84.2,27.1
2015-10,1,37,668,282,1485,18.1,7.6,40.1
2015-11,1,102,2417,853,6242,23.7,8.4,61.2
2015-12,1,66,2451,312,5680,37.1,4.7,86.1
2016-01,1,79,3232,702,6944,40.9,8.9,87.9
2016-02,1,74,2371,901,11108,32.0,12.2,150.1
2016-03,1,72,1683,237,8831,23.4,3.3,122.7
2016-04,1,49,195,117,8229,4.0,2.4,167.9
2016-05,1,62,1656,340,17082,26.7,5.5,275.5
2016-06,1,31,630,344,4774,20.3,11.1,154.0
2016-07,1,50,497,170,4781,9.9,3.4,95.6
2016-08,1,52,1928,378,4333,37.1,7.3,83.3
2016-09,1,78,1483,728,10429,19.0,9.3,133.7
2016-10,1,55,218,233,5629,4.0,4.2,102.3
2016-11,1,43,994,468,4284,23.1,10.9,99.6
2016-12,1,71,2445,1013,7097,34.4,14.3,100.0
2017-01,1,51,738,297,10709,14.5,5.8,210.0
2017-02,1,80,2123,544,13786,26.5,6.8,172.3
2017-03,1,30,205,155,5257,6.8,5.2,175.2
2017-04,1,63,14754,11643,9264,234.2,184.8,147.0
2017-05,1,56,424,205,8406,7.6,3.7,150.1
2017-06,1,100,2421,634,11264,24.2,6.3,112.6
2017-07,1,120,4794,1751,13044,40.0,14.6,108.7
2017-08,1,108,5043,1370,13892,46.7,12.7,128.6
2017-09,1,73,2147,336,7670,29.4,4.6,105.1
2017-10,1,86,9625,4845,10534,111.9,56.3,122.5
2017-11,1,63,11182,5648,7020,177.5,89.7,111.4
2017-12,1,50,927,199,5669,18.5,4.0,113.4
2018-01,1,65,1031,150,6671,15.9,2.3,102.6
2018-02,1,47,1258,131,5085,26.8,2.8,108.2
2018-03,1,49,820,279,12259,16.7,5.7,250.2
2018-04,1,36,739,142,6030,20.5,3.9,167.5
2018-05,1,40,778,314,4268,19.4,7.8,106.7
2018-06,1,38,639,380,6782,16.8,10.0,178.5
2018-07,1,58,3438,722,12498,59.3,12.4,215.5
2018-08,1,44,285,306,8740,6.5,7.0,198.6
2018-09,1,32,393,103,5353,12.3,3.2,167.3
2018-10,1,90,1694,872,9400,18.8,9.7,104.4
2018-11,1,79,2331,1166,14436,29.5,14.8,182.7
2018-12,1,73,2705,182,8243,37.1,2.5,112.9
2019-01,1,80,3130,1030,13406,39.1,12.9,167.6
2019-02,1,150,12119,5504,19972,80.8,36.7,133.1
2019-03,1,57,1137,576,8282,19.9,10.1,145.3
2019-04,1,43,2894,2094,4177,67.3,48.7,97.1
2019-05,1,193,7516,5596,20836,38.9,29.0,108.0
2019-06,1,80,3865,3336,9047,48.3,41.7,113.1
2019-07,1,75,3331,1016,7326,44.4,13.5,97.7
2019-08,1,96,1845,2190,11363,19.2,22.8,118.4
2019-09,1,93,9322,6013,10134,100.2,64.7,109.0
