month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-12,1,9,1228,33,179,136.4,3.7,19.9
2015-01,1,22,1394,934,504,63.4,42.5,22.9
2015-02,1,14,154,83,437,11.0,5.9,31.2
2015-03,1,19,209,116,487,11.0,6.1,25.6
2015-04,1,4,18,3,105,4.5,0.8,26.2
2015-05,1,7,19,20,221,2.7,2.9,31.6
2015-06,1,5,174,48,286,34.8,9.6,57.2
2015-07,1,3,6,6,63,2.0,2.0,21.0
2015-08,1,1,7,7,17,7.0,7.0,17.0
2015-09,1,4,96,5,213,24.0,1.2,53.2
2015-10,1,5,212,64,191,42.4,12.8,38.2
2015-11,1,5,57,36,82,11.4,7.2,16.4
2015-12,1,1,52,3,27,52.0,3.0,27.0
2016-01,1,9,304,62,302,33.8,6.9,33.6
2016-03,1,3,28,37,124,9.3,12.3,41.3
2016-04,1,2,2,2,37,1.0,1.0,18.5
2016-05,1,1,1,1,20,1.0,1.0,20.0
2016-06,1,1,25,13,19,25.0,13.0,19.0
2016-07,1,2,3,6,44,1.5,3.0,22.0
2016-09,1,2,68,12,57,34.0,6.0,28.5
2016-11,1,1,6,9,19,6.0,9.0,19.0
2017-01,1,3,5,3,74,1.7,1.0,24.7
2017-02,1,3,237,1,94,79.0,0.3,31.3
2017-03,1,2,44,3,69,22.0,1.5,34.5
2017-05,1,50,1351,817,1846,27.0,16.3,36.9
2017-06,1,10,521,278,452,52.1,27.8,45.2
2017-07,1,2,29,11,82,14.5,5.5,41.0
2017-08,1,7,129,158,209,18.4,22.6,29.9
2017-09,1,5,101,1241,184,20.2,248.2,36.8
2017-10,1,8,206,330,238,25.8,41.2,29.8
2017-11,1,1,3,0,16,3.0,0.0,16.0
2017-12,1,14,210,177,397,15.0,12.6,28.4
2018-02,1,2,32,27,63,16.0,13.5,31.5
2018-04,1,2,74,5,110,37.0,2.5,55.0
2018-05,1,3,17,4,88,5.7,1.3,29.3
2018-06,1,8,170,53,236,21.2,6.6,29.5
2018-07,1,1,3,0,10,3.0,0.0,10.0
2018-08,1,4,78,24,175,19.5,6.0,43.8
2018-09,1,2,19,11,68,9.5,5.5,34.0
2018-10,1,6,25,7,193,4.2,1.2,32.2
2018-11,1,1,1,1,34,1.0,1.0,34.0
2019-01,1,3,12,0,137,4.0,0.0,45.7
2019-02,1,2,14,5,110,7.0,2.5,55.0
2019-03,1,9,1759,38,330,195.4,4.2,36.7
2019-04,1,4,1201,70,138,300.2,17.5,34.5
2019-05,1,2,2,2,76,1.0,1.0,38.0
2019-06,1,1,262,145,51,262.0,145.0,51.0
2019-07,1,13,739,400,509,56.8,30.8,39.2
2019-08,1,2,3,4,84,1.5,2.0,42.0
2019-09,1,12,301,157,252,25.1,13.1,21.0
2019-11,1,7,66,50,186,9.4,7.1,26.6
2019-12,1,12,156,203,372,13.0,16.9,31.0
2020-01,1,6,1510,979,215,251.7,163.2,35.8
2020-02,1,2,681,547,107,340.5,273.5,53.5
2020-03,1,2,2,0,68,1.0,0.0,34.0
2020-04,1,3,27,17,99,9.0,5.7,33.0
