month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-11,1,25,878,274,1099,35.1,11.0,44.0
2015-12,1,10,99,34,381,9.9,3.4,38.1
2016-01,1,5,64,57,205,12.8,11.4,41.0
2016-02,1,9,884,298,337,98.2,33.1,37.4
2016-03,1,147,4910,3380,5420,33.4,23.0,36.9
2016-04,1,67,2750,1222,2462,41.0,18.2,36.7
2016-05,1,31,1214,612,1116,39.2,19.7,36.0
2016-06,1,141,4003,3203,5922,28.4,22.7,42.0
2016-07,1,24,693,294,869,28.9,12.2,36.2
2016-08,1,1,121,108,28,121.0,108.0,28.0
2016-09,1,89,4063,1591,3489,45.7,17.9,39.2
2016-10,1,51,2232,1658,1903,43.8,32.5,37.3
2016-11,1,74,2321,1306,3347,31.4,17.6,45.2
2016-12,1,58,2011,1650,2370,34.7,28.4,40.9
2017-01,1,35,1058,415,1247,30.2,11.9,35.6
2017-02,1,87,2825,1368,3125,32.5,15.7,35.9
2017-03,1,45,1886,1725,1699,41.9,38.3,37.8
2017-04,1,9,50,30,394,5.6,3.3,43.8
2017-05,1,40,1017,492,1916,25.4,12.3,47.9
2017-06,1,105,3147,1582,4318,30.0,15.1,41.1
2017-07,1,126,7644,5337,5464,60.7,42.4,43.4
2017-08,1,87,5903,3499,4201,67.9,40.2,48.3
2017-09,1,55,1044,736,2205,19.0,13.4,40.1
2017-10,1,6,76,8531,309,12.7,1421.8,51.5
2017-11,1,5,76,301,93,15.2,60.2,18.6
2017-12,1,10,1741,177,346,174.1,17.7,34.6
2018-01,1,7,226,205,153,32.3,29.3,21.9
2018-03,1,11,248,113,371,22.5,10.3,33.7
2018-04,1,8,89,124,208,11.1,15.5,26.0
2018-05,1,49,1257,951,1924,25.7,19.4,39.3
2018-06,1,13,520,372,387,40.0,28.6,29.8
2018-07,1,47,511,431,1895,10.9,9.2,40.3
2018-08,1,55,1646,3022,2053,29.9,54.9,37.3
2018-09,1,20,401,366,659,20.1,18.3,33.0
2018-10,1,92,3230,2031,4131,35.1,22.1,44.9
2018-11,1,125,3089,2114,4647,24.7,16.9,37.2
2018-12,1,71,1100,1180,2637,15.5,16.6,37.1
2019-01,1,21,347,222,685,16.5,10.6,32.6
2019-02,1,51,1728,1760,1768,33.9,34.5,34.7
2019-03,1,26,110,120,820,4.2,4.6,31.5
2019-04,1,108,2538,1706,3769,23.5,15.8,34.9
2019-05,1,62,919,697,1951,14.8,11.2,31.5
2019-06,1,94,2496,1667,3594,26.6,17.7,38.2
2019-07,1,94,766,1004,3485,8.1,10.7,37.1
2019-08,1,116,1340,779,3497,11.6,6.7,30.1
2019-09,1,61,1132,555,1776,18.6,9.1,29.1
2019-10,1,112,2718,1490,3901,24.3,13.3,34.8
2019-11,1,102,1810,1110,3482,17.7,10.9,34.1
2019-12,1,81,2041,1542,2687,25.2,19.0,33.2
2020-01,1,72,1271,376,2252,17.7,5.2,31.3
2020-02,1,90,2992,2029,2658,33.2,22.5,29.5
2020-03,1,180,5032,3330,7071,28.0,18.5,39.3
2020-04,1,226,7510,4075,8408,33.2,18.0,37.2
2020-05,1,111,2139,1328,3759,19.3,12.0,33.9
2020-06,1,28,894,509,1041,31.9,18.2,37.2
2020-07,1,52,1048,494,1911,20.2,9.5,36.8
2020-08,1,48,1232,793,1861,25.7,16.5,38.8
2020-09,1,81,1779,1123,3049,22.0,13.9,37.6
2020-10,1,88,1489,816,3458,16.9,9.3,39.3
2020-11,1,34,5735,2972,1895,168.7,87.4,55.7
2020-12,1,35,1172,577,1197,33.5,16.5,34.2
2021-01,1,40,671,277,1425,16.8,6.9,35.6
2021-02,1,28,800,620,936,28.6,22.1,33.4
2021-03,1,37,1048,521,1291,28.3,14.1,34.9
2021-04,1,37,1585,752,1339,42.8,20.3,36.2
2021-05,1,65,2669,1792,2117,41.1,27.6,32.6
2021-06,1,48,1231,913,2099,25.6,19.0,43.7
2021-07,1,33,1301,1074,1119,39.4,32.5,33.9
2021-08,1,16,104,85,458,6.5,5.3,28.6
2021-09,1,14,419,161,464,29.9,11.5,33.1
2021-10,1,15,153,60,381,10.2,4.0,25.4
2021-11,1,18,387,178,552,21.5,9.9,30.7
2021-12,1,26,1465,525,871,56.3,20.2,33.5
2022-01,1,11,328,82,251,29.8,7.5,22.8
