month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-06,1,39,5548,970,710,142.3,24.9,18.2
2015-07,1,74,8084,6965,1686,109.2,94.1,22.8
2015-08,1,9,53,56,281,5.9,6.2,31.2
2015-09,1,5,56,39,248,11.2,7.8,49.6
2015-10,1,11,204,55,426,18.5,5.0,38.7
2015-11,1,3,5,3,92,1.7,1.0,30.7
2015-12,1,3,8,7,112,2.7,2.3,37.3
2016-01,1,6,27,19,476,4.5,3.2,79.3
2016-02,1,1,1,1,51,1.0,1.0,51.0
2016-03,1,3,3,3,120,1.0,1.0,40.0
2016-04,1,1,1,1,22,1.0,1.0,22.0
2016-05,1,2,119,138,89,59.5,69.0,44.5
2016-06,1,2,8,12,68,4.0,6.0,34.0
2016-07,1,4,4,5,120,1.0,1.2,30.0
2016-09,1,2,1,5,87,0.5,2.5,43.5
2017-01,1,6,44,36,266,7.3,6.0,44.3
2017-02,1,7,135,114,196,19.3,16.3,28.0
2017-03,1,3,83,2,52,27.7,0.7,17.3
2017-04,1,5,76,7,125,15.2,1.4,25.0
2017-05,1,9,985,235,436,109.4,26.1,48.4
2017-06,1,1,216,168,25,216.0,168.0,25.0
2017-07,1,5,52,86,197,10.4,17.2,39.4
2017-09,1,1,0,2,7,0.0,2.0,7.0
2017-10,1,2,6,12,71,3.0,6.0,35.5
2017-11,1,5,17,10,122,3.4,2.0,24.4
2017-12,1,5,26,30,181,5.2,6.0,36.2
2018-01,1,1,5,5,30,5.0,5.0,30.0
2018-02,1,2,6,5,114,3.0,2.5,57.0
2018-03,1,2,6,7,70,3.0,3.5,35.0
2018-04,1,3,34,35,104,11.3,11.7,34.7
2018-05,1,3,154,112,152,51.3,37.3,50.7
2018-06,1,2,111,18,65,55.5,9.0,32.5
2018-07,1,4,6,6,119,1.5,1.5,29.8
2018-08,1,7,163,82,326,23.3,11.7,46.6
2018-09,1,4,82,64,143,20.5,16.0,35.8
2018-10,1,4,82,19,129,20.5,4.8,32.2
2018-11,1,9,728,353,258,80.9,39.2,28.7
2018-12,1,7,106,55,222,15.1,7.9,31.7
2019-01,1,1,1,4,43,1.0,4.0,43.0
2019-02,1,1,1,1,27,1.0,1.0,27.0
2019-04,1,6,53,30,195,8.8,5.0,32.5
2019-06,1,7,60,54,234,8.6,7.7,33.4
2019-07,1,23,170,112,628,7.4,4.9,27.3
2019-08,1,17,74,62,433,4.4,3.6,25.5
2019-09,1,7,33,10,195,4.7,1.4,27.9
2019-10,1,5,43,26,146,8.6,5.2,29.2
2019-11,1,3,5,5,92,1.7,1.7,30.7
2019-12,1,2,20,15,72,10.0,7.5,36.0
2020-01,1,5,13,6,95,2.6,1.2,19.0
2020-02,1,8,25,16,294,3.1,2.0,36.8
2020-03,1,2,2,2,49,1.0,1.0,24.5
2020-04,1,5,24,14,179,4.8,2.8,35.8
2020-05,1,4,37,21,122,9.2,5.2,30.5
2020-06,1,5,17,17,159,3.4,3.4,31.8
2020-07,1,1,1,1,56,1.0,1.0,56.0
2020-08,1,4,9,15,120,2.2,3.8,30.0
2020-09,1,1,1,0,57,1.0,0.0,57.0
2020-10,1,6,17,11,182,2.8,1.8,30.3
