month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2010-12,1,24,360,48,656,15.0,2.0,27.3
2011-01,1,59,2360,308,2523,40.0,5.2,42.8
2011-02,1,16,4560,1134,572,285.0,70.9,35.8
2011-03,1,15,317,228,638,21.1,15.2,42.5
2011-04,1,20,624,447,834,31.2,22.4,41.7
2011-05,1,21,1072,1608,685,51.0,76.6,32.6
2011-06,1,65,2063,1814,3336,31.7,27.9,51.3
2011-07,1,82,2072,1909,3231,25.3,23.3,39.4
2011-08,1,57,946,595,2221,16.6,10.4,39.0
2011-09,1,25,5925,59,869,237.0,2.4,34.8
2011-10,1,70,4604,2209,2919,65.8,31.6,41.7
2011-11,1,45,4924,3098,1631,109.4,68.8,36.2
2011-12,1,17,248,167,501,14.6,9.8,29.5
2012-01,1,39,2477,271,1605,63.5,6.9,41.2
2012-02,1,23,241,245,863,10.5,10.7,37.5
2012-03,1,30,427,228,1396,14.2,7.6,46.5
2012-04,1,83,28667,16383,3000,345.4,197.4,36.1
2012-05,1,47,640,770,1811,13.6,16.4,38.5
2012-06,1,105,8825,25961,4303,84.0,247.2,41.0
2012-07,1,70,4575,1076,2799,65.4,15.4,40.0
2012-08,1,92,2488,1999,4007,27.0,21.7,43.6
2012-09,1,137,91448,2023,5687,667.5,14.8,41.5
2012-10,1,41,1496,85264,1590,36.5,2079.6,38.8
2012-11,1,61,947,578,2696,15.5,9.5,44.2
2012-12,1,2,5,4,142,2.5,2.0,71.0
2013-01,1,9,253,128,303,28.1,14.2,33.7
2013-02,1,2,60,19,110,30.0,9.5,55.0
2013-11,1,1,69,0,50,69.0,0.0,50.0
2013-12,1,47,998,543,2607,21.2,11.6,55.5
2014-01,1,178,16234,3156,10916,91.2,17.7,61.3
2014-02,1,114,3034,2066,5854,26.6,18.1,51.4
2014-03,1,210,36611,3590,10965,174.3,17.1,52.2
2014-04,1,125,17881,22756,6578,143.0,182.0,52.6
2014-05,1,175,3321,5752,9188,19.0,32.9,52.5
2014-06,1,58,723,522,2848,12.5,9.0,49.1
2014-07,1,39,2102,415,2055,53.9,10.6,52.7
2014-08,1,22,383,169,1071,17.4,7.7,48.7
2014-09,1,58,246,754,3044,4.2,13.0,52.5
2014-10,1,53,20404,19657,2384,385.0,370.9,45.0
2014-11,1,136,242747,1779,6065,1784.9,13.1,44.6
2014-12,1,149,6684,5281,6101,44.9,35.4,40.9
2015-01,1,40,732,769,1792,18.3,19.2,44.8
2015-02,1,14,698,447,715,49.9,31.9,51.1
2015-03,1,15,192,54,742,12.8,3.6,49.5
2015-04,1,97,134929,423799,3741,1391.0,4369.1,38.6
2015-05,1,57,24432,743,2188,428.6,13.0,38.4
2015-06,1,31,1149,387,1262,37.1,12.5,40.7
2015-07,1,90,3259,1634,3509,36.2,18.2,39.0
2015-08,1,141,6727,1231,5660,47.7,8.7,40.1
2015-09,1,66,6458,3051,2966,97.8,46.2,44.9
2015-10,1,59,3090,24839,2519,52.4,421.0,42.7
2015-11,1,87,3687,2294,4314,42.4,26.4,49.6
2015-12,1,32,985,1732,1801,30.8,54.1,56.3
2016-01,1,37,5071,2945,1613,137.1,79.6,43.6
2016-02,1,28,819,1630,1296,29.2,58.2,46.3
2016-03,1,36,657,290,1567,18.2,8.1,43.5
2016-04,1,48,1910,765,2206,39.8,15.9,46.0
2016-05,1,42,1320,413,1881,31.4,9.8,44.8
2016-06,1,33,1355,596,1515,41.1,18.1,45.9
2016-07,1,23,4054,485,1057,176.3,21.1,46.0
2016-08,1,26,1124,2537,1389,43.2,97.6,53.4
2016-09,1,18,1485,459,826,82.5,25.5,45.9
2016-10,1,16,1492,408,812,93.2,25.5,50.8
2016-11,1,33,1964,2014,1688,59.5,61.0,51.2
2016-12,1,8,341,95,407,42.6,11.9,50.9
2017-01,1,22,3494,501,1349,158.8,22.8,61.3
2017-02,1,8,210,58,432,26.2,7.2,54.0
2017-03,1,32,8246,4118,1493,257.7,128.7,46.7
2017-04,1,35,5331,504,1637,152.3,14.4,46.8
2017-05,1,39,3568,360,1789,91.5,9.2,45.9
2017-06,1,7,155,102,338,22.1,14.6,48.3
2017-07,1,47,2958,1406,2349,62.9,29.9,50.0
2017-08,1,42,2343,998,2099,55.8,23.8,50.0
2017-09,1,26,1759,553,1326,67.7,21.3,51.0
2017-10,1,21,1244,755,1153,59.2,36.0,54.9
2017-11,1,31,6049,3641,1630,195.1,117.5,52.6
2017-12,1,17,1567,688,962,92.2,40.5,56.6
2018-01,1,39,14536,646,1877,372.7,16.6,48.1
2018-02,1,32,3683,1052,1783,115.1,32.9,55.7
2018-03,1,41,2546,716,2195,62.1,17.5,53.5
2018-04,1,15,6615,1904,873,441.0,126.9,58.2
2018-05,1,36,3164,717,2139,87.9,19.9,59.4
2018-06,1,21,12209,7113,1254,581.4,338.7,59.7
2018-07,1,36,13645,916,2241,379.0,25.4,62.2
2018-08,1,35,24061,7511,1912,687.5,214.6,54.6
2018-09,1,23,3662,908,1414,159.2,39.5,61.5
2018-10,1,21,10880,6593,1136,518.1,314.0,54.1
2018-11,1,17,2763,1007,1065,162.5,59.2,62.6
2018-12,1,15,2314,292,982,154.3,19.5,65.5
2019-01,1,29,3340,1190,1628,115.2,41.0,56.1
2019-02,1,24,4013,635,1319,167.2,26.5,55.0
2019-03,1,35,8267,3926,2126,236.2,112.2,60.7
2019-04,1,36,3946,1023,2171,109.6,28.4,60.3
2019-05,1,33,4179,1220,1795,126.6,37.0,54.4
2019-06,1,26,3695,3330,1456,142.1,128.1,56.0
2019-07,1,18,16412,14278,955,911.8,793.2,53.1
2019-08,1,24,6015,881,1422,250.6,36.7,59.2
2019-09,1,39,4871,1949,2625,124.9,50.0,67.3
2019-10,1,62,2934,1127,4182,47.3,18.2,67.5
2019-11,1,39,3870,19166,2501,99.2,491.4,64.1
2019-12,1,25,17608,17264,1712,704.3,690.6,68.5
2020-01,1,23,1793,851,1332,78.0,37.0,57.9
2020-02,1,19,1307,932,1212,68.8,49.1,63.8
2020-03,1,29,8543,11928,1439,294.6,411.3,49.6
2020-04,1,20,2458,2265,1079,122.9,113.2,54.0
2020-05,1,12,560,165,676,46.7,13.8,56.3
2020-06,1,9,903,89,563,100.3,9.9,62.6
2020-07,1,8,724,56,497,90.5,7.0,62.1
2020-08,1,12,1162,281,727,96.8,23.4,60.6
2020-09,1,14,12855,10595,837,918.2,756.8,59.8
2020-10,1,35,1899,2095,1956,54.3,59.9,55.9
2020-11,1,26,898,518,1585,34.5,19.9,61.0
2020-12,1,35,36972,12877,2280,1056.3,367.9,65.1
2021-01,1,46,5084,7809,2849,110.5,169.8,61.9
2021-02,1,33,2983,2896,1944,90.4,87.8,58.9
2021-03,1,24,17897,22628,1311,745.7,942.8,54.6
2021-04,1,13,644,556,663,49.5,42.8,51.0
2021-05,1,27,4939,5145,1442,182.9,190.6,53.4
2021-06,1,7,552,370,325,78.9,52.9,46.4
2021-07,1,10,138,49,500,13.8,4.9,50.0
2021-08,1,24,894,1788,1306,37.2,74.5,54.4
2021-09,1,18,980,526,1005,54.4,29.2,55.8
2021-10,1,16,1482,895,973,92.6,55.9,60.8
2021-11,1,17,3015,1176,831,177.4,69.2,48.9
2021-12,1,6,4821,6430,246,803.5,1071.7,41.0
2022-01,1,11,442,452,589,40.2,41.1,53.5
2022-02,1,11,36981,32038,664,3361.9,2912.5,60.4
2022-03,1,14,48361,58872,635,3454.4,4205.1,45.4
2022-04,1,20,5821,7312,996,291.1,365.6,49.8
2022-05,1,38,11695,13718,2171,307.8,361.0,57.1
2022-06,1,4,1222,1240,193,305.5,310.0,48.2
