month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-01,1,9,561,1,196,62.3,0.1,21.8
2012-02,1,1,3,1,45,3.0,1.0,45.0
2012-08,1,16,425,539,739,26.6,33.7,46.2
2012-09,1,4,11,34,280,2.8,8.5,70.0
2012-10,1,4,6,6,128,1.5,1.5,32.0
2013-01,1,6,129,11,139,21.5,1.8,23.2
2013-02,1,2,27,3,49,13.5,1.5,24.5
2013-03,1,5,21,12,386,4.2,2.4,77.2
2013-05,1,9,41,27,281,4.6,3.0,31.2
2013-06,1,1,2,1,27,2.0,1.0,27.0
2013-07,1,2,22,0,54,11.0,0.0,27.0
2013-10,1,1,2,2,104,2.0,2.0,104.0
2013-11,1,4,63,12,165,15.8,3.0,41.2
2014-01,1,1,1,1,48,1.0,1.0,48.0
2014-02,1,1,2,2,19,2.0,2.0,19.0
2014-03,1,3,150,61,110,50.0,20.3,36.7
2014-05,1,1,3,3,51,3.0,3.0,51.0
2014-07,1,1,13,1,37,13.0,1.0,37.0
2014-08,1,1,178,39,41,178.0,39.0,41.0
2014-09,1,2,16,4,49,8.0,2.0,24.5
2014-10,1,3,6,6,149,2.0,2.0,49.7
2014-11,1,1,2,2,20,2.0,2.0,20.0
2015-01,1,8,45,19,438,5.6,2.4,54.8
2015-03,1,5,71,52,235,14.2,10.4,47.0
2015-04,1,1,1,0,49,1.0,0.0,49.0
2015-05,1,6,91,38,192,15.2,6.3,32.0
2015-08,1,1,4,0,26,4.0,0.0,26.0
2015-09,1,1,4,0,39,4.0,0.0,39.0
2015-10,1,9,694,711,344,77.1,79.0,38.2
2016-01,1,2,14,12,109,7.0,6.0,54.5
2016-02,1,1,46,1,41,46.0,1.0,41.0
2016-03,1,1,24,0,47,24.0,0.0,47.0
2016-05,1,10,137,30,362,13.7,3.0,36.2
2016-08,1,11,152,113,453,13.8,10.3,41.2
2016-09,1,5,12,12,173,2.4,2.4,34.6
2016-10,1,12,227,50,506,18.9,4.2,42.2
2016-11,1,8,2034,535,396,254.2,66.9,49.5
2016-12,1,1,179,6,46,179.0,6.0,46.0
2017-02,1,13,1176,149,615,90.5,11.5,47.3
2017-03,1,12,159,38,572,13.2,3.2,47.7
2017-04,1,5,372,219,286,74.4,43.8,57.2
2017-05,1,2,60,7,114,30.0,3.5,57.0
2017-07,1,3,10241,754,130,3413.7,251.3,43.3
2017-08,1,4,658,285,166,164.5,71.2,41.5
2017-09,1,4,720,195,200,180.0,48.8,50.0
2017-10,1,6,764,5158,285,127.3,859.7,47.5
2017-11,1,6,795,66,224,132.5,11.0,37.3
2017-12,1,4,233,72,192,58.2,18.0,48.0
2018-01,1,7,356,273,292,50.9,39.0,41.7
2018-02,1,4,330,91,163,82.5,22.8,40.8
2018-03,1,3,209,120,136,69.7,40.0,45.3
