month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2011-05,1,1,72,0,38,72.0,0.0,38.0
2011-08,1,2,10,10,95,5.0,5.0,47.5
2011-09,1,2,4,4,64,2.0,2.0,32.0
2011-10,1,1,6,6,42,6.0,6.0,42.0
2011-12,1,1,4,2,46,4.0,2.0,46.0
2012-01,1,3,12,8,135,4.0,2.7,45.0
2012-02,1,3,5,4,96,1.7,1.3,32.0
2012-03,1,2,4,3,99,2.0,1.5,49.5
2012-05,1,6,59,40,253,9.8,6.7,42.2
2012-06,1,5,42,25,226,8.4,5.0,45.2
2012-07,1,18,67,25,764,3.7,1.4,42.4
2012-08,1,9,58,35,461,6.4,3.9,51.2
2012-09,1,2,17,3,133,8.5,1.5,66.5
2012-12,1,3,10,14,129,3.3,4.7,43.0
2013-02,1,9,21,12,285,2.3,1.3,31.7
2013-03,1,6,17,15,225,2.8,2.5,37.5
2013-04,1,5,14,10,192,2.8,2.0,38.4
2013-05,1,7,11,17,198,1.6,2.4,28.3
2013-06,1,4,21,8,221,5.2,2.0,55.2
2013-07,1,9,253,26,356,28.1,2.9,39.6
2013-08,1,6,114,45,249,19.0,7.5,41.5
2013-09,1,5,8,7,266,1.6,1.4,53.2
2013-10,1,5,49,33,221,9.8,6.6,44.2
2013-11,1,3,8,4,117,2.7,1.3,39.0
2013-12,1,5,58,49,207,11.6,9.8,41.4
2014-01,1,10,14,19,476,1.4,1.9,47.6
2014-02,1,13,87,43,564,6.7,3.3,43.4
2014-03,1,5,5,5,194,1.0,1.0,38.8
2014-04,1,3,13,2,117,4.3,0.7,39.0
2014-05,1,10,555,120,446,55.5,12.0,44.6
2014-06,1,6,79,14,279,13.2,2.3,46.5
2014-07,1,9,98,54,357,10.9,6.0,39.7
2014-08,1,5,33,23,236,6.6,4.6,47.2
2014-09,1,5,109,48,143,21.8,9.6,28.6
2014-10,1,7,40,38,362,5.7,5.4,51.7
2014-11,1,11,68,53,463,6.2,4.8,42.1
2014-12,1,2,3,2,97,1.5,1.0,48.5
2015-01,1,11,58,60,368,5.3,5.5,33.5
2015-02,1,11,273,108,421,24.8,9.8,38.3
2015-03,1,8,193,60,333,24.1,7.5,41.6
2015-04,1,5,22,19,160,4.4,3.8,32.0
2015-05,1,6,16,5,201,2.7,0.8,33.5
2015-06,1,1,8,8,37,8.0,8.0,37.0
2015-07,1,2,6,5,61,3.0,2.5,30.5
2015-10,1,3,101,13,107,33.7,4.3,35.7
2015-11,1,14,350,34,338,25.0,2.4,24.1
2015-12,1,1,1,1,62,1.0,1.0,62.0
2016-01,1,1,0,1,50,0.0,1.0,50.0
2016-02,1,2,15,10,87,7.5,5.0,43.5
2016-03,1,4,24,6,176,6.0,1.5,44.0
2016-04,1,1,3,0,45,3.0,0.0,45.0
2016-05,1,3,5,1,111,1.7,0.3,37.0
2016-06,1,3,42,3,136,14.0,1.0,45.3
2016-07,1,2,9,9,71,4.5,4.5,35.5
2016-08,1,3,27,6,109,9.0,2.0,36.3
2016-09,1,5,19,11,237,3.8,2.2,47.4
2016-10,1,4,52,73,141,13.0,18.2,35.2
2016-11,1,5,103,3,177,20.6,0.6,35.4
2016-12,1,2,55,3,73,27.5,1.5,36.5
2017-01,1,1,6,6,21,6.0,6.0,21.0
2017-03,1,1,3,1,43,3.0,1.0,43.0
2017-05,1,2,432,161,86,216.0,80.5,43.0
2017-06,1,2,26,2,120,13.0,1.0,60.0
2017-08,1,2,5,2,99,2.5,1.0,49.5
2017-09,1,3,32,289,126,10.7,96.3,42.0
2017-10,1,1,4,1,45,4.0,1.0,45.0
2018-01,1,7,39,88,281,5.6,12.6,40.1
2018-02,1,1,6,0,15,6.0,0.0,15.0
2018-05,1,2,32,11,105,16.0,5.5,52.5
2018-06,1,25,633,79,1132,25.3,3.2,45.3
2018-07,1,38,1838,1210,1738,48.4,31.8,45.7
2018-08,1,3,5,3,111,1.7,1.0,37.0
2018-09,1,8,172,30,380,21.5,3.8,47.5
2018-10,1,6,43,33,297,7.2,5.5,49.5
2018-11,1,4,16,1,125,4.0,0.2,31.2
2018-12,1,11,230,172,479,20.9,15.6,43.5
2019-01,1,3,3,9,127,1.0,3.0,42.3
2019-02,1,1,4,2,60,4.0,2.0,60.0
2019-03,1,2,4,1,115,2.0,0.5,57.5
2019-04,1,2,15,3,84,7.5,1.5,42.0
2019-05,1,1,6,1,44,6.0,1.0,44.0
2019-06,1,3,14,9,159,4.7,3.0,53.0
2019-07,1,4,14,7,180,3.5,1.8,45.0
2019-08,1,10,54,20,503,5.4,2.0,50.3
2019-09,1,5,12,3,209,2.4,0.6,41.8
2019-10,1,13,63,36,475,4.8,2.8,36.5
2019-11,1,2,60,14,114,30.0,7.0,57.0
2019-12,1,1,8,7,17,8.0,7.0,17.0
2020-01,1,2,6,1,61,3.0,0.5,30.5
2020-02,1,6,44,7,228,7.3,1.2,38.0
2020-03,1,3,13,15,112,4.3,5.0,37.3
2020-04,1,1,2,2,48,2.0,2.0,48.0
2020-06,1,2,72,22,92,36.0,11.0,46.0
2020-07,1,1,4,4,19,4.0,4.0,19.0
2020-08,1,1,2,2,26,2.0,2.0,26.0
2020-09,1,4,7,5,199,1.8,1.2,49.8
2021-02,1,1,1,1,29,1.0,1.0,29.0
2021-06,1,2,2,0,65,1.0,0.0,32.5
2021-07,1,1,8,1,46,8.0,1.0,46.0
2021-08,1,2,12,10,91,6.0,5.0,45.5
