month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-01,1,2,2746,5,273,1373.0,2.5,136.5
2016-02,1,7,23,54,274,3.3,7.7,39.1
2016-03,1,7,23,21,432,3.3,3.0,61.7
2016-04,1,1,2,2,22,2.0,2.0,22.0
2016-05,1,5,14,4,453,2.8,0.8,90.6
2016-06,1,2,3,3,79,1.5,1.5,39.5
2016-09,1,3,0,2,144,0.0,0.7,48.0
2016-10,1,2,17,6,98,8.5,3.0,49.0
2016-12,1,1,212,0,91,212.0,0.0,91.0
2017-01,1,3,1831,2,128,610.3,0.7,42.7
2017-02,1,74,26779,1713,6511,361.9,23.1,88.0
2017-03,1,131,8380,7968,13184,64.0,60.8,100.6
2017-04,1,87,1319,794,81372,15.2,9.1,935.3
2017-05,1,104,3345,1299,17336,32.2,12.5,166.7
2017-06,1,106,5928,4453,393966,55.9,42.0,3716.7
2017-07,1,89,4663,2619,52722,52.4,29.4,592.4
2017-08,1,72,1660,1853,77246,23.1,25.7,1072.9
2017-09,1,75,1086,835,103051,14.5,11.1,1374.0
2017-10,1,98,2765,851,83462,28.2,8.7,851.7
2017-11,1,72,3618,1490,77468,50.2,20.7,1075.9
2017-12,1,77,3196,1533,6805,41.5,19.9,88.4
2018-01,1,79,3683,7791,10666,46.6,98.6,135.0
2018-02,1,97,1541,906,10722,15.9,9.3,110.5
2018-03,1,164,5681,1973,15981,34.6,12.0,97.4
2018-04,1,117,2178,2095,21740,18.6,17.9,185.8
2018-05,1,89,2776,2291,8301,31.2,25.7,93.3
2018-06,1,191,11272,3472,14113,59.0,18.2,73.9
2018-07,1,212,26121,16409,11954,123.2,77.4,56.4
2018-08,1,171,10979,8342,19414,64.2,48.8,113.5
2018-09,1,206,7533,4746,11438,36.6,23.0,55.5
2018-10,1,194,19027,22555,10056,98.1,116.3,51.8
2018-11,1,175,11825,7154,9195,67.6,40.9,52.5
2018-12,1,51,6600,55512,2104,129.4,1088.5,41.3
2019-01,1,31,6620,4585,2279,213.5,147.9,73.5
2019-02,1,55,16192,7642,2494,294.4,138.9,45.3
2019-03,1,159,26762,9487,5525,168.3,59.7,34.7
2019-04,1,173,52164,25836,6880,301.5,149.3,39.8
2019-05,1,132,20185,12759,8239,152.9,96.7,62.4
2019-06,1,272,31932,25473,15066,117.4,93.7,55.4
2019-07,1,421,34870,9893,21904,82.8,23.5,52.0
2019-08,1,290,34227,13437,13219,118.0,46.3,45.6
2019-09,1,272,30750,17375,12847,113.1,63.9,47.2
2019-10,1,218,38470,24578,7537,176.5,112.7,34.6
2019-11,1,179,22478,11763,6920,125.6,65.7,38.7
2019-12,1,89,9745,2906,3940,109.5,32.7,44.3
2020-01,1,156,30862,10480,10505,197.8,67.2,67.3
2020-02,1,109,31401,16825,3890,288.1,154.4,35.7
2020-03,1,164,50663,39967,6940,308.9,243.7,42.3
2020-04,1,206,19648,9664,6493,95.4,46.9,31.5
2020-05,1,60,188690,6094,9321,3144.8,101.6,155.3
2020-06,1,117,36025,21781,17189,307.9,186.2,146.9
2020-07,1,50,29434,14457,9401,588.7,289.1,188.0
2020-08,1,127,55896,27280,10416,440.1,214.8,82.0
2020-09,1,879,326632,190015,83541,371.6,216.2,95.0
2020-10,1,538,160124,56075,82851,297.6,104.2,154.0
2020-11,1,254,49778,7915,59578,196.0,31.2,234.6
2020-12,1,19,3830,1475,21909,201.6,77.6,1153.1
2021-01,1,32,12159,85205,36077,380.0,2662.7,1127.4
2021-02,1,39,9804,23341,58368,251.4,598.5,1496.6
2021-03,1,138,19962,3621,56886,144.7,26.2,412.2
2021-04,1,203,33922,7907,63120,167.1,39.0,310.9
2021-05,1,303,49512,17746,67536,163.4,58.6,222.9
2021-06,1,171,13040,3947,60959,76.3,23.1,356.5
2021-07,1,11,7699,4309,20530,699.9,391.7,1866.4
2021-08,1,647,80063,17613,79095,123.7,27.2,122.2
2021-09,1,16,2867,195,5396,179.2,12.2,337.2
2021-10,1,93,14333,6714,38838,154.1,72.2,417.6
2021-11,1,30,2246,1335,55359,74.9,44.5,1845.3
2021-12,1,333,54798,6929,51512,164.6,20.8,154.7
2022-01,1,17,4356,3948,38675,256.2,232.2,2275.0
2022-02,1,23,3284,1557,52325,142.8,67.7,2275.0
2022-03,1,24,3410,1303,47930,142.1,54.3,1997.1
2022-04,1,1185,123359,26917,99922,104.1,22.7,84.3
2022-05,1,20,5502,1684,37019,275.1,84.2,1851.0
2022-06,1,24,375495,14543,47902,15645.6,606.0,1995.9
2022-07,1,18,3041,577,40950,168.9,32.1,2275.0
2022-08,1,2346,394356,43343,147174,168.1,18.5,62.7
2022-09,1,491,71967,9407,67585,146.6,19.2,137.6
2022-10,1,905,121211,17574,83333,133.9,19.4,92.1
2022-11,1,681,89542,15040,68522,131.5,22.1,100.6
2022-12,1,165,21965,4286,50215,133.1,26.0,304.3
2023-01,1,22,1095,1136,38820,49.8,51.6,1764.5
2023-02,1,216,14444,4886,36766,66.9,22.6,170.2
2023-03,1,24,3522,3134,45616,146.8,130.6,1900.7
2023-04,1,23,674,561,43341,29.3,24.4,1884.4
2023-05,1,52,4331,941,31468,83.3,18.1,605.2
2023-06,1,19,1458,384,34241,76.7,20.2,1802.2
2023-07,1,19,776,4874,29735,40.8,256.5,1565.0
