month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-02,1,24,27163,390,1461,1131.8,16.2,60.9
2016-03,1,57,28871,1974,4130,506.5,34.6,72.5
2016-04,1,42,9894,2320,3560,235.6,55.2,84.8
2016-05,1,40,2171,628,3106,54.3,15.7,77.7
2016-06,1,27,988,741,2491,36.6,27.4,92.3
2016-07,1,29,1246,3910,3117,43.0,134.8,107.5
2016-08,1,25,2592,574,2005,103.7,23.0,80.2
2016-09,1,29,1864,2491,3071,64.3,85.9,105.9
2016-10,1,25,1199,498,2375,48.0,19.9,95.0
2016-11,1,44,3571,1232,2980,81.2,28.0,67.7
2016-12,1,30,3578,892,2021,119.3,29.7,67.4
2017-01,1,29,4068,1036,3013,140.3,35.7,103.9
2017-02,1,25,4338,758,2025,173.5,30.3,81.0
2017-03,1,47,3321,4243,3752,70.7,90.3,79.8
2017-04,1,13,206,89,1062,15.8,6.8,81.7
2017-05,1,26,551,145,1723,21.2,5.6,66.3
2017-06,1,22,1028,1033,1659,46.7,47.0,75.4
2017-07,1,32,1092,360,2736,34.1,11.2,85.5
2017-08,1,36,851,593,2656,23.6,16.5,73.8
2017-09,1,18,941,126,968,52.3,7.0,53.8
2017-10,1,11,137,125,568,12.5,11.4,51.6
2017-11,1,17,258,65,1019,15.2,3.8,59.9
2017-12,1,8,84,71,296,10.5,8.9,37.0
2018-01,1,18,2063,338,1391,114.6,18.8,77.3
2018-02,1,17,1386,122,1144,81.5,7.2,67.3
2018-03,1,11,424,120,612,38.5,10.9,55.6
2018-04,1,18,2902,479,941,161.2,26.6,52.3
2018-05,1,27,6994,84,1442,259.0,3.1,53.4
2018-06,1,108,1310,700,4654,12.1,6.5,43.1
2018-07,1,361,2347,1469,13948,6.5,4.1,38.6
2018-08,1,433,4028,2175,16897,9.3,5.0,39.0
2018-09,1,363,1827,881,13327,5.0,2.4,36.7
2018-10,1,302,5593,25269,11762,18.5,83.7,38.9
2018-11,1,86,1534,316,3397,17.8,3.7,39.5
2018-12,1,322,946,934,11491,2.9,2.9,35.7
2019-01,1,404,1301,1015,14981,3.2,2.5,37.1
2019-02,1,401,990,945,14556,2.5,2.4,36.3
2019-03,1,112,612,456,4953,5.5,4.1,44.2
2019-04,1,170,738,569,6550,4.3,3.3,38.5
2019-05,1,128,639,379,18817,5.0,3.0,147.0
2019-06,1,98,964,412,14521,9.8,4.2,148.2
2019-07,1,125,1233,428,18152,9.9,3.4,145.2
2019-08,1,38,719,236,5022,18.9,6.2,132.2
2019-09,1,14,932,154,850,66.6,11.0,60.7
2019-10,1,58,2072,1099,7358,35.7,18.9,126.9
2019-11,1,81,369,763,12319,4.6,9.4,152.1
2019-12,1,24,542,281,1552,22.6,11.7,64.7
2020-01,1,21,1502,2343,1487,71.5,111.6,70.8
2020-02,1,20,436,644,1136,21.8,32.2,56.8
2020-03,1,13,787,308,784,60.5,23.7,60.3
2020-04,1,94,1608,390,13257,17.1,4.1,141.0
2020-05,1,98,1659,763,13109,16.9,7.8,133.8
2020-06,1,34,459,269,3758,13.5,7.9,110.5
2020-07,1,61,1191,204,8072,19.5,3.3,132.3
2020-08,1,132,3818,2757,18476,28.9,20.9,140.0
2020-09,1,118,646,367,17259,5.5,3.1,146.3
2020-10,1,116,777,490,16851,6.7,4.2,145.3
2020-11,1,114,672,319,17305,5.9,2.8,151.8
2020-12,1,103,524,450,15332,5.1,4.4,148.9
2021-01,1,121,772,984,15718,6.4,8.1,129.9
2021-02,1,107,3104,1839,14721,29.0,17.2,137.6
2021-03,1,84,520,396,10579,6.2,4.7,125.9
2021-04,1,97,666,427,13787,6.9,4.4,142.1
2021-05,1,101,341,300,15338,3.4,3.0,151.9
2021-06,1,95,1023,793,13450,10.8,8.3,141.6
2021-07,1,87,517,250,12962,5.9,2.9,149.0
2021-08,1,103,577,406,14454,5.6,3.9,140.3
2021-09,1,81,866,218,12425,10.7,2.7,153.4
2021-10,1,129,611,607,19670,4.7,4.7,152.5
2021-11,1,92,414,290,14129,4.5,3.2,153.6
2021-12,1,115,233,226,18026,2.0,2.0,156.7
2022-01,1,61,211,147,9069,3.5,2.4,148.7
2022-02,1,15,82,23,1930,5.5,1.5,128.7
2022-03,1,5,519,145,359,103.8,29.0,71.8
2022-04,1,2,4,4,66,2.0,2.0,33.0
2022-05,1,5,22,10,233,4.4,2.0,46.6
2022-06,1,98,367,304,14136,3.7,3.1,144.2
2022-07,1,113,403,280,16833,3.6,2.5,149.0
2022-08,1,120,1445,477,17468,12.0,4.0,145.6
2022-09,1,117,1683,1226,16431,14.4,10.5,140.4
2022-10,1,97,334,723,14586,3.4,7.5,150.4
2022-11,1,42,192,105,5382,4.6,2.5,128.1
2022-12,1,28,146,169,4059,5.2,6.0,145.0
2023-01,1,3,15,3,135,5.0,1.0,45.0
2023-02,1,6,130,31,341,21.7,5.2,56.8
2023-03,1,19,366,207,687,19.3,10.9,36.2
2023-04,1,20,478,220,1438,23.9,11.0,71.9
2023-05,1,65,316,178,9505,4.9,2.7,146.2
2023-06,1,46,283,194,6240,6.2,4.2,135.7
2023-07,1,32,506,62,3815,15.8,1.9,119.2
2023-08,1,69,734,218,9790,10.6,3.2,141.9
2023-09,1,66,8764,8629,7552,132.8,130.7,114.4
2023-10,1,135,9169,286,18471,67.9,2.1,136.8
2023-11,1,105,1630,298,15593,15.5,2.8,148.5
2023-12,1,46,1432,163,6557,31.1,3.5,142.5
2024-01,1,92,359,177,14080,3.9,1.9,153.0
2024-02,1,114,346,305,17090,3.0,2.7,149.9
2024-03,1,60,506,216,7641,8.4,3.6,127.3
2024-04,1,95,454,188,13495,4.8,2.0,142.1
2024-05,1,57,313,144,6815,5.5,2.5,119.6
2024-06,1,4,215,219,110,53.8,54.8,27.5
2024-07,1,16,567,295,1455,35.4,18.4,90.9
2024-08,1,79,482,237,11691,6.1,3.0,148.0
2024-09,1,64,176,147,8642,2.8,2.3,135.0
2024-10,1,64,774,550,6275,12.1,8.6,98.0
2024-11,1,10,38,29,293,3.8,2.9,29.3
2024-12,1,3,207,155,132,69.0,51.7,44.0
2025-01,1,10,34,20,433,3.4,2.0,43.3
2025-02,1,78,400,367,10151,5.1,4.7,130.1
2025-03,1,69,535,315,9615,7.8,4.6,139.3
2025-04,1,94,272,240,13313,2.9,2.6,141.6
2025-05,1,69,324,222,9854,4.7,3.2,142.8
2025-06,1,5,32,20,230,6.4,4.0,46.0
2025-07,1,10,368,338,436,36.8,33.8,43.6
2025-08,1,10,411,138,338,41.1,13.8,33.8
2025-09,1,12,335,228,377,27.9,19.0,31.4
2025-10,1,3,8,4,170,2.7,1.3,56.7
2025-11,1,2,7,1,64,3.5,0.5,32.0
2025-12,1,1,2,1,39,2.0,1.0,39.0
2026-04,1,13,1491,793,565,114.7,61.0,43.5
2026-05,1,6,359,274,276,59.8,45.7,46.0
2026-06,1,97,1109,877,11842,11.4,9.0,122.1
2026-07,1,88,177,175,13767,2.0,2.0,156.4
2026-08,1,9,595,88,760,66.1,9.8,84.4
2026-09,1,8,66,48,779,8.2,6.0,97.4
